"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Linum rigidum",-95.488348,32.307209,"cdc,inmafu","US","PRESENT",565,"BRIT","3969519599","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14221359","PRESERVED_SPECIMEN",2000,4,1,"2000-04-01","WGS84","BRIT229129"
"Linum rigidum",-103.227816,38.407542,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573516810","https://botanydb.colorado.edu/collections/individual/index.php?occid=50326","PRESERVED_SPECIMEN",2000,5,21,"2000-05-21","WGS84","00472944"
"Linum rigidum",-102.26611,39.31444,"cdc,ambinst","US","PRESENT",250,"COLO","2573515826","https://botanydb.colorado.edu/collections/individual/index.php?occid=50504","PRESERVED_SPECIMEN",2000,5,17,"2000-05-17","WGS84","00668418"
"Linum rigidum",-102.332418,39.547258,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573530183","https://botanydb.colorado.edu/collections/individual/index.php?occid=50350","PRESERVED_SPECIMEN",2000,6,26,"2000-06-26","WGS84","00486746"
"Linum rigidum",-102.36806,39.51861,"cdc,ambinst","US","PRESENT",250,"COLO","2573467929","https://botanydb.colorado.edu/collections/individual/index.php?occid=50493","PRESERVED_SPECIMEN",2000,6,23,"2000-06-23","WGS84","00654087"
"Linum rigidum",-102.98444,39.28472,"cdc,ambinst","US","PRESENT",250,"COLO","2573525705","https://botanydb.colorado.edu/collections/individual/index.php?occid=50581","PRESERVED_SPECIMEN",2000,6,24,"2000-06-24","WGS84","00700849"
"Linum rigidum",-97.261735,32.758049,"cdc,incomis,inmafu","US","PRESENT",519,"BRIT","4102198033","https://sernecportal.org/portal/collections/individual/index.php?occid=24896181","PRESERVED_SPECIMEN",1999,4,15,"1999-04-15","WGS84","BRIT524153"
"Linum rigidum",-104.71206,32.25772,"cdc,colmafu,inmafu","US","PRESENT",969,"UTEP","3413514331","http://arctos.database.museum/guid/UTEP:Herb:58644","PRESERVED_SPECIMEN",1999,4,25,"1999-04-25","WGS84","UTEP:Herb:58644"
"Linum rigidum",-100.68225,40.35044,"gass84,ambcol","US","PRESENT",0.1,"KU","176975864",NA,"PRESERVED_SPECIMEN",1999,7,9,"1999-07-09","WGS84","329354"
"Linum rigidum",-100.396643,41.651108,"ambcol","US","PRESENT",297,"KU","176975875",NA,"PRESERVED_SPECIMEN",1999,7,6,"1999-07-06","WGS84","329355"
