"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Lithospermum incisum",-95.531366,45.534842,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265492074","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=4929","PRESERVED_SPECIMEN",2000,5,16,"2000-05-16","WGS84","511258"
"Lithospermum incisum",-110.287667,31.415833,"cdc,cdround,gass84,inmafu","US","PRESENT",1000,"SFV","2575156171","https://cch2.org/portal/collections/individual/index.php?occid=609634","PRESERVED_SPECIMEN",2000,5,27,"2000-05-27","WGS84","SFV103830"
"Lithospermum incisum",-102.15194,39.32056,"cdc,ambinst","US","PRESENT",250,"COLO","2573492467","https://botanydb.colorado.edu/collections/individual/index.php?occid=93004","PRESERVED_SPECIMEN",2000,5,14,"2000-05-14","WGS84","00684100"
"Lithospermum incisum",-105.94494,38.58926,"cdc,ambinst","US","PRESENT",500,"COLO","2573485481","https://botanydb.colorado.edu/collections/individual/index.php?occid=93160","PRESERVED_SPECIMEN",2000,5,30,"2000-05-30","WGS84","00875211"
"Lithospermum incisum",-105.24515,34.37282,"cdc,colmafu,inmafu","US","PRESENT",208,"UNM","1843841815","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4051807","PRESERVED_SPECIMEN",2000,6,2,"2000-06-02","WGS84","UNM0027210"
"Lithospermum incisum",-102.548908,39.483288,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573551269","https://botanydb.colorado.edu/collections/individual/index.php?occid=92891","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","00480095"
"Lithospermum incisum",-102.66639,38.79083,"cdc,ambinst","US","PRESENT",250,"COLO","2573494480","https://botanydb.colorado.edu/collections/individual/index.php?occid=92980","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","00604959"
"Lithospermum incisum",-103.67861,39.47444,"cdc,ambinst","US","PRESENT",250,"COLO","2573485472","https://botanydb.colorado.edu/collections/individual/index.php?occid=92981","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","00604975"
"Lithospermum incisum",-103.50611,38.715,"cdc,ambinst","US","PRESENT",250,"COLO","2573493484","https://botanydb.colorado.edu/collections/individual/index.php?occid=92982","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","00604991"
"Lithospermum incisum",-106.41239,40.86399,"cdc,ambinst","US","PRESENT",1000,"COLO","2573550255","https://botanydb.colorado.edu/collections/individual/index.php?occid=93137","PRESERVED_SPECIMEN",2000,6,8,"2000-06-08","WGS84","00868067"
"Lithospermum incisum",-104.615411,32.153072,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"UNM","1843885907","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4095662","PRESERVED_SPECIMEN",2000,9,16,"2000-09-16","WGS84","UNM0027206"
"Lithospermum incisum",-106.618022,35.428434,"cdc,colmafu,inmafu","US","PRESENT",301,"UNM","1843839811","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4049492","PRESERVED_SPECIMEN",2000,10,3,"2000-10-03","WGS84","UNM0027213"
"Lithospermum incisum",-97.095465,38.179806,"ambcol","US","PRESENT",282,"KU","176975629",NA,"PRESERVED_SPECIMEN",1999,4,10,"1999-04-10","WGS84","325745"
