"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Lolium perenne",-117.1175,32.7225,"cdc,colmano,inmafu","US","PRESENT",80,"SD","3125029093","https://cch2.org/portal/collections/individual/index.php?occid=423184","PRESERVED_SPECIMEN",2000,1,21,"2000-01-21","WGS84",NA
"Lolium perenne",-117.03694,32.88861,"cdc,colmano,inmafu","US","PRESENT",80,"SD","3125150099","https://cch2.org/portal/collections/individual/index.php?occid=423185","PRESERVED_SPECIMEN",2000,5,2,"2000-05-02","WGS84",NA
"Lolium perenne",-121.07685,44.21391,"cdc,ambinst","US","PRESENT",805,"OSU","3820526883","https://oregonflora.org/collections/individual/index.php?occid=980831","PRESERVED_SPECIMEN",2000,6,6,"2000-06-06","WGS84",NA
"Lolium perenne",-120.6801,35.3442,"cdc,txmatfuz,inmafu","US","PRESENT",400,"OBI","2270226130","https://cch2.org/portal/collections/individual/index.php?occid=217877","PRESERVED_SPECIMEN",2000,11,10,"2000-11-10","WGS84","OBI177658"
"Lolium perenne",-120.6869,35.3377,"cdc,colmano,inmafu","US","PRESENT",400,"SD","3125154099","https://cch2.org/portal/collections/individual/index.php?occid=423450","PRESERVED_SPECIMEN",2000,11,10,"2000-11-10","WGS84",NA
"Lolium perenne",-120.6823,35.3434,"cdc,inmafu","US","PRESENT",200,"SBBG","3053346034","https://cch2.org/portal/collections/individual/index.php?occid=67359","PRESERVED_SPECIMEN",2000,11,10,"2000-11-10","WGS84","136501"
"Lolium perenne",-121.051337,38.993068,"cdc,gass84,inmafu","US","PRESENT",969,"CDA","3059665773","https://cch2.org/portal/collections/individual/index.php?occid=4069615","PRESERVED_SPECIMEN",1999,3,31,"1999-03-31","WGS84","CDA-0015458"
"Lolium perenne",-105.047253,40.417409,"ambcol","US","PRESENT",544,"KU","176976710",NA,"PRESERVED_SPECIMEN",1999,5,31,"1999-05-31","WGS84","323207"
"Lolium perenne",-78.258556,35.666746,"cdc,colmafu,inmafu","US","PRESENT",460,"NCSM","2825495617","http://sernecportal.org/portal/collections/individual/index.php?occid=20436715","PRESERVED_SPECIMEN",1999,5,23,"1999-05-23","WGS84","367"
"Lolium perenne",-92.373661,42.716928,"ambcol","US","PRESENT",309,"KU","176976242",NA,"PRESERVED_SPECIMEN",1999,6,30,"1999-06-30","WGS84","325544"
