"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Lotus corniculatus",-120.8507179,35.7683013,"cdc,cdrep,inmafu","US","PRESENT",1000,"SBBG","3053351442","https://cch2.org/portal/collections/individual/index.php?occid=55575","PRESERVED_SPECIMEN",2000,5,16,"2000-05-16","WGS84","118089"
"Lotus corniculatus",-119.004717,34.358833,"cdc,ambinst","US","PRESENT",400,"UCSB","2270249378","https://cch2.org/portal/collections/individual/index.php?occid=1896246","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","UCSB041814"
"Lotus corniculatus",-116.99166,45.28603,"cdc,ambinst","US","PRESENT",805,"OSU","3820652968","https://oregonflora.org/collections/individual/index.php?occid=1005145","PRESERVED_SPECIMEN",2000,7,26,"2000-07-26","WGS84",NA
"Lotus corniculatus",-61.386667,45.659722,"cdc,colmafu,inmafu","CA","PRESENT",50,"CM","2859454105","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170575","PRESERVED_SPECIMEN",2000,7,11,"2000-07-11","WGS84","CM496781"
"Lotus corniculatus",-65.168611,45.814444,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859158140","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170579","PRESERVED_SPECIMEN",2000,7,9,"2000-07-09","WGS84","CM496867"
"Lotus corniculatus",-65.820556,45.9375,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859456119","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170603","PRESERVED_SPECIMEN",2000,7,9,"2000-07-09","WGS84","CM497440"
"Lotus corniculatus",-79.0444,48.3508,"colmafu,inmafu,diffown","CA","PRESENT",400,"Université de Montréal Biodiversity Centre","473367541",NA,"PRESERVED_SPECIMEN",2000,7,25,"2000-07-25","WGS84","MT00014797"
"Lotus corniculatus",-76.10013,42.271411,"cdc,cdround","US","PRESENT",15,"iNaturalist","2423113715","https://www.inaturalist.org/observations/32891359","HUMAN_OBSERVATION",2000,7,1,"2000-07-01","WGS84","32891359"
"Lotus corniculatus",-119.256,34.6737,"cdc,inmafu","US","PRESENT",500,"SBBG","3053335662","https://cch2.org/portal/collections/individual/index.php?occid=40004","PRESERVED_SPECIMEN",2000,7,21,"2000-07-21","WGS84","122457"
"Lotus corniculatus",-119.1007,34.1319,"cdc,inmafu","US","PRESENT",500,"SBBG","3053440035","https://cch2.org/portal/collections/individual/index.php?occid=87827","PRESERVED_SPECIMEN",2000,9,4,"2000-09-04","WGS84","122468"
"Lotus corniculatus",-92.785032,45.006756,"cdc,cdround","US","PRESENT",5,"iNaturalist","2802768917","https://www.inaturalist.org/observations/50671328","HUMAN_OBSERVATION",2000,11,7,"2000-11-07T09:12Z","WGS84","50671328"
"Lotus corniculatus",-92.319092,44.50536,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265380573","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=13041","PRESERVED_SPECIMEN",1999,6,9,"1999-06-09","WGS84","491144"
"Lotus corniculatus",-122.5825,40.070556,"cdc,ambinst","US","PRESENT",402,"CHSC","2418000952","https://cch2.org/portal/collections/individual/index.php?occid=2085305","PRESERVED_SPECIMEN",1999,6,9,"1999-06-09","WGS84","CHSC081264"
"Lotus corniculatus",-93.992079,44.287368,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265493342","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=4968","PRESERVED_SPECIMEN",1999,6,12,"1999-06-12","WGS84","507912"
