"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Luzula multiflora",-122.872827,45.447728,"cdc,incomis,inmafu","US","PRESENT",500,"HPSU","4070156210",NA,"PRESERVED_SPECIMEN",2000,4,24,"2000-04-24","WGS84","8522"
"Luzula multiflora",-91.289457,47.378818,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265434120","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=178389","PRESERVED_SPECIMEN",2000,6,21,"2000-06-21","WGS84","459610"
"Luzula multiflora",-61.239722,45.611667,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859026104","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11790955","PRESERVED_SPECIMEN",2000,7,11,"2000-07-11","WGS84","CM496592"
"Luzula multiflora",-63.492222,46.306389,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859028109","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11790957","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84","CM496712"
"Luzula multiflora",-63.681667,46.251667,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859024086","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11790958","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84","CM496732"
"Luzula multiflora",-61.386667,45.659722,"cdc,colmafu,inmafu","CA","PRESENT",50,"CM","2859282105","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11790960","PRESERVED_SPECIMEN",2000,7,11,"2000-07-11","WGS84","CM496767"
"Luzula multiflora",-65.788333,45.899444,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859306078","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11790966","PRESERVED_SPECIMEN",2000,7,9,"2000-07-09","WGS84","CM496948"
"Luzula multiflora",-68.461389,44.816667,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859023095","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11790970","PRESERVED_SPECIMEN",2000,7,14,"2000-07-14","WGS84","CM497281"
"Luzula multiflora",-65.713056,45.837222,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859308086","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11790982","PRESERVED_SPECIMEN",2000,7,9,"2000-07-09","WGS84","CM497876"
"Luzula multiflora",-91.279077,47.377208,"cdc,incomis,inmafu","US","PRESENT",537,"ID","4073952377",NA,"PRESERVED_SPECIMEN",2000,7,21,"2000-07-21","WGS84","164530"
