"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Lysimachia europaea",-116.8606145,48.6813683,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073773614",NA,"PRESERVED_SPECIMEN",1996,6,18,"1996-06-18","WGS84","122216"
"Lysimachia europaea",-121.813913,46.751322,"cdc,incomis,inmafu","US","PRESENT",200,"MORA","4068346949",NA,"PRESERVED_SPECIMEN",1996,7,11,"1996-07-11","WGS84","MORA-01190"
"Lysimachia europaea",-121.7171333,48.0330242,"cdc,cdrep,incomis,inmafu","US","PRESENT",805,"WWB","4070119744",NA,"PRESERVED_SPECIMEN",1995,6,12,"1995-06-12","WGS84","22402"
"Lysimachia europaea",-116.822335,48.479379,"cdc,incomis,inmafu","US","PRESENT",910,"ID","4073917052",NA,"PRESERVED_SPECIMEN",1993,6,27,"1993-06-27","WGS84","183625"
"Lysimachia europaea",-116.846787,48.745932,"cdc,incomis,inmafu","US","PRESENT",745,"ID","4073766654",NA,"PRESERVED_SPECIMEN",1993,6,29,"1993-06-29","WGS84","183554"
"Lysimachia europaea",-116.7304157,48.9266695,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073777329",NA,"PRESERVED_SPECIMEN",1992,6,30,"1992-06-30","WGS84","109278"
"Lysimachia europaea",-117.068612,48.682728,"cdc,incomis,inmafu","US","PRESENT",284,"ID","4073928995",NA,"PRESERVED_SPECIMEN",1992,8,5,"1992-08-05","WGS84","106234"
"Lysimachia europaea",-117.0661213,48.7355665,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073769145",NA,"PRESERVED_SPECIMEN",1991,6,19,"1991-06-19","WGS84","109025"
"Lysimachia europaea",-116.7738166,48.9121691,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073881420",NA,"PRESERVED_SPECIMEN",1991,7,22,"1991-07-22","WGS84","109282"
"Lysimachia europaea",-116.9907173,48.6380672,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073887599",NA,"PRESERVED_SPECIMEN",1991,7,1,"1991-07-01","WGS84","109224"
