"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Xanthisma spinulosum",-103.227816,38.407542,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573326486","https://botanydb.colorado.edu/collections/individual/index.php?occid=103361","PRESERVED_SPECIMEN",2000,5,21,"2000-05-21","WGS84","00472928"
"Xanthisma spinulosum",-103.043249,38.819879,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573326039","https://botanydb.colorado.edu/collections/individual/index.php?occid=103376","PRESERVED_SPECIMEN",2000,8,16,"2000-08-16","WGS84","00477257"
"Xanthisma spinulosum",-103.274037,38.808838,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573326413","https://botanydb.colorado.edu/collections/individual/index.php?occid=103397","PRESERVED_SPECIMEN",2000,8,16,"2000-08-16","WGS84","00487769"
"Xanthisma spinulosum",-105.80116,38.188557,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573325876","https://botanydb.colorado.edu/collections/individual/index.php?occid=103404","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84","00498303"
"Xanthisma spinulosum",-102.500773,39.504155,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573326331","https://botanydb.colorado.edu/collections/individual/index.php?occid=103398","PRESERVED_SPECIMEN",2000,9,29,"2000-09-29","WGS84","00487777"
"Xanthisma spinulosum",-104.648199,38.291,"cdc,cdround,ambinst","US","PRESENT",100,"COLO","2573325860","https://botanydb.colorado.edu/collections/individual/index.php?occid=103413","PRESERVED_SPECIMEN",2000,9,2,"2000-09-02","WGS84","00508119"
"Xanthisma spinulosum",-108.494865,38.920112,"cdc,cdround,ambinst","US","PRESENT",100,"COLO","2573326454","https://botanydb.colorado.edu/collections/individual/index.php?occid=103340","PRESERVED_SPECIMEN",1999,5,27,"1999-05-27","WGS84","00408633"
"Xanthisma spinulosum",-107.007517,35.002279,"cdc,ambinst","US","PRESENT",800,"COLO","2573363550","https://botanydb.colorado.edu/collections/individual/index.php?occid=143846","PRESERVED_SPECIMEN",1999,8,19,"1999-08-19","WGS84","01323724"
"Xanthisma spinulosum",-103.166667,26.65,"cdc,cdround,gass84,typstativ,osiic,inmano","MX","PRESENT",50,"CNS-UT","1895383007",NA,"PRESERVED_SPECIMEN",1999,9,20,"1999-09-20","WGS84","00306453"
"Xanthisma spinulosum",-102.928552,38.081977,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573326246","https://botanydb.colorado.edu/collections/individual/index.php?occid=103190","PRESERVED_SPECIMEN",1998,6,7,"1998-06-07","WGS84","00292441"
"Xanthisma spinulosum",-104.694227,32.245256,"cdc,colmafu,inmafu","US","PRESENT",395,"UTEP","3413528369","http://arctos.database.museum/guid/UTEP:Herb:58439","PRESERVED_SPECIMEN",1998,8,22,"1998-08-22","WGS84","UTEP:Herb:58439"
"Xanthisma spinulosum",-103.1844223,26.6663081,"cdc,cdrep,cdround,elmms,typstativ,osiic,inmano","MX","PRESENT",50,"CNS-UT","1895383020",NA,"PRESERVED_SPECIMEN",1998,9,25,"1998-09-25","WGS84","00184209"
"Xanthisma spinulosum",-106.553809,31.854377,"cdc,colmafu,inmafu","US","PRESENT",99,"UTEP","3413520873","http://arctos.database.museum/guid/UTEP:Herb:57096","PRESERVED_SPECIMEN",1997,6,26,"1997-06-26","WGS84","UTEP:Herb:57096"
"Xanthisma spinulosum",-102.59449,40.93916,"cdc,ambinst","US","PRESENT",1000,"COLO","2573326153","https://botanydb.colorado.edu/collections/individual/index.php?occid=103048","PRESERVED_SPECIMEN",1997,8,25,"1997-08-25","WGS84","00211839"
"Xanthisma spinulosum",-102.515465,38.693339,"cdc,cdround,ambinst","US","PRESENT",100,"COLO","2573325285","https://botanydb.colorado.edu/collections/individual/index.php?occid=103059","PRESERVED_SPECIMEN",1997,9,7,"1997-09-07","WGS84","00216010"
"Xanthisma spinulosum",-112.633889,29.833333,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",70,"DCBS-DICTUS-USON","4168553366",NA,"PRESERVED_SPECIMEN",1995,3,25,"1995-03-25","WGS84","4583"
"Xanthisma spinulosum",-115.22743,30.8275,"cdc,elmms,gass84,typstativ,osiic,ambinst","MX","PRESENT",80,"UCR","2629847926",NA,"PRESERVED_SPECIMEN",1995,3,14,"1995-03-14","WGS84","115719"
"Xanthisma spinulosum",-112.633889,29.833889,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",70,"DCBS-DICTUS-USON","1893587879",NA,"PRESERVED_SPECIMEN",1995,3,25,"1995-03-25","WGS84","04583"
