"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Medicago lupulina",-81.376284,26.944293,"cdc,cdround","US","PRESENT",488,"iNaturalist","4516805866","https://www.inaturalist.org/observations/197485937","HUMAN_OBSERVATION",2000,4,2,"2000-04-02T12:46","WGS84","197485937"
"Medicago lupulina",-95.24319,37.55703,"gass84,ambcol","US","PRESENT",2.53,"KU","176980019",NA,"PRESERVED_SPECIMEN",2000,5,19,"2000-05-19","WGS84","348506"
"Medicago lupulina",-94.431081,35.389566,"ambcol","US","PRESENT",415,"KU","176980085",NA,"PRESERVED_SPECIMEN",2000,5,18,"2000-05-18","WGS84","358358"
"Medicago lupulina",-95.242425,37.562694,"cdc,cdround,inmafu","US","PRESENT",75,"KSP","2890679695","https://ngpherbaria.org/portal/collections/individual/index.php?occid=24167806","PRESERVED_SPECIMEN",2000,5,19,"2000-05-19","WGS84","KSP033405"
"Medicago lupulina",-120.8507179,35.7683013,"cdc,cdrep,inmafu","US","PRESENT",1000,"SBBG","3053352378","https://cch2.org/portal/collections/individual/index.php?occid=54411","PRESERVED_SPECIMEN",2000,5,16,"2000-05-16","WGS84","118094"
"Medicago lupulina",-103.68,39.26278,"cdc,ambinst","US","PRESENT",250,"COLO","2573533098","https://botanydb.colorado.edu/collections/individual/index.php?occid=59876","PRESERVED_SPECIMEN",2000,5,15,"2000-05-15","WGS84","00665323"
"Medicago lupulina",-102.26611,39.31444,"cdc,ambinst","US","PRESENT",250,"COLO","2573476304","https://botanydb.colorado.edu/collections/individual/index.php?occid=59890","PRESERVED_SPECIMEN",2000,5,17,"2000-05-17","WGS84","00668434"
"Medicago lupulina",-102.34389,38.80472,"cdc,ambinst","US","PRESENT",250,"COLO","2573480312","https://botanydb.colorado.edu/collections/individual/index.php?occid=59891","PRESERVED_SPECIMEN",2000,5,17,"2000-05-17","WGS84","00668467"
"Medicago lupulina",-123.28163,44.5704,"cdc,ambinst","US","PRESENT",805,"CHSC","2418000131","https://cch2.org/portal/collections/individual/index.php?occid=2087092","PRESERVED_SPECIMEN",2000,6,12,"2000-06-12","WGS84","CHSC082891"
"Medicago lupulina",-89.996673,39.210183,"cdc,inmafu","US","PRESENT",500,"EIU","4081320126","https://midwestherbaria.org/portal/collections/individual/index.php?occid=28871273","PRESERVED_SPECIMEN",2000,6,19,"2000-06-19","WGS84","EIU000336"
"Medicago lupulina",-123.2822039,44.568428,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073913187",NA,"PRESERVED_SPECIMEN",2000,6,12,"2000-06-12","WGS84","125740"
"Medicago lupulina",-117.1175,32.7225,"cdc,colmano,inmafu","US","PRESENT",80,"SD","3125198560","https://cch2.org/portal/collections/individual/index.php?occid=492156","PRESERVED_SPECIMEN",2000,6,30,"2000-06-30","WGS84","SD00084360"
"Medicago lupulina",-102.79083,38.76639,"cdc,ambinst","US","PRESENT",250,"COLO","2573540062","https://botanydb.colorado.edu/collections/individual/index.php?occid=59844","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","00629584"
"Medicago lupulina",-106.6458,39.58633,"cdc,ambinst","US","PRESENT",800,"COLO","2573482313","https://botanydb.colorado.edu/collections/individual/index.php?occid=60156","PRESERVED_SPECIMEN",2000,6,2,"2000-06-02","WGS84","00885251"
"Medicago lupulina",-63.681667,46.251667,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859419131","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170570","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84","CM496735"
"Medicago lupulina",-62.754444,46.204722,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859157151","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170586","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84","CM497033"
"Medicago lupulina",-67.358611,46.959444,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859172157","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170596","PRESERVED_SPECIMEN",2000,7,8,"2000-07-08","WGS84","CM497224"
"Medicago lupulina",-67.548056,46.3875,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859155166","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170609","PRESERVED_SPECIMEN",2000,7,8,"2000-07-08","WGS84","CM497566"
"Medicago lupulina",-67.718889,46.701667,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859157152","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170612","PRESERVED_SPECIMEN",2000,7,8,"2000-07-08","WGS84","CM497600"
"Medicago lupulina",-102.2775,39.2975,"cdc,ambinst","US","PRESENT",250,"COLO","2573479310","https://botanydb.colorado.edu/collections/individual/index.php?occid=59874","PRESERVED_SPECIMEN",2000,8,18,"2000-08-18","WGS84","00665166"
"Medicago lupulina",-98.9706,19.46139,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",80,"IBUNAM","3308550828",NA,"PRESERVED_SPECIMEN",1999,1,18,"1999-01-18","WGS84","1002228"
"Medicago lupulina",-95.833117,40.682077,"ambcol","US","PRESENT",804,"KU","176980003",NA,"PRESERVED_SPECIMEN",1999,5,7,"1999-05-07","WGS84","322561"
"Medicago lupulina",-95.140038,38.024257,"ambcol","US","PRESENT",147,"KU","176980014",NA,"PRESERVED_SPECIMEN",1999,5,1,"1999-05-01","WGS84","325253"
"Medicago lupulina",-105.047253,40.417409,"ambcol","US","PRESENT",544,"KU","176980061",NA,"PRESERVED_SPECIMEN",1999,5,31,"1999-05-31","WGS84","323225"
"Medicago lupulina",-105.057431,40.418943,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573535083","https://botanydb.colorado.edu/collections/individual/index.php?occid=59580","PRESERVED_SPECIMEN",1999,5,31,"1999-05-31","WGS84","00408955"
"Medicago lupulina",-105.104714,38.208333,"cdc,cdround,ambinst","US","PRESENT",100,"COLO","2573540050","https://botanydb.colorado.edu/collections/individual/index.php?occid=59583","PRESERVED_SPECIMEN",1999,5,26,"1999-05-26","WGS84","00427120"
"Medicago lupulina",-92.041576,43.10745,"ambcol","US","PRESENT",197,"KU","176980047",NA,"PRESERVED_SPECIMEN",1999,6,29,"1999-06-29","WGS84","325553"
"Medicago lupulina",-76.62667,40.4775,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859419126","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170453","PRESERVED_SPECIMEN",1999,6,4,"1999-06-04","WGS84","CM492494"
"Medicago lupulina",-122.628056,40.1475,"cdc,ambinst","US","PRESENT",402,"CHSC","2417995180","https://cch2.org/portal/collections/individual/index.php?occid=2081356","PRESERVED_SPECIMEN",1999,6,14,"1999-06-14","WGS84","CHSC077337"
"Medicago lupulina",-90.803753,48.084497,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265439258","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=18336","PRESERVED_SPECIMEN",1999,8,13,"1999-08-13","WGS84","490515"
"Medicago lupulina",-90.306847,48.055437,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265440161","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=183952","PRESERVED_SPECIMEN",1999,8,3,"1999-08-03","WGS84","492386"
"Medicago lupulina",-121.660833,39.214722,"cdc,ambinst","US","PRESENT",201,"CHSC","2417993626","https://cch2.org/portal/collections/individual/index.php?occid=2080221","PRESERVED_SPECIMEN",1999,9,5,"1999-09-05","WGS84","CHSC076108"
"Medicago lupulina",-121.979444,39.619167,"cdc,ambinst","US","PRESENT",402,"CHSC","2417995042","https://cch2.org/portal/collections/individual/index.php?occid=2080481","PRESERVED_SPECIMEN",1999,10,28,"1999-10-28","WGS84","CHSC076418"
"Medicago lupulina",-98.112616,39.479562,"ambcol","US","PRESENT",75,"KU","176980060",NA,"PRESERVED_SPECIMEN",1998,5,27,"1998-05-27","WGS84","319781"
"Medicago lupulina",-121.09836,44.22575,"cdc,ambinst","US","PRESENT",805,"OSU","3820566139","https://oregonflora.org/collections/individual/index.php?occid=1056432","PRESERVED_SPECIMEN",1998,5,6,"1998-05-06","WGS84",NA
"Medicago lupulina",-93.705276,45.465538,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265356682","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=109464","PRESERVED_SPECIMEN",1998,6,9,"1998-06-09","WGS84","430647"
"Medicago lupulina",-93.63374,44.710544,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265435686","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=179599","PRESERVED_SPECIMEN",1998,6,9,"1998-06-09","WGS84","509488"
"Medicago lupulina",-93.712406,44.663581,"cdc,gass84,ambcol","US","PRESENT",800,"MIN","2265448390","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=191541","PRESERVED_SPECIMEN",1998,6,23,"1998-06-23","WGS84","479887"
"Medicago lupulina",-107.640847,38.968719,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573476296","https://botanydb.colorado.edu/collections/individual/index.php?occid=59737","PRESERVED_SPECIMEN",1998,6,8,"1998-06-08","WGS84","00548842"
"Medicago lupulina",-107.562352,38.98104,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573479306","https://botanydb.colorado.edu/collections/individual/index.php?occid=59793","PRESERVED_SPECIMEN",1998,6,15,"1998-06-15","WGS84","00569541"
"Medicago lupulina",-113.78652,53.41705,"cdc,colmafu,inmafu","CA","PRESENT",600,"ASU","2270506107","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=17598323","PRESERVED_SPECIMEN",1998,7,10,"1998-07-10","WGS84",NA
"Medicago lupulina",-117.575909,47.454475,"cdc,colmafu,inmafu","US","PRESENT",500,"EWU","4070141270",NA,"PRESERVED_SPECIMEN",1998,7,2,"1998-07-02","WGS84","10465"
"Medicago lupulina",-122.6425,41.3575,"cdc,ambinst","US","PRESENT",402,"CHSC","2417993808","https://cch2.org/portal/collections/individual/index.php?occid=2076170","PRESERVED_SPECIMEN",1998,8,3,"1998-08-03","WGS84","CHSC071583"
"Medicago lupulina",-122.57,40.090556,"cdc,ambinst","US","PRESENT",402,"CHSC","2417996965","https://cch2.org/portal/collections/individual/index.php?occid=2081583","PRESERVED_SPECIMEN",1998,8,21,"1998-08-21","WGS84","CHSC077576"
"Medicago lupulina",-94.637368,38.82939,"ambcol","US","PRESENT",447,"KU","176979889",NA,"PRESERVED_SPECIMEN",1997,5,23,"1997-05-23","WGS84","317041"
"Medicago lupulina",-96.192309,39.076402,"ambcol","US","PRESENT",589,"KU","176979900",NA,"PRESERVED_SPECIMEN",1997,5,21,"1997-05-21","WGS84","316035"
"Medicago lupulina",-92.522942,42.851422,"ambcol","US","PRESENT",489,"KU","176979905",NA,"PRESERVED_SPECIMEN",1997,6,4,"1997-06-04","WGS84","317234"
"Medicago lupulina",-123.93145,46.13496,"cdc,ambinst","US","PRESENT",805,"OSU","3820649941","https://oregonflora.org/collections/individual/index.php?occid=1005008","PRESERVED_SPECIMEN",1997,6,10,"1997-06-10","WGS84","OSC-V-070084"
"Medicago lupulina",-79.3425,40.04861,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859415100","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170073","PRESERVED_SPECIMEN",1997,6,20,"1997-06-20","WGS84","CM479959"
"Medicago lupulina",-95.522127,45.187887,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265434001","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=178398","PRESERVED_SPECIMEN",1997,6,30,"1997-06-30","WGS84","508875"
"Medicago lupulina",-95.236817,44.658826,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265449064","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=190752","PRESERVED_SPECIMEN",1997,6,5,"1997-06-05","WGS84","435556"
"Medicago lupulina",-107.395698,38.523011,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573478267","https://botanydb.colorado.edu/collections/individual/index.php?occid=59713","PRESERVED_SPECIMEN",1997,6,14,"1997-06-14","WGS84","00524223"
"Medicago lupulina",-111.3828,43.043,"cdc,incomis,inmafu","US","PRESENT",969,"IDS","4073702848",NA,"PRESERVED_SPECIMEN",1997,7,8,"1997-07-08","WGS84","2014.001"
"Medicago lupulina",-100.247388,39.574008,"ambcol","US","PRESENT",72,"KU","176980095",NA,"PRESERVED_SPECIMEN",1997,8,20,"1997-08-20","WGS84","315303"
"Medicago lupulina",-105.68653,33.44846,"cdc,colmafu,inmafu","US","PRESENT",500,"UNM","1843905400","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4115185","PRESERVED_SPECIMEN",1997,8,1,"1997-08-01","WGS84","UNM0045445"
"Medicago lupulina",-108.530704,31.916755,"cdc,colmafu,inmafu","US","PRESENT",208,"UTEP","3413518133","http://arctos.database.museum/guid/UTEP:Herb:56464","PRESERVED_SPECIMEN",1997,8,31,"1997-08-31","WGS84","UTEP:Herb:56464"
"Medicago lupulina",-121.002222,40.043611,"cdc,ambinst","US","PRESENT",402,"CHSC","2417993294","https://cch2.org/portal/collections/individual/index.php?occid=2080848","PRESERVED_SPECIMEN",1997,9,29,"1997-09-29","WGS84","CHSC076800"
"Medicago lupulina",-108.057484,39.482108,"cdc,inmafu","US","PRESENT",1000,"MESA","3783625493","https://www.soroherbaria.org/portal/collections/individual/index.php?occid=17613077","PRESERVED_SPECIMEN",1996,5,28,"1996-05-28","WGS84","MESA05841"
"Medicago lupulina",-117.278366,47.683159,"cdc,colmafu,inmafu","US","PRESENT",1000,"EWU","4070146762",NA,"PRESERVED_SPECIMEN",1996,5,15,"1996-05-15","WGS84","6203"
"Medicago lupulina",-96.555213,38.405528,"ambcol","US","PRESENT",124,"KU","176980016",NA,"PRESERVED_SPECIMEN",1996,6,8,"1996-06-08","WGS84","311320"
"Medicago lupulina",-95.437544,39.072097,"ambcol","US","PRESENT",970,"KU","176980082",NA,"PRESERVED_SPECIMEN",1996,6,19,"1996-06-19","WGS84","313218"
"Medicago lupulina",-80.140064,41.28723,"cdc,colmafu,inmafu","US","PRESENT",100,"CM","2859155150","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170249","PRESERVED_SPECIMEN",1996,6,30,"1996-06-30","WGS84","CM487722"
"Medicago lupulina",-120.762778,40.4025,"cdc,ambinst","US","PRESENT",201,"CHSC","2417985175","https://cch2.org/portal/collections/individual/index.php?occid=2071545","PRESERVED_SPECIMEN",1996,6,17,"1996-06-17","WGS84","CHSC066389"
"Medicago lupulina",-112.20728,42.66675,"cdc,incomis,inmafu","US","PRESENT",500,"IDS","4073712950",NA,"PRESERVED_SPECIMEN",1996,7,26,"1996-07-26","WGS84","2012.007"
"Medicago lupulina",-101.423611,25.234722,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",50,"UAAAN","1893934245",NA,"PRESERVED_SPECIMEN",1996,10,10,"1996-10-10","WGS84","70849"
"Medicago lupulina",-120.5471,34.7236,"cdc,inmafu","US","PRESENT",400,"OBI","2270200135","https://cch2.org/portal/collections/individual/index.php?occid=193870","PRESERVED_SPECIMEN",1995,3,16,"1995-03-16","WGS84","OBI122332"
"Medicago lupulina",-94.912489,39.339435,"ambcol","US","PRESENT",934,"KU","176980056",NA,"PRESERVED_SPECIMEN",1995,5,22,"1995-05-22","WGS84","112558"
"Medicago lupulina",-107.273178,36.888597,"cdc,cdround,colmafu,inmafu","US","PRESENT",570,"UNM","1843829374","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4039495","PRESERVED_SPECIMEN",1995,5,21,"1995-05-21","WGS84","UNM0045497"
"Medicago lupulina",-98.149036,39.20831,"ambcol","US","PRESENT",594,"KU","176980017",NA,"PRESERVED_SPECIMEN",1995,6,26,"1995-06-26","WGS84","333950"
"Medicago lupulina",-98.200373,39.26638,"ambcol","US","PRESENT",901,"KU","176980041",NA,"PRESERVED_SPECIMEN",1995,6,23,"1995-06-23","WGS84","329536"
"Medicago lupulina",-93.409031,44.724586,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265356439","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=109463","PRESERVED_SPECIMEN",1995,6,17,"1995-06-17","WGS84","430123"
"Medicago lupulina",-78.216667,41.416667,"cdc,colmafu,inmafu","US","PRESENT",100,"CM","2859454062","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12169793","PRESERVED_SPECIMEN",1995,6,24,"1995-06-24","WGS84","CM471672"
"Medicago lupulina",-111.403924,34.551404,"cdc,inmafu","US","PRESENT",10,"ASC","3091188025","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2076955","PRESERVED_SPECIMEN",1995,6,10,"1995-06-10","WGS84","ASC00057987"
"Medicago lupulina",-105.118955,39.340224,"cdc,gass84,inmafu","US","PRESENT",300,"DBG","2960718306","https://intermountainbiota.org/portal/collections/individual/index.php?occid=26969117","PRESERVED_SPECIMEN",1995,6,16,"1995-06-16","WGS84","KHD00070112"
"Medicago lupulina",-108.320035,37.529778,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573536010","https://botanydb.colorado.edu/collections/individual/index.php?occid=58100","PRESERVED_SPECIMEN",1995,6,19,"1995-06-19","WGS84","00342691"
"Medicago lupulina",-98.070469,39.99036,"ambcol","US","PRESENT",888,"KU","176979888",NA,"PRESERVED_SPECIMEN",1995,7,13,"1995-07-13","WGS84","112857"
"Medicago lupulina",-97.539861,39.677286,"ambcol","US","PRESENT",309,"KU","176980092",NA,"PRESERVED_SPECIMEN",1995,7,1,"1995-07-01","WGS84","329520"
"Medicago lupulina",-92.682382,44.564812,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265587121","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=9355","PRESERVED_SPECIMEN",1995,9,5,"1995-09-05","WGS84","461630"
"Medicago lupulina",-116.971605,33.4529922,"cdc,cdrep,inmafu","US","PRESENT",1000,"RSA","2430427077","https://cch2.org/portal/collections/individual/index.php?occid=954970","PRESERVED_SPECIMEN",1995,10,17,"1995-10-17","WGS84",NA
"Medicago lupulina",-93.216131,30.179974,"ambcol","US","PRESENT",461,"KU","318055619",NA,"PRESERVED_SPECIMEN",1994,2,3,"1994-02-03","WGS84","164637"
"Medicago lupulina",-121.0868,37.71807,"cdc,inmafu","US","PRESENT",301,"SHTC","4079081401","https://cch2.org/portal/collections/individual/index.php?occid=3614017","PRESERVED_SPECIMEN",1994,3,8,"1994-03-08","WGS84",NA
"Medicago lupulina",-97.271214,37.631892,"ambcol","US","PRESENT",874,"KU","176979999",NA,"PRESERVED_SPECIMEN",1994,5,3,"1994-05-03","WGS84","110756"
