"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Opuntia polyacantha",-106.077326,38.804848,"cdc,inmafu","US","PRESENT",500,"RMBL","3776198212","https://www.soroherbaria.org/portal/collections/individual/index.php?occid=24451956","PRESERVED_SPECIMEN",2000,6,8,"2000-06-08","WGS84","RMBL0004707"
"Opuntia polyacantha",-102.839503,38.32519,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573487182","https://botanydb.colorado.edu/collections/individual/index.php?occid=84878","PRESERVED_SPECIMEN",2000,6,29,"2000-06-29","WGS84","00478123"
"Opuntia polyacantha",-102.99972,38.82306,"cdc,ambinst","US","PRESENT",250,"COLO","2573546019","https://botanydb.colorado.edu/collections/individual/index.php?occid=84989","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","00605048"
"Opuntia polyacantha",-103.71234,39.26062,"cdc,ambinst","US","PRESENT",250,"COLO","2573542985","https://botanydb.colorado.edu/collections/individual/index.php?occid=84992","PRESERVED_SPECIMEN",2000,6,24,"2000-06-24","WGS84","00605097"
"Opuntia polyacantha",-103.43028,38.92306,"cdc,ambinst","US","PRESENT",250,"COLO","2573491197","https://botanydb.colorado.edu/collections/individual/index.php?occid=84994","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","00625285"
"Opuntia polyacantha",-102.98444,39.28472,"cdc,ambinst","US","PRESENT",250,"COLO","2573539984","https://botanydb.colorado.edu/collections/individual/index.php?occid=85019","PRESERVED_SPECIMEN",2000,6,24,"2000-06-24","WGS84","00673285"
"Opuntia polyacantha",-106.07198,38.81609,"cdc,ambinst","US","PRESENT",1000,"COLO","2573493237","https://botanydb.colorado.edu/collections/individual/index.php?occid=85241","PRESERVED_SPECIMEN",2000,6,8,"2000-06-08","WGS84","00878660"
"Opuntia polyacantha",-110.632395,50.016903,"cdc,cdround","CA","PRESENT",2,"iNaturalist","4516807356","https://www.inaturalist.org/observations/197485241","HUMAN_OBSERVATION",2000,7,21,"2000-07-21","WGS84","197485241"
"Opuntia polyacantha",-112.76919,51.481096,"cdc,cdround","CA","PRESENT",500,"iNaturalist","2992846088","https://www.inaturalist.org/observations/66036017","HUMAN_OBSERVATION",2000,10,15,"2000-10-15T22:27","WGS84","66036017"
"Opuntia polyacantha",-105.104714,38.208333,"cdc,cdround,ambinst","US","PRESENT",100,"COLO","2573546013","https://botanydb.colorado.edu/collections/individual/index.php?occid=84853","PRESERVED_SPECIMEN",1999,5,26,"1999-05-26","WGS84","00399048"
"Opuntia polyacantha",-104.707983,32.26066,"cdc,colmafu,inmafu","US","PRESENT",969,"UTEP","3920969313","http://arctos.database.museum/guid/UTEP:Herb:58615","PRESERVED_SPECIMEN",1999,6,6,"1999-06-06","WGS84","UTEP:Herb:58615"
"Opuntia polyacantha",-107.03632,34.28137,"cdc,colmafu,inmafu","US","PRESENT",200,"UNM","1843828465","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4038757","PRESERVED_SPECIMEN",1999,7,21,"1999-07-21","WGS84","UNM0117730"
"Opuntia polyacantha",-116.23222,33.42611,"cdc,colmano,inmafu","US","PRESENT",241,"SD","3125185518","https://cch2.org/portal/collections/individual/index.php?occid=471347","PRESERVED_SPECIMEN",1999,10,12,"1999-10-12","WGS84","SD00060141"
"Opuntia polyacantha",-111.93,33.42,"cdc,gass84,colmafu,inmafu","US","PRESENT",50,"ASU","2270646996","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=727982","PRESERVED_SPECIMEN",1998,4,25,"1998-04-25","WGS84",NA
"Opuntia polyacantha",-107.172938,42.874519,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","3056574413","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=2939956","PRESERVED_SPECIMEN",1998,6,24,"1998-06-24","WGS84","912314"
"Opuntia polyacantha",-105.51165,38.183163,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573544014","https://botanydb.colorado.edu/collections/individual/index.php?occid=84750","PRESERVED_SPECIMEN",1998,6,11,"1998-06-11","WGS84","00287243"
"Opuntia polyacantha",-105.13038,37.816,"cdc,ambinst","US","PRESENT",1000,"COLO","2573485224","https://botanydb.colorado.edu/collections/individual/index.php?occid=85376","PRESERVED_SPECIMEN",1998,6,3,"1998-06-03","WGS84","00937730"
"Opuntia polyacantha",-104.8189,37.93188,"cdc,ambinst","US","PRESENT",250,"COLO","2573544044","https://botanydb.colorado.edu/collections/individual/index.php?occid=85380","PRESERVED_SPECIMEN",1998,6,17,"1998-06-17","WGS84","00938449"
"Opuntia polyacantha",-105.07776,38.19219,"cdc,ambinst","US","PRESENT",805,"COLO","2573543048","https://botanydb.colorado.edu/collections/individual/index.php?occid=85381","PRESERVED_SPECIMEN",1998,6,9,"1998-06-09","WGS84","00939595"
"Opuntia polyacantha",-106.576111,31.333889,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",60,"UACJ","1895117358",NA,"PRESERVED_SPECIMEN",1997,3,20,"1997-03-20","WGS84","000911"
"Opuntia polyacantha",-104.003518,40.814333,"ambcol","US","PRESENT",806,"KU","176989645",NA,"PRESERVED_SPECIMEN",1997,7,2,"1997-07-02","WGS84","310303"
"Opuntia polyacantha",-104.351,33.42,"cdc,colmafu,inmafu","US","PRESENT",570,"UNM","1843820561","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4030932","PRESERVED_SPECIMEN",1997,10,10,"1997-10-10","WGS84","UNM0116630"
"Opuntia polyacantha",-112.23182,42.7121,"cdc,incomis,inmafu","US","PRESENT",500,"IDS","4073728390",NA,"PRESERVED_SPECIMEN",1996,6,17,"1996-06-17","WGS84","2012.007"
"Opuntia polyacantha",-105.145744,40.540057,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573486160","https://botanydb.colorado.edu/collections/individual/index.php?occid=84447","PRESERVED_SPECIMEN",1996,6,14,"1996-06-14","WGS84","00211219"
"Opuntia polyacantha",-107.478322,36.142152,"cdc,gass84,ambinst","US","PRESENT",500,"COLO","2573523313","https://botanydb.colorado.edu/collections/individual/index.php?occid=389148","PRESERVED_SPECIMEN",1995,3,16,"1995-03-16","WGS84","01990969"
"Opuntia polyacantha",-107.442093,36.265418,"cdc,cdround,colmafu,inmafu","US","PRESENT",570,"UNM","1843828982","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4039349","PRESERVED_SPECIMEN",1995,3,16,"1995-03-16","WGS84","UNM0117351"
"Opuntia polyacantha",-107.600014,36.499218,"cdc,cdround,colmafu,inmafu","US","PRESENT",285,"UNM","1843829932","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4039801","PRESERVED_SPECIMEN",1995,4,5,"1995-04-05","WGS84","UNM0117398"
"Opuntia polyacantha",-106.546846,35.39405,"cdc,colmafu,inmafu","US","PRESENT",908,"UNM","1843817223","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4027476","PRESERVED_SPECIMEN",1995,6,26,"1995-06-26","WGS84","UNM0116606"
"Opuntia polyacantha",-110.2591,41.9566,"cdc,inmafu","US","PRESENT",969,"TENN","1990045545","https://sernecportal.org/portal/collections/individual/index.php?occid=14047696","PRESERVED_SPECIMEN",1995,7,11,"1995-07-11","WGS84","TENN-V-0154467"
"Opuntia polyacantha",-113.339207,44.311528,"cdc,incomis,inmafu","US","PRESENT",90,"ID","4073940576",NA,"PRESERVED_SPECIMEN",1995,7,22,"1995-07-22","WGS84","166692"
"Opuntia polyacantha",-105.193481,39.885568,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573486186","https://botanydb.colorado.edu/collections/individual/index.php?occid=84960","PRESERVED_SPECIMEN",1995,7,11,"1995-07-11","WGS84","00546366"
"Opuntia polyacantha",-106.046758,36.300775,"cdc,inmafu","US","PRESENT",301,"DES","2572938306","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=22807728","PRESERVED_SPECIMEN",1994,5,13,"1994-05-13","WGS84","DES00090543"
"Opuntia polyacantha",-106.83222,43.283872,"ambcol","US","PRESENT",800,"KU","2805310324",NA,"PRESERVED_SPECIMEN",1994,6,19,"1994-06-19","WGS84","308463"
"Opuntia polyacantha",-103.615141,37.087048,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573492170","https://botanydb.colorado.edu/collections/individual/index.php?occid=84446","PRESERVED_SPECIMEN",1994,6,25,"1994-06-25","WGS84","00211201"
"Opuntia polyacantha",-110.8971448,41.8522573,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073904700",NA,"PRESERVED_SPECIMEN",1993,6,25,"1993-06-25","WGS84","137148"
"Opuntia polyacantha",-113.722727,42.077108,"cdc,incomis,inmafu","US","PRESENT",612,"IDS","4073728433",NA,"PRESERVED_SPECIMEN",1993,7,10,"1993-07-10","WGS84","1994.043"
"Opuntia polyacantha",-112.7465237,44.0938207,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073792504",NA,"PRESERVED_SPECIMEN",1992,6,20,"1992-06-20","WGS84","111090"
"Opuntia polyacantha",-107.0988,39.6878,"cdc,ambinst","US","PRESENT",100,"COLO","2573461957","https://botanydb.colorado.edu/collections/individual/index.php?occid=374044","PRESERVED_SPECIMEN",1991,6,20,"1991-06-20","WGS84","02059764"
