"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Oxalis stricta",-95.6232,36.5087,"cdc,inmafu","US","PRESENT",100,"BRIT","3969801486","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27528040","PRESERVED_SPECIMEN",2000,4,24,"2000-04-24","WGS84","BRIT572152"
"Oxalis stricta",-87.019817,32.442762,"cdc,colmafu,inmafu","US","PRESENT",969,"RENO","4404968841","https://intermountainbiota.org/portal/collections/individual/index.php?occid=6645821","PRESERVED_SPECIMEN",2000,4,3,"2000-04-03","WGS84","40806"
"Oxalis stricta",-91.074164,34.094244,"cdc,inmafu","US","PRESENT",654,"UARK","4876071816","https://sernecportal.org/portal/collections/individual/index.php?occid=12559160","PRESERVED_SPECIMEN",2000,6,22,"2000-06-22","WGS84","UARK039403"
"Oxalis stricta",-95.860505,32.579962,"cdc,incomis,inmafu","US","PRESENT",253,"BRIT","4102475197","https://sernecportal.org/portal/collections/individual/index.php?occid=24939700","PRESERVED_SPECIMEN",2000,6,30,"2000-06-30","WGS84","BRIT526889"
"Oxalis stricta",-75.79329,40.187313,"cdc,inmafu","US","PRESENT",504,"MOAR","4064831787","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=16523323","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84","MOAR0011063"
"Oxalis stricta",-93.706386,41.648705,"ambcol","US","PRESENT",81,"KU","176990295",NA,"PRESERVED_SPECIMEN",1999,6,28,"1999-06-28","WGS84","324588"
"Oxalis stricta",-90.65246,48.070251,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265364323","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=116806","PRESERVED_SPECIMEN",1999,8,3,"1999-08-03","WGS84","447655"
"Oxalis stricta",-79.715551,39.728154,"cdc,colmafu,inmafu","US","PRESENT",1000,"CM","2859165402","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12184363","PRESERVED_SPECIMEN",1999,8,12,"1999-08-12","WGS84","CM493081"
"Oxalis stricta",-94.347744,45.116787,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265433663","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=177312","PRESERVED_SPECIMEN",1998,5,27,"1998-05-27","WGS84","509207"
"Oxalis stricta",-93.195935,43.899068,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265430285","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=175774","PRESERVED_SPECIMEN",1998,7,29,"1998-07-29","WGS84","499066"
"Oxalis stricta",-72.451876,43.709092,"cdc","US","PRESENT",34,"iNaturalist","4137987301","https://www.inaturalist.org/observations/1712992","HUMAN_OBSERVATION",1998,8,14,"1998-08-14","WGS84","1712992"
"Oxalis stricta",-94.637368,38.82939,"ambcol","US","PRESENT",447,"KU","176990616",NA,"PRESERVED_SPECIMEN",1997,6,11,"1997-06-11","WGS84","311841"
"Oxalis stricta",-78.07361,40.53389,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859164401","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12184325","PRESERVED_SPECIMEN",1997,6,5,"1997-06-05","WGS84","CM485812"
"Oxalis stricta",-72.592423,42.151002,"cdc,inmafu","US","PRESENT",301,"CDA","3059675152","https://cch2.org/portal/collections/individual/index.php?occid=4110591","PRESERVED_SPECIMEN",1997,7,1,"1997-07-01","WGS84","CDA-0028478"
"Oxalis stricta",-95.30637,45.303706,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265426367","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=172019","PRESERVED_SPECIMEN",1997,8,7,"1997-08-07","WGS84","476111"
"Oxalis stricta",-94.863304,44.497775,"cdc,gass84,ambcol","US","PRESENT",222,"MIN","2265438848","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=182799","PRESERVED_SPECIMEN",1997,9,6,"1997-09-06","WGS84","435344"
"Oxalis stricta",-91.326481,43.787163,"cdc,gass84,ambcol","US","PRESENT",283,"MIN","2265452909","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=19748","PRESERVED_SPECIMEN",1996,6,13,"1996-06-13","WGS84","461647"
"Oxalis stricta",-89.64149,33.70469,"cdc,inmafu","US","PRESENT",400,"MMNS","3707739138","https://sernecportal.org/portal/collections/individual/index.php?occid=6353249","PRESERVED_SPECIMEN",1996,8,1,"1996-08-01","WGS84","MMNS012804"
"Oxalis stricta",-105.16356,40.54833,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573525337","https://botanydb.colorado.edu/collections/individual/index.php?occid=42229","PRESERVED_SPECIMEN",1996,9,20,"1996-09-20","WGS84","00489807"
"Oxalis stricta",-84.14575,33.806217,"cdc,gass84,inmafu","US","PRESENT",966,"GA","3709837899","https://sernecportal.org/portal/collections/individual/index.php?occid=13759637","PRESERVED_SPECIMEN",1995,4,11,"1995-04-11","WGS84","GA043681"
"Oxalis stricta",-97.742744,30.284164,"cdc,incomis,inmafu","US","PRESENT",37,"BRIT","4102442194","https://sernecportal.org/portal/collections/individual/index.php?occid=24939724","PRESERVED_SPECIMEN",1995,4,6,"1995-04-06","WGS84","BRIT526884"
"Oxalis stricta",-73.23694,41.47611,"cdc,gass84,inmano","US","PRESENT",3,"UConn","699260283",NA,"PRESERVED_SPECIMEN",1995,5,22,"1995-05-22","WGS84","CONN00131844"
"Oxalis stricta",-94.685901,38.498295,"ambcol","US","PRESENT",661,"KU","176990245",NA,"PRESERVED_SPECIMEN",1995,6,28,"1995-06-28","WGS84","112716"
"Oxalis stricta",-92.464632,44.066413,"cdc,gass84,ambcol","US","PRESENT",346,"MIN","2265430403","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=173917","PRESERVED_SPECIMEN",1995,9,14,"1995-09-14","WGS84","479123"
"Oxalis stricta",-92.779779,44.718342,"cdc,gass84,ambcol","US","PRESENT",284,"MIN","2265526984","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=7833","PRESERVED_SPECIMEN",1995,9,14,"1995-09-14","WGS84","479126"
"Oxalis stricta",-97.743421,30.285106,"cdc,incomis,inmafu","US","PRESENT",16,"BRIT","4102198184","https://sernecportal.org/portal/collections/individual/index.php?occid=24939716","PRESERVED_SPECIMEN",1994,4,12,"1994-04-12","WGS84","BRIT526886"
"Oxalis stricta",-97.762626,30.310463,"cdc,incomis,inmafu","US","PRESENT",35,"BRIT","4102340139","https://sernecportal.org/portal/collections/individual/index.php?occid=24939720","PRESERVED_SPECIMEN",1994,4,24,"1994-04-24","WGS84","BRIT526885"
"Oxalis stricta",-94.795657,38.422162,"ambcol","US","PRESENT",713,"KU","176990256",NA,"PRESERVED_SPECIMEN",1994,7,27,"1994-07-27","WGS84","115672"
"Oxalis stricta",-92.538882,43.522073,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265365693","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=116820","PRESERVED_SPECIMEN",1994,7,5,"1994-07-05","WGS84","520510"
"Oxalis stricta",-95.209922,37.294024,"ambcol","US","PRESENT",321,"KU","176990243",NA,"PRESERVED_SPECIMEN",1994,8,30,"1994-08-30","WGS84","111602"
"Oxalis stricta",-79.456282,40.915414,"cdc,gass84,colmafu,inmafu","US","PRESENT",500,"CM","2859181384","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12184258","PRESERVED_SPECIMEN",1994,9,3,"1994-09-03","WGS84","CM482316"
"Oxalis stricta",-79.216667,40.9,"cdc,colmafu,inmafu","US","PRESENT",50,"CM","2859428358","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12184151","PRESERVED_SPECIMEN",1994,10,14,"1994-10-14","WGS84","CM473171"
"Oxalis stricta",-79.195758,40.896423,"cdc,colmafu,inmafu","US","PRESENT",300,"CM","2859426345","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12184152","PRESERVED_SPECIMEN",1994,10,14,"1994-10-14","WGS84","CM473172"
"Oxalis stricta",-79.2,41.666667,"cdc,colmafu,inmafu","US","PRESENT",50,"CM","2859427360","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12184153","PRESERVED_SPECIMEN",1994,10,7,"1994-10-07","WGS84","CM473173"
"Oxalis stricta",-81.091241,37.943544,"cdc,inmafu","US","PRESENT",90,"MUHW","4072328686","https://sernecportal.org/portal/collections/individual/index.php?occid=7861024","PRESERVED_SPECIMEN",1993,5,12,"1993-05-12","WGS84","MUHW012811"
"Oxalis stricta",-79.72222,40.60417,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859182356","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12183965","PRESERVED_SPECIMEN",1993,6,30,"1993-06-30","WGS84","CM387771"
"Oxalis stricta",-91.207171,46.33621,"cdc,colmano,inmafu","US","PRESENT",969,"UWW","4095608418","https://midwestherbaria.org/portal/collections/individual/index.php?occid=30417345","PRESERVED_SPECIMEN",1993,6,13,"1993-06-13","WGS84","UWW002044"
"Oxalis stricta",-91.248434,46.336726,"cdc,colmano,inmafu","US","PRESENT",969,"UWW","4095607746","https://midwestherbaria.org/portal/collections/individual/index.php?occid=30422119","PRESERVED_SPECIMEN",1993,6,13,"1993-06-13","WGS84","UWW007247"
"Oxalis stricta",-92.834671,46.164078,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265364899","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=116799","PRESERVED_SPECIMEN",1993,7,5,"1993-07-05","WGS84","439649"
"Oxalis stricta",-79.13194,40.35139,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859179355","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12183963","PRESERVED_SPECIMEN",1993,7,9,"1993-07-09","WGS84","CM387769"
"Oxalis stricta",-80.093188,39.943338,"cdc,colmafu,inmafu","US","PRESENT",825,"CM","2859465346","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12184471","PRESERVED_SPECIMEN",1993,7,18,"1993-07-18","WGS84","CM503846"
"Oxalis stricta",-90.976034,46.348412,"cdc,colmano,inmafu","US","PRESENT",969,"UWW","4095604881","https://midwestherbaria.org/portal/collections/individual/index.php?occid=30421444","PRESERVED_SPECIMEN",1993,7,19,"1993-07-19","WGS84","UWW006563"
"Oxalis stricta",-71.7893,48.65504,"colmafu,inmafu,diffown","CA","PRESENT",20,"Université de Montréal Biodiversity Centre","473514235",NA,"PRESERVED_SPECIMEN",1993,7,16,"1993-07-16","WGS84","MT00005390"
"Oxalis stricta",-94.985405,38.954373,"ambcol","US","PRESENT",305,"KU","176990666",NA,"PRESERVED_SPECIMEN",1993,9,23,"1993-09-23","WGS84","109721"
"Oxalis stricta",-78.509755,41.197053,"cdc,colmafu,inmafu","US","PRESENT",90,"CM","2859181389","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12184339","PRESERVED_SPECIMEN",1993,9,13,"1993-09-13","WGS84","CM487783"
"Oxalis stricta",-84.051602,35.874453,"cdc,inmafu","US","PRESENT",102,"TENN","1990025213","https://sernecportal.org/portal/collections/individual/index.php?occid=13399606","PRESERVED_SPECIMEN",1992,4,19,"1992-04-19","WGS84","TENN-V-0134195"
"Oxalis stricta",-89.0984,33.2074,"cdc,inmafu","US","PRESENT",100,"MMNS","3707755558","https://sernecportal.org/portal/collections/individual/index.php?occid=6350126","PRESERVED_SPECIMEN",1992,4,30,"1992-04-30","WGS84","MMNS009676"
"Oxalis stricta",-91.0997,31.335,"cdc,gass84,inmafu","US","PRESENT",100,"MMNS","3707734275","https://sernecportal.org/portal/collections/individual/index.php?occid=6372688","PRESERVED_SPECIMEN",1992,4,15,"1992-04-15","WGS84","MMNS032396"
"Oxalis stricta",-93.841291,47.018091,"cdc,gass84,ambcol","US","PRESENT",230,"MIN","2265367297","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=116909","PRESERVED_SPECIMEN",1992,6,15,"1992-06-15","WGS84","830282"
