"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Elymus smithii",-102.666287,38.628029,"ambcol","US","PRESENT",808,"KU","353268939",NA,"PRESERVED_SPECIMEN",2000,6,28,"2000-06-28","WGS84","365622"
"Elymus smithii",-102.66784,38.62827,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573461935","https://botanydb.colorado.edu/collections/individual/index.php?occid=37447","PRESERVED_SPECIMEN",2000,6,28,"2000-06-28","WGS84","00543868"
"Elymus smithii",-103.67861,39.47444,"cdc,ambinst","US","PRESENT",250,"COLO","2573532540","https://botanydb.colorado.edu/collections/individual/index.php?occid=40087","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","00609446"
"Elymus smithii",-102.99972,38.82306,"cdc,ambinst","US","PRESENT",250,"COLO","2573474482","https://botanydb.colorado.edu/collections/individual/index.php?occid=40093","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","00609735"
"Elymus smithii",-102.66639,38.79083,"cdc,ambinst","US","PRESENT",250,"COLO","2573470490","https://botanydb.colorado.edu/collections/individual/index.php?occid=40097","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","00609834"
"Elymus smithii",-102.79083,38.76639,"cdc,ambinst","US","PRESENT",250,"COLO","2573471492","https://botanydb.colorado.edu/collections/individual/index.php?occid=40103","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","00621557"
"Elymus smithii",-102.36806,39.51861,"cdc,ambinst","US","PRESENT",250,"COLO","2573532408","https://botanydb.colorado.edu/collections/individual/index.php?occid=40151","PRESERVED_SPECIMEN",2000,6,23,"2000-06-23","WGS84","00654103"
"Elymus smithii",-103.50611,38.715,"cdc,ambinst","US","PRESENT",250,"COLO","2573532573","https://botanydb.colorado.edu/collections/individual/index.php?occid=40165","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","00668145"
"Elymus smithii",-102.15194,39.32056,"cdc,ambinst","US","PRESENT",250,"COLO","2573532765","https://botanydb.colorado.edu/collections/individual/index.php?occid=40169","PRESERVED_SPECIMEN",2000,6,23,"2000-06-23","WGS84","00670208"
"Elymus smithii",-102.98444,39.28472,"cdc,ambinst","US","PRESENT",250,"COLO","2573474486","https://botanydb.colorado.edu/collections/individual/index.php?occid=40174","PRESERVED_SPECIMEN",2000,6,24,"2000-06-24","WGS84","00673426"
"Elymus smithii",-102.71222,38.34694,"cdc,ambinst","US","PRESENT",250,"COLO","2573532593","https://botanydb.colorado.edu/collections/individual/index.php?occid=40183","PRESERVED_SPECIMEN",2000,6,26,"2000-06-26","WGS84","00679852"
"Elymus smithii",-107.4159,40.82578,"cdc,ambinst","US","PRESENT",750,"COLO","2573467508","https://botanydb.colorado.edu/collections/individual/index.php?occid=40539","PRESERVED_SPECIMEN",2000,8,15,"2000-08-15","WGS84","00913962"
"Elymus smithii",-101.010372,38.86958,"ambcol","US","PRESENT",891,"KU","176993758",NA,"PRESERVED_SPECIMEN",1999,8,25,"1999-08-25","WGS84","325122"
"Elymus smithii",-103.637952,45.639428,"cdc,inmafu","US","PRESENT",969,"BHSC","2831259738","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25333762","PRESERVED_SPECIMEN",1999,9,26,"1999-09-26","WGS84","BHSC0026833"
"Elymus smithii",-99.270446,39.425757,"ambcol","US","PRESENT",446,"KU","176993775",NA,"PRESERVED_SPECIMEN",1998,5,29,"1998-05-29","WGS84","319846"
"Elymus smithii",-98.112616,39.479562,"ambcol","US","PRESENT",75,"KU","176993794",NA,"PRESERVED_SPECIMEN",1998,5,27,"1998-05-27","WGS84","319799"
"Elymus smithii",-104.46572,37.21668,"cdc,ambinst","US","PRESENT",500,"COLO","2573517401","https://botanydb.colorado.edu/collections/individual/index.php?occid=40641","PRESERVED_SPECIMEN",1998,6,4,"1998-06-04","WGS84","00945121"
"Elymus smithii",-120.323611,40.504722,"cdc,ambinst","US","PRESENT",805,"CHSC","2417998599","https://cch2.org/portal/collections/individual/index.php?occid=2081283","PRESERVED_SPECIMEN",1998,7,14,"1998-07-14","WGS84","CHSC077265"
"Elymus smithii",-103.992914,44.564457,"cdc,inmafu","US","PRESENT",310,"BHSC","2831259766","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25333738","PRESERVED_SPECIMEN",1998,7,4,"1998-07-04","WGS84","BHSC0020367"
"Elymus smithii",-103.82998,42.902496,"ambcol","US","PRESENT",293,"KU","415731886",NA,"PRESERVED_SPECIMEN",1998,8,18,"1998-08-18","WGS84","323368"
"Elymus smithii",-95.997622,39.083998,"ambcol","US","PRESENT",600,"KU","176993800",NA,"PRESERVED_SPECIMEN",1997,6,18,"1997-06-18","WGS84","313317"
"Elymus smithii",-98.769838,38.481592,"ambcol","US","PRESENT",575,"KU","176993812",NA,"PRESERVED_SPECIMEN",1997,6,17,"1997-06-17","WGS84","317651"
"Elymus smithii",-111.234006,45.223019,"ambcol","US","PRESENT",342,"KU","415731888",NA,"PRESERVED_SPECIMEN",1997,7,17,"1997-07-17","WGS84","315934"
"Elymus smithii",-103.742791,44.482654,"cdc,inmafu","US","PRESENT",336,"BHSC","2831259785","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25333756","PRESERVED_SPECIMEN",1997,7,26,"1997-07-26","WGS84","BHSC0022470"
"Elymus smithii",-97.71151,39.119208,"ambcol","US","PRESENT",210,"KU","176993805",NA,"PRESERVED_SPECIMEN",1997,8,18,"1997-08-18","WGS84","315070"
"Elymus smithii",-102.493525,38.664174,"cdc,cdround,ambinst","US","PRESENT",100,"COLO","2573462036","https://botanydb.colorado.edu/collections/individual/index.php?occid=37446","PRESERVED_SPECIMEN",1997,9,7,"1997-09-07","WGS84","00543850"
"Elymus smithii",-103.389638,43.989669,"cdc,inmafu","US","PRESENT",969,"BHSC","2831259774","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25333747","PRESERVED_SPECIMEN",1997,11,8,"1997-11-08","WGS84","BHSC0020929"
"Elymus smithii",-103.342715,40.872517,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573461994","https://botanydb.colorado.edu/collections/individual/index.php?occid=37449","PRESERVED_SPECIMEN",1996,7,26,"1996-07-26","WGS84","00543884"
"Elymus smithii",-98.200502,39.266513,"ambcol","US","PRESENT",904,"KU","176993632",NA,"PRESERVED_SPECIMEN",1995,6,5,"1995-06-05","WGS84","333891"
"Elymus smithii",-98.149036,39.20831,"ambcol","US","PRESENT",594,"KU","176993801",NA,"PRESERVED_SPECIMEN",1995,6,26,"1995-06-26","WGS84","333865"
"Elymus smithii",-97.539861,39.677286,"ambcol","US","PRESENT",309,"KU","176993820",NA,"PRESERVED_SPECIMEN",1995,7,1,"1995-07-01","WGS84","329542"
"Elymus smithii",-101.026133,37.878968,"ambcol","US","PRESENT",351,"KU","176993737",NA,"PRESERVED_SPECIMEN",1995,7,1,"1995-07-01","WGS84","112652"
"Elymus smithii",-101.033619,37.882558,"ambcol","US","PRESENT",485,"KU","176993738",NA,"PRESERVED_SPECIMEN",1995,7,1,"1995-07-01","WGS84","112663"
"Elymus smithii",-95.432738,38.931395,"ambcol","US","PRESENT",561,"KU","176993739",NA,"PRESERVED_SPECIMEN",1995,7,9,"1995-07-09","WGS84","113424"
"Elymus smithii",-95.430806,38.931395,"ambcol","US","PRESENT",459,"KU","176993741",NA,"PRESERVED_SPECIMEN",1995,7,27,"1995-07-27","WGS84","115266"
