"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Phragmites australis",-98.789444,23.186389,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",70,"IEA-UAT","1893943003",NA,"PRESERVED_SPECIMEN",2000,2,17,"2000-02-17","WGS84","UAT"
"Phragmites australis",-97.899167,22.3025,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",70,"IEA-UAT","1893942914",NA,"PRESERVED_SPECIMEN",2000,2,3,"2000-02-03","WGS84","UAT 21092"
"Phragmites australis",-120.66101,35.30729,"cdc,inmafu","US","PRESENT",74,"OBI","2270207344","https://cch2.org/portal/collections/individual/index.php?occid=199000","PRESERVED_SPECIMEN",2000,5,29,"2000-05-29","WGS84","OBI174404"
"Phragmites australis",-98.131083,22.309306,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",70,"IEA-UAT","1893942988",NA,"PRESERVED_SPECIMEN",2000,6,24,"2000-06-24","WGS84","UAT"
"Phragmites australis",-111.910556,40.430833,"cdc,gass84","US","PRESENT",500,"USU","3962310338","https://intermountainbiota.org/portal/collections/individual/index.php?occid=30169347","PRESERVED_SPECIMEN",2000,8,11,"2000-08-11","WGS84",NA
"Phragmites australis",-101.76667,19.9075,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",80,"IBUNAM","3307974562",NA,"PRESERVED_SPECIMEN",2000,8,10,"2000-08-10","WGS84","963823"
"Phragmites australis",-103.769444,18.873611,"cdc,cdround,gass84,typstativ,osiic,inmano","MX","PRESENT",90,"UACh","1419227564",NA,"PRESERVED_SPECIMEN",2000,11,11,"2000-11-11","WGS84","52115"
"Phragmites australis",-107.619444,27.116944,"cdc,cdround,gass84,typstativ,osiic","MX","PRESENT",60,"NO DISPONIBLE","1893388018",NA,"HUMAN_OBSERVATION",1999,3,21,"1999-03-21","WGS84","NO DISPONIBLE"
"Phragmites australis",-83.455992,36.096701,"cdc,gass84,colmafu,inmafu","US","PRESENT",691,"TENN","1989917026","https://sernecportal.org/portal/collections/individual/index.php?occid=10338894","PRESERVED_SPECIMEN",1999,4,13,"1999-04-13","WGS84","TENN-V-0026458"
"Phragmites australis",-105.450954,35.372677,"cdc,colmafu,inmafu","US","PRESENT",660,"UNM","1843829334","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4039557","PRESERVED_SPECIMEN",1999,5,11,"1999-05-11","WGS84","UNM0105945"
