"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Plantago lanceolata",-121.073056,38.899722,"cdc,ambinst","US","PRESENT",201,"CHSC","2417998876","https://cch2.org/portal/collections/individual/index.php?occid=2085602","PRESERVED_SPECIMEN",2000,4,23,"2000-04-23","WGS84","CHSC081532"
"Plantago lanceolata",-94.431081,35.389566,"ambcol","US","PRESENT",415,"KU","177005189",NA,"PRESERVED_SPECIMEN",2000,5,18,"2000-05-18","WGS84","358359"
"Plantago lanceolata",-75.79329,40.187313,"cdc,inmafu","US","PRESENT",504,"MOAR","4064853722","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12755324","PRESERVED_SPECIMEN",2000,6,NA,"2000-06","WGS84","MOAR0004290"
"Plantago lanceolata",-106.428695,39.700052,"cdc,inmafu","US","PRESENT",700,"RMBL","3776199061","https://www.soroherbaria.org/portal/collections/individual/index.php?occid=24451845","PRESERVED_SPECIMEN",2000,6,22,"2000-06-22","WGS84","RMBL0004713"
"Plantago lanceolata",-103.71234,39.26062,"cdc,ambinst","US","PRESENT",250,"COLO","2573517468","https://botanydb.colorado.edu/collections/individual/index.php?occid=42603","PRESERVED_SPECIMEN",2000,6,24,"2000-06-24","WGS84","00609859"
"Plantago lanceolata",-117.1175,32.7225,"cdc,colmano,inmafu","US","PRESENT",80,"SD","3125072168","https://cch2.org/portal/collections/individual/index.php?occid=525117","PRESERVED_SPECIMEN",2000,6,30,"2000-06-30","WGS84",NA
"Plantago lanceolata",-104.11722,23.935,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",70,"IBUNAM","3308633800",NA,"PRESERVED_SPECIMEN",2000,6,NA,"2000-06","WGS84","1069927"
"Plantago lanceolata",-102.27833,39.29556,"cdc,ambinst","US","PRESENT",250,"COLO","2573529847","https://botanydb.colorado.edu/collections/individual/index.php?occid=42610","PRESERVED_SPECIMEN",2000,8,18,"2000-08-18","WGS84","00621615"
"Plantago lanceolata",-98.90436,19.44931,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",80,"IBUNAM","3307827620",NA,"PRESERVED_SPECIMEN",2000,9,20,"2000-09-20","WGS84","647950"
"Plantago lanceolata",-98.90322,19.449,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",80,"IBUNAM","3308622450",NA,"PRESERVED_SPECIMEN",2000,9,20,"2000-09-20","WGS84","1036450"
"Plantago lanceolata",-97.79228,18.97478,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",90,"IBUNAM","3308006316",NA,"PRESERVED_SPECIMEN",2000,10,19,"2000-10-19","WGS84","1029518"
"Plantago lanceolata",-120.6801,35.3442,"cdc,inmafu","US","PRESENT",400,"OBI","2270221639","https://cch2.org/portal/collections/individual/index.php?occid=215629","PRESERVED_SPECIMEN",2000,11,10,"2000-11-10","WGS84","OBI160130"
"Plantago lanceolata",-104.19122,37.02509,"cdc,ambinst","US","PRESENT",1000,"COLO","2573525403","https://botanydb.colorado.edu/collections/individual/index.php?occid=43471","PRESERVED_SPECIMEN",1999,5,23,"1999-05-23","WGS84","00962399"
"Plantago lanceolata",-103.874661,40.417863,"cdc,cdround,colmafu,inmafu","US","PRESENT",500,"CS","3798112998","https://www.soroherbaria.org/portal/collections/individual/index.php?occid=29345467","PRESERVED_SPECIMEN",1999,6,13,"1999-06-13","WGS84","200408"
"Plantago lanceolata",-106.381,35.167,"cdc,colmafu,inmafu","US","PRESENT",570,"UNM","1843898546","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4108292","PRESERVED_SPECIMEN",1999,7,12,"1999-07-12","WGS84","UNM0068791"
"Plantago lanceolata",-106.021924,33.079643,"cdc,colmafu,inmafu","US","PRESENT",174,"UTEP","3413530075","http://arctos.database.museum/guid/UTEP:Herb:59125","PRESERVED_SPECIMEN",1999,10,9,"1999-10-09","WGS84","UTEP:Herb:59125"
"Plantago lanceolata",-121.17348,44.15967,"cdc,ambinst","US","PRESENT",805,"OSU","3820660312","https://oregonflora.org/collections/individual/index.php?occid=1013163","PRESERVED_SPECIMEN",1998,6,18,"1998-06-18","WGS84","OSC-V-055323"
"Plantago lanceolata",-119.513434,49.804025,"cdc","CA","PRESENT",1000,"iNaturalist","3759894854","https://www.inaturalist.org/observations/107398711","HUMAN_OBSERVATION",1998,6,15,"1998-06-15T09:55","WGS84","107398711"
"Plantago lanceolata",-117.37361,47.6375,"cdc,colmafu,inmafu","US","PRESENT",495,"EWU","4070140831",NA,"PRESERVED_SPECIMEN",1998,6,4,"1998-06-04","WGS84","6365"
"Plantago lanceolata",-79.62667,40.29167,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859501899","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12346516","PRESERVED_SPECIMEN",1998,7,17,"1998-07-17","WGS84","CM481129"
"Plantago lanceolata",-73.47833,41.75472,"cdc,gass84,inmano","US","PRESENT",3,"UConn","699257976",NA,"PRESERVED_SPECIMEN",1998,7,15,"1998-07-15","WGS84","CONN00032290"
"Plantago lanceolata",-104.908113,37.922675,"ambcol","US","PRESENT",454,"KU","177005123",NA,"PRESERVED_SPECIMEN",1998,8,13,"1998-08-13","WGS84","322443"
"Plantago lanceolata",-107.25719,38.960066,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573526448","https://botanydb.colorado.edu/collections/individual/index.php?occid=42582","PRESERVED_SPECIMEN",1998,8,17,"1998-08-17","WGS84","00551671"
"Plantago lanceolata",-104.90888,37.92269,"cdc,ambinst","US","PRESENT",250,"COLO","2573529892","https://botanydb.colorado.edu/collections/individual/index.php?occid=43457","PRESERVED_SPECIMEN",1998,8,13,"1998-08-13","WGS84","00945089"
