"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Plantago patagonica",-110.825,31.308333,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",70,"DCBS-DICTUS-USON","1893592931",NA,"PRESERVED_SPECIMEN",2000,4,12,"2000-04-12","WGS84","09397"
"Plantago patagonica",-110.741667,31.208333,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",70,"DCBS-DICTUS-USON","1893592974",NA,"PRESERVED_SPECIMEN",2000,4,14,"2000-04-14","WGS84","09399"
"Plantago patagonica",-119.173602,46.725132,"cdc,inmafu","US","PRESENT",200,"WS","4851297355","https://intermountainbiota.org/portal/collections/individual/index.php?occid=30863486","PRESERVED_SPECIMEN",2000,6,11,"2000-06-11","WGS84","362774"
"Plantago patagonica",-102.40976,39.46106,"cdc,ambinst","US","PRESENT",500,"COLO","2573527644","https://botanydb.colorado.edu/collections/individual/index.php?occid=42628","PRESERVED_SPECIMEN",2000,6,23,"2000-06-23","WGS84","00668558"
"Plantago patagonica",-102.6125,39.47528,"cdc,ambinst","US","PRESENT",250,"COLO","2573466590","https://botanydb.colorado.edu/collections/individual/index.php?occid=42755","PRESERVED_SPECIMEN",2000,6,24,"2000-06-24","WGS84","00690990"
"Plantago patagonica",-104.57789,38.95588,"cdc,ambinst","US","PRESENT",1000,"COLO","2573516462","https://botanydb.colorado.edu/collections/individual/index.php?occid=42505","PRESERVED_SPECIMEN",2000,9,21,"2000-09-21","WGS84","00493163"
"Plantago patagonica",-108.494865,38.920112,"cdc,cdround,ambinst","US","PRESENT",100,"COLO","2573516464","https://botanydb.colorado.edu/collections/individual/index.php?occid=42541","PRESERVED_SPECIMEN",1999,5,27,"1999-05-27","WGS84","00493528"
"Plantago patagonica",-105.106874,32.067777,"cdc,colmafu,inmafu","US","PRESENT",186,"UTEP","3413519905","http://arctos.database.museum/guid/UTEP:Herb:58859","PRESERVED_SPECIMEN",1999,5,2,"1999-05-02","WGS84","UTEP:Herb:58859"
"Plantago patagonica",-104.84799,37.69811,"cdc,ambinst","US","PRESENT",1000,"COLO","2573519604","https://botanydb.colorado.edu/collections/individual/index.php?occid=43470","PRESERVED_SPECIMEN",1999,6,6,"1999-06-06","WGS84","00962274"
"Plantago patagonica",-116.829944,44.985561,"cdc,incomis,inmafu","US","PRESENT",186,"ID","4073910861",NA,"PRESERVED_SPECIMEN",1999,6,1,"1999-06-01","WGS84","167676"
"Plantago patagonica",-118.209444,48.553611,"cdc,cdround,gass84,ambinst","US","PRESENT",805,"OSU","3820545104","https://oregonflora.org/collections/individual/index.php?occid=1009612","PRESERVED_SPECIMEN",1999,7,11,"1999-07-11","WGS84",NA
"Plantago patagonica",-116.18359,36.284548,"cdc,gass84,ambinst","US","PRESENT",969,"CHSC","2417994669","https://cch2.org/portal/collections/individual/index.php?occid=2081686","PRESERVED_SPECIMEN",1998,4,7,"1998-04-07","WGS84","CHSC077681"
"Plantago patagonica",-111.661,33.1794,"cdc,gass84,inmafu","US","PRESENT",700,"DES","2572938919","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=24521187","PRESERVED_SPECIMEN",1998,4,4,"1998-04-04","WGS84","DES00091228"
"Plantago patagonica",-104.525,32.439,"cdc,colmafu,inmafu","US","PRESENT",570,"UNM","1843819932","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4029659","PRESERVED_SPECIMEN",1998,4,21,"1998-04-21","WGS84","UNM0067457"
"Plantago patagonica",-108.849,32.629,"cdc,colmafu,inmafu","US","PRESENT",570,"UNM","1843819199","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4029862","PRESERVED_SPECIMEN",1998,4,6,"1998-04-06","WGS84","UNM0067455"
"Plantago patagonica",-108.322,31.759,"cdc,colmafu,inmafu","US","PRESENT",285,"UNM","1843819723","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4029875","PRESERVED_SPECIMEN",1998,4,7,"1998-04-07","WGS84","UNM0067454"
"Plantago patagonica",-107.865,32.336,"cdc,colmafu,inmafu","US","PRESENT",285,"UNM","1843820397","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4030553","PRESERVED_SPECIMEN",1998,4,16,"1998-04-16","WGS84","UNM0068926"
"Plantago patagonica",-104.44266,33.08138,"cdc,colmafu,inmafu","US","PRESENT",500,"UNM","1843821853","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4032117","PRESERVED_SPECIMEN",1998,4,21,"1998-04-21","WGS84","UNM0067409"
"Plantago patagonica",-111.661,33.1647,"cdc,gass84,colmafu,inmafu","US","PRESENT",700,"ASU","2270666257","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=754057","PRESERVED_SPECIMEN",1998,4,18,"1998-04-18","WGS84",NA
"Plantago patagonica",-97.919033,30.489819,"cdc,inmafu","US","PRESENT",168,"BRIT","4101828442","https://sernecportal.org/portal/collections/individual/index.php?occid=9136019","PRESERVED_SPECIMEN",1998,4,11,"1998-04-11","WGS84","NLU0240686"
"Plantago patagonica",-115.56056,31.22833,"cdc,elmms,gass84,typstativ,incomis,inmafu,diffown","MX","PRESENT",80,"SDNHM","2629859794",NA,"PRESERVED_SPECIMEN",1998,5,5,"1998-05-05","WGS84","154763"
"Plantago patagonica",-99.134335,39.447947,"ambcol","US","PRESENT",554,"KU","177004471",NA,"PRESERVED_SPECIMEN",1998,5,29,"1998-05-29","WGS84","319887"
"Plantago patagonica",-115.560694,31.22825,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"FC-UABC","1893339605",NA,"PRESERVED_SPECIMEN",1998,5,5,"1998-05-05","WGS84","009642"
"Plantago patagonica",-99.528543,39.391475,"ambcol","US","PRESENT",371,"KU","177005404",NA,"PRESERVED_SPECIMEN",1998,5,28,"1998-05-28","WGS84","317584"
"Plantago patagonica",-104.351,33.413,"cdc,colmafu,inmafu","US","PRESENT",570,"UNM","1843820688","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4030954","PRESERVED_SPECIMEN",1998,5,14,"1998-05-14","WGS84","UNM0068916"
"Plantago patagonica",-110.304,32.8962,"cdc,gass84,colmafu,inmafu","US","PRESENT",700,"ASU","2270622633","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=697417","PRESERVED_SPECIMEN",1998,5,22,"1998-05-22","WGS84",NA
"Plantago patagonica",-115.55,31.21667,"cdc,elmms,gass84,typstativ,inmano","MX","PRESENT",80,"FC-UABC","2629932720",NA,"PRESERVED_SPECIMEN",1998,5,5,"1998-05-05","WGS84","9642"
"Plantago patagonica",-102.929396,38.081677,"ambcol","US","PRESENT",585,"KU","177004785",NA,"PRESERVED_SPECIMEN",1998,6,6,"1998-06-06","WGS84","332690"
"Plantago patagonica",-98.740126,38.510131,"ambcol","US","PRESENT",217,"KU","177004838",NA,"PRESERVED_SPECIMEN",1998,6,23,"1998-06-23","WGS84","324482"
"Plantago patagonica",-93.860723,44.623242,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265434745","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=179191","PRESERVED_SPECIMEN",1998,6,25,"1998-06-25","WGS84","480996"
"Plantago patagonica",-116.058333,31.591667,"cdc,cdround,elmms,gass84,typstativ,incomis,inmafu,diffown","MX","PRESENT",90,"CIBNOR","1894814762",NA,"PRESERVED_SPECIMEN",1998,6,3,"1998-06-03","WGS84","13941"
"Plantago patagonica",-102.930091,38.081193,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573518464","https://botanydb.colorado.edu/collections/individual/index.php?occid=42524","PRESERVED_SPECIMEN",1998,6,6,"1998-06-06","WGS84","00493353"
"Plantago patagonica",-105.18262,37.75549,"cdc,ambinst","US","PRESENT",1000,"COLO","2573528685","https://botanydb.colorado.edu/collections/individual/index.php?occid=43454","PRESERVED_SPECIMEN",1998,6,22,"1998-06-22","WGS84","00944413"
"Plantago patagonica",-116.06,31.5928,"cdc,elmms,gass84,typstativ,osiic,ambinst","MX","PRESENT",90,"UCR","2629911923",NA,"PRESERVED_SPECIMEN",1998,6,3,"1998-06-03","WGS84","146758"
"Plantago patagonica",-116.05,31.58333,"cdc,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",90,"FC-UABC","2629872991",NA,"PRESERVED_SPECIMEN",1998,6,3,"1998-06-03","WGS84","11095"
"Plantago patagonica",-116.05,31.583333,"cdc,elmms,gass84,typstativ,osiic,incomis,inmafu,diffown","MX","PRESENT",90,"CIBNOR","2629928774",NA,"PRESERVED_SPECIMEN",1998,6,3,"1998-06-03","WGS84","13941"
"Plantago patagonica",-105.707104,34.093088,"cdc,colmafu,inmafu","US","PRESENT",488,"UTEP","3413530819","http://arctos.database.museum/guid/UTEP:Herb:59688","PRESERVED_SPECIMEN",1998,7,22,"1998-07-22","WGS84","UTEP:Herb:59688"
"Plantago patagonica",-104.3,32.449,"cdc,colmafu,inmafu","US","PRESENT",285,"UNM","1843838366","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4048421","PRESERVED_SPECIMEN",1998,8,12,"1998-08-12","WGS84","UNM0068907"
"Plantago patagonica",-114.3666,35.03754,"cdc,inmafu","US","PRESENT",10,"ASC","3091285301","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2080543","PRESERVED_SPECIMEN",1997,3,21,"1997-03-21","WGS84","ASC00062972"
"Plantago patagonica",-97.181026,32.608501,"cdc,inmafu","US","PRESENT",601,"BRIT","3969864678","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24925583","PRESERVED_SPECIMEN",1997,4,24,"1997-04-24","WGS84","BRIT385601"
"Plantago patagonica",-107.583,32.088,"cdc,colmafu,inmafu","US","PRESENT",285,"UNM","1843810632","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4020533","PRESERVED_SPECIMEN",1997,4,13,"1997-04-13","WGS84","UNM0067460"
"Plantago patagonica",-107.583656,32.086974,"cdc,colmafu,inmafu","US","PRESENT",315,"UTEP","3413521457","http://arctos.database.museum/guid/UTEP:Herb:57185","PRESERVED_SPECIMEN",1997,4,13,"1997-04-13","WGS84","UTEP:Herb:57185"
"Plantago patagonica",-106.222916,36.168595,"cdc,colmafu,inmafu","US","PRESENT",953,"UNM","1843812357","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4022482","PRESERVED_SPECIMEN",1997,5,7,"1997-05-07","WGS84","UNM0067431"
"Plantago patagonica",-107.262,32.827,"cdc,colmafu,inmafu","US","PRESENT",570,"UNM","1843819509","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4029071","PRESERVED_SPECIMEN",1997,5,1,"1997-05-01","WGS84","UNM0067459"
"Plantago patagonica",-92.223565,42.810075,"ambcol","US","PRESENT",974,"KU","177005416",NA,"PRESERVED_SPECIMEN",1997,6,16,"1997-06-16","WGS84","311922"
"Plantago patagonica",-94.674298,44.420061,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265443332","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=186566","PRESERVED_SPECIMEN",1997,6,7,"1997-06-07","WGS84","492522"
"Plantago patagonica",-106.221853,36.168096,"cdc,colmafu,inmafu","US","PRESENT",939,"UNM","1843813649","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4024082","PRESERVED_SPECIMEN",1997,6,9,"1997-06-09","WGS84","UNM0068921"
"Plantago patagonica",-103.014682,37.139806,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573528635","https://botanydb.colorado.edu/collections/individual/index.php?occid=42527","PRESERVED_SPECIMEN",1997,6,14,"1997-06-14","WGS84","00493387"
