"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Poa annua",-117.1175,32.7225,"cdc,colmano,inmafu","US","PRESENT",80,"SD","3125027239","https://cch2.org/portal/collections/individual/index.php?occid=426365","PRESERVED_SPECIMEN",2000,1,21,"2000-01-21","WGS84",NA
"Poa annua",-117.12083,32.72917,"cdc,colmano,inmafu","US","PRESENT",80,"SD","3125021241","https://cch2.org/portal/collections/individual/index.php?occid=426366","PRESERVED_SPECIMEN",2000,3,3,"2000-03-03","WGS84",NA
"Poa annua",-119.26282,34.4058,"cdc,inmafu","US","PRESENT",300,"SBBG","4104083476","https://cch2.org/portal/collections/individual/index.php?occid=5697183","PRESERVED_SPECIMEN",2000,4,1,"2000-04-01","WGS84","SBBG234022"
"Poa annua",-120.7307101,35.3179139,"cdc,cdrep,inmafu","US","PRESENT",500,"SBBG","3053363221","https://cch2.org/portal/collections/individual/index.php?occid=91555","PRESERVED_SPECIMEN",2000,4,18,"2000-04-18","WGS84","118219"
"Poa annua",-96.093611,15.991389,"cdc,cdround,elmms,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",100,"IBUNAM","4399459792",NA,"PRESERVED_SPECIMEN",2000,5,12,"2000-05-12","WGS84","NO DISPONIBLE"
"Poa annua",-88.80423,37.729216,"cdc,inmafu","US","PRESENT",301,"VT","2573159148","https://nansh.org/portal/collections/individual/index.php?occid=7237829","PRESERVED_SPECIMEN",2000,5,30,"2000-05-30","WGS84","UVMVT135961"
"Poa annua",-102.570491,38.468742,"ambcol","US","PRESENT",51,"KU","177007542",NA,"PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","329736"
"Poa annua",-102.79083,38.76639,"cdc,ambinst","US","PRESENT",250,"COLO","2573470491","https://botanydb.colorado.edu/collections/individual/index.php?occid=40105","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","00621581"
"Poa annua",-106.01936,40.61374,"cdc,ambinst","US","PRESENT",500,"COLO","2573468493","https://botanydb.colorado.edu/collections/individual/index.php?occid=40470","PRESERVED_SPECIMEN",2000,6,28,"2000-06-28","WGS84","00901264"
"Poa annua",-99.161667,21.383483,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",70,"INECOL","1893681727",NA,"PRESERVED_SPECIMEN",2000,6,13,"2000-06-13","WGS84","152848"
"Poa annua",-123.68,45.97,"cdc,gass84,ambinst","US","PRESENT",500,"OSU","3820613012","https://oregonflora.org/collections/individual/index.php?occid=4438084","PRESERVED_SPECIMEN",2000,7,26,"2000-07-26","WGS84","OSC-V-262919"
"Poa annua",-103.06194,39.28944,"cdc,ambinst","US","PRESENT",250,"COLO","2573466490","https://botanydb.colorado.edu/collections/individual/index.php?occid=40199","PRESERVED_SPECIMEN",2000,8,19,"2000-08-19","WGS84","00700864"
"Poa annua",-104.732778,23.6,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",70,"CIIDIR-IPN","1895892374",NA,"PRESERVED_SPECIMEN",2000,10,11,"2000-10-11","WGS84","NO DISPONIBLE"
"Poa annua",-107.3795,27.5889,"cdc,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",60,"NMNH-SI","1895112246",NA,"PRESERVED_SPECIMEN",2000,10,5,"2000-10-05","WGS84","3434337"
"Poa annua",-100.7948842,19.8382286,"cdc,cdrep,cdround,elmms,typstativ,inmano","MX","PRESENT",560,"FB-UMSNH","1893935149",NA,"PRESERVED_SPECIMEN",2000,12,9,"2000-12-09","WGS84","NO DISPONIBLE"
"Poa annua",-100.160833,17.464444,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",100,"FC-UNAM","1895729988",NA,"PRESERVED_SPECIMEN",1999,2,22,"1999-02-22","WGS84","NO DISPONIBLE"
"Poa annua",-100.172722,17.470472,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",100,"FC-UNAM","1895729998",NA,"PRESERVED_SPECIMEN",1999,2,21,"1999-02-21","WGS84","NO DISPONIBLE"
"Poa annua",-95.140038,38.024291,"ambcol","US","PRESENT",142,"KU","177007554",NA,"PRESERVED_SPECIMEN",1999,3,27,"1999-03-27","WGS84","325187"
"Poa annua",-115.228995,36.204401,"cdc,inmafu","US","PRESENT",437,"MMNS","3707742605","https://sernecportal.org/portal/collections/individual/index.php?occid=11452164","PRESERVED_SPECIMEN",1999,3,7,"1999-03-07","WGS84","MMNS036071"
"Poa annua",-94.117652,34.817168,"ambcol","US","PRESENT",984,"KU","177007517",NA,"PRESERVED_SPECIMEN",1999,4,9,"1999-04-09","WGS84","325205"
"Poa annua",-97.237999,32.862188,"cdc,incomis,inmafu","US","PRESENT",129,"BRIT","4102020105","https://sernecportal.org/portal/collections/individual/index.php?occid=16655536","PRESERVED_SPECIMEN",1999,4,8,"1999-04-08","WGS84","BRIT268712"
"Poa annua",-120.77996,35.72303,"cdc,inmafu","US","PRESENT",623,"OBI","2270206420","https://cch2.org/portal/collections/individual/index.php?occid=200205","PRESERVED_SPECIMEN",1999,4,29,"1999-04-29","WGS84","OBI169075"
"Poa annua",-107.878889,27.245,"cdc,cdround,gass84,typstativ,osiic,inmano","MX","PRESENT",60,"FZ-UACH","3306063788",NA,"PRESERVED_SPECIMEN",1999,4,30,"1999-04-30","WGS84","NO DISPONIBLE"
"Poa annua",-98.9962,40.6504,"gass84,ambcol","US","PRESENT",0.19,"KU","177007504",NA,"PRESERVED_SPECIMEN",1999,5,13,"1999-05-13","WGS84","333030"
"Poa annua",-122.408611,39.037778,"cdc,colmafu,inmafu","US","PRESENT",320,"DAV","2421773208","https://cch2.org/portal/collections/individual/index.php?occid=1401618","PRESERVED_SPECIMEN",1999,5,10,"1999-05-10","WGS84",NA
"Poa annua",-76.62667,40.4775,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859252048","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11694848","PRESERVED_SPECIMEN",1999,6,4,"1999-06-04","WGS84","CM488079"
"Poa annua",-107.698333,27.070278,"cdc,cdround,gass84,typstativ,osiic,inmano","MX","PRESENT",60,"FZ-UACH","3306063959",NA,"PRESERVED_SPECIMEN",1999,6,4,"1999-06-04","WGS84","NO DISPONIBLE"
