"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Poa pratensis",-103.658668,39.389178,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573522799","https://botanydb.colorado.edu/collections/individual/index.php?occid=38850","PRESERVED_SPECIMEN",2000,5,19,"2000-05-19","WGS84","00566356"
"Poa pratensis",-102.35361,38.81583,"cdc,ambinst","US","PRESENT",250,"COLO","2573465483","https://botanydb.colorado.edu/collections/individual/index.php?occid=40177","PRESERVED_SPECIMEN",2000,5,17,"2000-05-17","WGS84","00673574"
"Poa pratensis",-102.15194,39.32056,"cdc,ambinst","US","PRESENT",250,"COLO","2573532721","https://botanydb.colorado.edu/collections/individual/index.php?occid=40185","PRESERVED_SPECIMEN",2000,5,14,"2000-05-14","WGS84","00684035"
"Poa pratensis",-103.29528,39.12806,"cdc,ambinst","US","PRESENT",250,"COLO","2573532528","https://botanydb.colorado.edu/collections/individual/index.php?occid=40188","PRESERVED_SPECIMEN",2000,5,15,"2000-05-15","WGS84","00691105"
"Poa pratensis",-107.0571,39.46057,"cdc,ambinst","US","PRESENT",800,"COLO","2573525282","https://botanydb.colorado.edu/collections/individual/index.php?occid=40410","PRESERVED_SPECIMEN",2000,5,26,"2000-05-26","WGS84","00886416"
"Poa pratensis",-117.2592757,46.0110718,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073910865",NA,"PRESERVED_SPECIMEN",2000,5,18,"2000-05-18","WGS84","124513"
"Poa pratensis",-120.2016,44.435667,"cdc,cdround,gass84,ambinst","US","PRESENT",805,"OSU","3820683367","https://oregonflora.org/collections/individual/index.php?occid=1037889","PRESERVED_SPECIMEN",2000,6,10,"2000-06-10","WGS84",NA
"Poa pratensis",-103.274375,38.958285,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573522785","https://botanydb.colorado.edu/collections/individual/index.php?occid=38851","PRESERVED_SPECIMEN",2000,6,4,"2000-06-04","WGS84","00566364"
"Poa pratensis",-106.16636,40.84991,"cdc,ambinst","US","PRESENT",500,"COLO","2573527574","https://botanydb.colorado.edu/collections/individual/index.php?occid=40468","PRESERVED_SPECIMEN",2000,6,18,"2000-06-18","WGS84","00901017"
"Poa pratensis",-63.681667,46.251667,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2858996043","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11695388","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84","CM496727"
"Poa pratensis",-120.120173,39.186395,"cdc,colmafu,inmafu","US","PRESENT",65,"DAV","2421684385","https://cch2.org/portal/collections/individual/index.php?occid=1311312","PRESERVED_SPECIMEN",2000,7,20,"2000-07-20","WGS84",NA
