"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Poa secunda",-122.363611,39.010833,"cdc,colmafu,inmafu","US","PRESENT",31,"DAV","2421776717","https://cch2.org/portal/collections/individual/index.php?occid=1401220","PRESERVED_SPECIMEN",2000,4,12,"2000-04-12","WGS84",NA
"Poa secunda",-120.72971,35.3189139,"cdc,cdrep,inmafu","US","PRESENT",500,"SBBG","3053398460","https://cch2.org/portal/collections/individual/index.php?occid=156259","PRESERVED_SPECIMEN",2000,4,18,"2000-04-18","WGS84","118224"
"Poa secunda",-117.691331,33.829172,"cdc,inmafu","US","PRESENT",600,"RSA","2430351157","https://cch2.org/portal/collections/individual/index.php?occid=760561","PRESERVED_SPECIMEN",2000,4,15,"2000-04-15","WGS84",NA
"Poa secunda",-120.8497179,35.7703013,"cdc,cdrep,inmafu","US","PRESENT",1000,"SBBG","3053369212","https://cch2.org/portal/collections/individual/index.php?occid=110587","PRESERVED_SPECIMEN",2000,5,16,"2000-05-16","WGS84","118307"
"Poa secunda",-106.78341,39.60627,"cdc,ambinst","US","PRESENT",400,"COLO","2573462613","https://botanydb.colorado.edu/collections/individual/index.php?occid=374981","PRESERVED_SPECIMEN",2000,5,23,"2000-05-23","WGS84","02141349"
"Poa secunda",-120.382695,39.735029,"cdc,colmafu,inmafu","US","PRESENT",969,"RENO","4404937051","https://intermountainbiota.org/portal/collections/individual/index.php?occid=7862572","PRESERVED_SPECIMEN",2000,5,20,"2000-05-20","WGS84","53711"
"Poa secunda",-116.728564,44.940157,"cdc,incomis,inmafu","US","PRESENT",969,"ID","4073910757",NA,"PRESERVED_SPECIMEN",2000,5,19,"2000-05-19","WGS84","166527"
"Poa secunda",-106.16636,40.84991,"cdc,ambinst","US","PRESENT",500,"COLO","2573466509","https://botanydb.colorado.edu/collections/individual/index.php?occid=40540","PRESERVED_SPECIMEN",2000,6,18,"2000-06-18","WGS84","00914010"
"Poa secunda",-119.9565765,41.8068893,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073960116",NA,"PRESERVED_SPECIMEN",2000,6,7,"2000-06-07","WGS84","122654"
"Poa secunda",-119.98289,38.86718,"cdc,colmafu,inmafu","US","PRESENT",962,"DAV","2421685982","https://cch2.org/portal/collections/individual/index.php?occid=1312738","PRESERVED_SPECIMEN",2000,7,25,"2000-07-25","WGS84",NA
