"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Poa trivialis",-123.68,45.97,"cdc,gass84,ambinst","US","PRESENT",500,"OSU","3820743046","https://oregonflora.org/collections/individual/index.php?occid=4437899","PRESERVED_SPECIMEN",2000,7,26,"2000-07-26","WGS84","OSC-V-262899"
"Poa trivialis",-75.97417,40.62556,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2858999085","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11695494","PRESERVED_SPECIMEN",1999,6,6,"1999-06-06","WGS84","CM498183"
"Poa trivialis",-80.6175,41.013889,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2858997014","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11694822","PRESERVED_SPECIMEN",1998,6,6,"1998-06-06","WGS84","CM487670"
"Poa trivialis",-80.31445,41.05472,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2858995057","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11695122","PRESERVED_SPECIMEN",1998,6,6,"1998-06-06","WGS84","CM492535"
"Poa trivialis",-122.872675,45.447761,"cdc,incomis,inmafu","US","PRESENT",500,"HPSU","4070158790",NA,"PRESERVED_SPECIMEN",1998,6,3,"1998-06-03","WGS84","8592"
"Poa trivialis",-123.93145,46.13496,"cdc,ambinst","US","PRESENT",805,"OSU","3820664019","https://oregonflora.org/collections/individual/index.php?occid=1029393","PRESERVED_SPECIMEN",1997,6,25,"1997-06-25","WGS84",NA
"Poa trivialis",-123.26598,44.7145,"cdc,ambinst","US","PRESENT",805,"OSU","3820687365","https://oregonflora.org/collections/individual/index.php?occid=1037552","PRESERVED_SPECIMEN",1997,6,10,"1997-06-10","WGS84",NA
"Poa trivialis",-79.583889,41.973611,"cdc,cdround,colmafu,inmafu","US","PRESENT",50,"CM","2859276983","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11694341","PRESERVED_SPECIMEN",1997,6,17,"1997-06-17","WGS84","CM483140"
"Poa trivialis",-123.243396,44.610808,"cdc,cdround,ambinst","US","PRESENT",805,"OSU","3820557682","https://oregonflora.org/collections/individual/index.php?occid=1046001","PRESERVED_SPECIMEN",1996,5,12,"1996-05-12","WGS84",NA
"Poa trivialis",-123.84394,39.83523,"cdc,inmafu","US","PRESENT",217,"HSC","2982034678","https://cch2.org/portal/collections/individual/index.php?occid=1829437","PRESERVED_SPECIMEN",1995,6,27,"1995-06-27","WGS84",NA
"Poa trivialis",-123.912,39.8881,"cdc,inmafu","US","PRESENT",121,"HSC","2982075643","https://cch2.org/portal/collections/individual/index.php?occid=1829484","PRESERVED_SPECIMEN",1995,6,8,"1995-06-08","WGS84",NA
"Poa trivialis",-79.60972,40.21944,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2858996987","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11694327","PRESERVED_SPECIMEN",1994,6,4,"1994-06-04","WGS84","CM483098"
"Poa trivialis",-79.84889,40.17917,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859254019","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11694400","PRESERVED_SPECIMEN",1994,6,4,"1994-06-04","WGS84","CM483209"
"Poa trivialis",-79.880592,41.325885,"cdc,colmafu,inmafu","US","PRESENT",100,"CM","2858998008","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11694563","PRESERVED_SPECIMEN",1994,6,5,"1994-06-05","WGS84","CM484566"
"Poa trivialis",-116.7568609,45.9388765,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073933959",NA,"PRESERVED_SPECIMEN",1994,6,29,"1994-06-29","WGS84","109830"
"Poa trivialis",-122.530892,38.44281,"cdc,colmafu,inmafu","US","PRESENT",1000,"DAV","2421769304","https://cch2.org/portal/collections/individual/index.php?occid=1395364","PRESERVED_SPECIMEN",1994,7,5,"1994-07-05","WGS84",NA
"Poa trivialis",-79.60222,40.54806,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2858999027","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11694314","PRESERVED_SPECIMEN",1993,5,28,"1993-05-28","WGS84","CM483084"
"Poa trivialis",-79.14917,40.29583,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2858997996","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11694310","PRESERVED_SPECIMEN",1993,6,19,"1993-06-19","WGS84","CM483080"
"Poa trivialis",-80.469775,41.106708,"cdc,colmafu,inmafu","US","PRESENT",500,"CM","2859254027","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11694554","PRESERVED_SPECIMEN",1993,6,12,"1993-06-12","WGS84","CM484557"
"Poa trivialis",-116.881966,46.0403749,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073895083",NA,"PRESERVED_SPECIMEN",1992,5,27,"1992-05-27","WGS84","145066"
"Poa trivialis",-123.55565,45.09445,"cdc,ambinst","US","PRESENT",805,"OSU","3820538231","https://oregonflora.org/collections/individual/index.php?occid=1012495","PRESERVED_SPECIMEN",1991,7,16,"1991-07-16","WGS84",NA
"Poa trivialis",-123.92909,43.48223,"cdc,ambinst","US","PRESENT",805,"OSU","3820714086","https://oregonflora.org/collections/individual/index.php?occid=1104499","PRESERVED_SPECIMEN",1990,6,14,"1990-06-14","WGS84",NA
"Poa trivialis",-92.755257,45.297694,"cdc,gass84,ambcol","US","PRESENT",283,"MIN","2265375102","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=124370","PRESERVED_SPECIMEN",1990,7,4,"1990-07-04","WGS84","828410"
"Poa trivialis",-122.299507,47.655238,"cdc,incomis,inmafu","US","PRESENT",200,"UWB","4074269918",NA,"PRESERVED_SPECIMEN",1989,6,12,"1989-06-12","WGS84","000720"
"Poa trivialis",-115.6935011,43.9874992,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073765095",NA,"PRESERVED_SPECIMEN",1989,7,4,"1989-07-04","WGS84","106576"
"Poa trivialis",-123.95698,44.12068,"cdc,ambinst","US","PRESENT",805,"OSU","3820643228","https://oregonflora.org/collections/individual/index.php?occid=987879","PRESERVED_SPECIMEN",1989,7,25,"1989-07-25","WGS84",NA
"Poa trivialis",-92.757832,45.299324,"cdc,gass84,ambcol","US","PRESENT",305,"MIN","2265373448","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=124371","PRESERVED_SPECIMEN",1988,6,10,"1988-06-10","WGS84","833891"
"Poa trivialis",-123.254249,44.566668,"cdc,inmafu","US","PRESENT",400,"WS","4851290068","https://intermountainbiota.org/portal/collections/individual/index.php?occid=30955675","PRESERVED_SPECIMEN",1988,6,17,"1988-06-17","WGS84","399436"
"Poa trivialis",-123.41184,45.29546,"cdc,ambinst","US","PRESENT",805,"OSU","3820546953","https://oregonflora.org/collections/individual/index.php?occid=1028692","PRESERVED_SPECIMEN",1988,7,14,"1988-07-14","WGS84",NA
"Poa trivialis",-123.9118,39.8865,"cdc,colmafu,inmafu","US","PRESENT",25,"DAV","2421719841","https://cch2.org/portal/collections/individual/index.php?occid=1345985","PRESERVED_SPECIMEN",1987,5,27,"1987-05-27","WGS84",NA
"Poa trivialis",-123.97183,39.96368,"cdc,inmafu","US","PRESENT",350,"HSC","2982037672","https://cch2.org/portal/collections/individual/index.php?occid=1829423","PRESERVED_SPECIMEN",1987,5,27,"1987-05-27","WGS84",NA
"Poa trivialis",-121.470556,39.723333,"cdc,ambinst","US","PRESENT",402,"CHSC","2417969141","https://cch2.org/portal/collections/individual/index.php?occid=2053314","PRESERVED_SPECIMEN",1987,6,9,"1987-06-09","WGS84","CHSC042403"
"Poa trivialis",-105.173817,39.805595,"cdc,gass84,inmafu","US","PRESENT",1000,"DBG","2242368597","https://intermountainbiota.org/portal/collections/individual/index.php?occid=3042677","PRESERVED_SPECIMEN",1986,7,23,"1986-07-23","WGS84","KHD00018467"
"Poa trivialis",-123.51422,45.3383,"cdc,ambinst","US","PRESENT",805,"OSU","3820658502","https://oregonflora.org/collections/individual/index.php?occid=1017751","PRESERVED_SPECIMEN",1985,6,26,"1985-06-26","WGS84",NA
"Poa trivialis",-80.479827,39.95291,"cdc,colmafu,inmafu","US","PRESENT",750,"CM","2859249656","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11687027","PRESERVED_SPECIMEN",1985,6,6,"1985-06-06","WGS84","CM314785"
"Poa trivialis",-123.407821,45.3112207,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073764945",NA,"PRESERVED_SPECIMEN",1985,7,5,"1985-07-05","WGS84","134910"
"Poa trivialis",-123.41172,45.30997,"cdc,gass84,colmafu,inmafu","US","PRESENT",805,"RENO","4404924567","https://intermountainbiota.org/portal/collections/individual/index.php?occid=7873913","PRESERVED_SPECIMEN",1985,7,5,"1985-07-05","WGS84","53940"
"Poa trivialis",-123.2249,44.89057,"cdc,ambinst","US","PRESENT",805,"OSU","3820557737","https://oregonflora.org/collections/individual/index.php?occid=1047343","PRESERVED_SPECIMEN",1984,5,21,"1984-05-21","WGS84",NA
"Poa trivialis",-92.049333,44.042035,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265374969","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=124369","PRESERVED_SPECIMEN",1982,5,29,"1982-05-29","WGS84","782455"
"Poa trivialis",-105.089038,39.546418,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573523982","https://botanydb.colorado.edu/collections/individual/index.php?occid=39119","PRESERVED_SPECIMEN",1981,7,15,"1981-07-15","WGS84","00570556"
