"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Argentina anserina",-94.7240809,59.3317547,"cdrep,cdround","CA","PRESENT",100,"WIN","2028085906","https://nansh.org/portal/collections/individual/index.php?occid=30464082","PRESERVED_SPECIMEN",2000,7,14,"2000-07-14","WGS84","81054"
"Argentina anserina",-117.578958,47.446783,"cdc,colmafu,inmafu","US","PRESENT",350,"EWU","4070140004",NA,"PRESERVED_SPECIMEN",1998,6,3,"1998-06-03","WGS84","10427"
"Argentina anserina",-111.441777,43.128786,"cdc,cdround,ambinst","US","PRESENT",805,"OSU","3820556716","https://oregonflora.org/collections/individual/index.php?occid=1046656","PRESERVED_SPECIMEN",1998,NA,NA,"1998","WGS84",NA
"Argentina anserina",-106.448723,41.7474864,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073816996",NA,"PRESERVED_SPECIMEN",1997,7,29,"1997-07-29","WGS84","137159"
"Argentina anserina",-122.40089,37.32305,"cdc,inmafu","US","PRESENT",301,"SHTC","4079075726","https://cch2.org/portal/collections/individual/index.php?occid=3614926","PRESERVED_SPECIMEN",1995,4,22,"1995-04-22","WGS84",NA
"Argentina anserina",-82.803381,41.689856,"cdc,colmafu,inmafu","US","PRESENT",360,"CM","2859326364","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11919965","PRESERVED_SPECIMEN",1995,5,30,"1995-05-30","WGS84","CM472451"
"Argentina anserina",-118.726627,47.769093,"cdc,colmafu,inmafu","US","PRESENT",438,"EWU","4070138470",NA,"PRESERVED_SPECIMEN",1995,7,9,"1995-07-09","WGS84","6551"
"Argentina anserina",-71.6193,46.6487,"colmafu,inmafu,diffown","CA","PRESENT",1000,"Université de Montréal Biodiversity Centre","473570077",NA,"PRESERVED_SPECIMEN",1995,9,8,"1995-09-08","WGS84","MT00008769"
"Argentina anserina",-110.479439,42.800706,"cdc,ambinst","US","PRESENT",500,"GREE","3892727190","https://www.soroherbaria.org/portal/collections/individual/index.php?occid=27832254","PRESERVED_SPECIMEN",1994,6,22,"1994-06-22","WGS84","41484"
"Argentina anserina",-110.1369432,43.3994452,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073899380",NA,"PRESERVED_SPECIMEN",1994,7,31,"1994-07-31","WGS84","136673"
