"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Prosopis glandulosa",-115.355555,30.113611,"cdc,cdround,gass84,typstativ,incomis,inmafu,diffown","MX","PRESENT",80,"SDNHM","2629920724",NA,"PRESERVED_SPECIMEN",2000,4,15,"2000-04-15","WGS84","148564"
"Prosopis glandulosa",-115.98528,33.00694,"cdc,colmano,inmafu","US","PRESENT",805,"SD","3125194594","https://cch2.org/portal/collections/individual/index.php?occid=493031","PRESERVED_SPECIMEN",2000,4,19,"2000-04-19","WGS84",NA
"Prosopis glandulosa",-111.134722,28.034722,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",60,"DCBS-DICTUS-USON","1893593723",NA,"PRESERVED_SPECIMEN",2000,5,25,"2000-05-25","WGS84","06767"
"Prosopis glandulosa",-100.561111,24.969719,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",50,"CNS-UT","1895447973",NA,"PRESERVED_SPECIMEN",2000,6,17,"2000-06-17","WGS84","00190071"
"Prosopis glandulosa",-98.099422,32.215781,"cdc,inmafu","US","PRESENT",300,"TAC","3978876434","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25893229","PRESERVED_SPECIMEN",2000,6,12,"2000-06-12","WGS84","TAC04858"
"Prosopis glandulosa",-103.750167,26.567278,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",50,"CIIDIR-IPN","1418790149",NA,"PRESERVED_SPECIMEN",1999,5,4,"1999-05-04","WGS84","1366"
"Prosopis glandulosa",-105.106874,32.067777,"cdc,colmafu,inmafu","US","PRESENT",186,"UTEP","3413529195","http://arctos.database.museum/guid/UTEP:Herb:58877","PRESERVED_SPECIMEN",1999,5,2,"1999-05-02","WGS84","UTEP:Herb:58877"
"Prosopis glandulosa",-115.22253,32.20215,"cdc,elmms,gass84,typstativ,incomis,inmafu,diffown","MX","PRESENT",80,"SDNHM","2629920026",NA,"PRESERVED_SPECIMEN",1999,6,17,"1999-06-17","WGS84","202884"
"Prosopis glandulosa",-101.822388,33.575363,"cdc,inmafu","US","PRESENT",460,"TTC","3340038410","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=16598532","PRESERVED_SPECIMEN",1999,9,25,"1999-09-25","WGS84","TTC015805"
"Prosopis glandulosa",-97.248463,32.807411,"cdc,incomis,inmafu","US","PRESENT",729,"BRIT","4102363559","https://sernecportal.org/portal/collections/individual/index.php?occid=16671623","PRESERVED_SPECIMEN",1998,4,26,"1998-04-26","WGS84","BRIT303672"
