"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Prunella vulgaris",-91.281744,34.51426,"cdc,inmafu","US","PRESENT",531,"UARK","4876062100","https://sernecportal.org/portal/collections/individual/index.php?occid=11250547","PRESERVED_SPECIMEN",2000,6,21,"2000-06-21","WGS84","UARK034240"
"Prunella vulgaris",-99.091667,21.408333,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",70,"INECOL","1893646020",NA,"PRESERVED_SPECIMEN",2000,6,14,"2000-06-14","WGS84","158387"
"Prunella vulgaris",-61.386667,45.659722,"cdc,colmafu,inmafu","CA","PRESENT",50,"CM","2859477089","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12349356","PRESERVED_SPECIMEN",2000,7,11,"2000-07-11","WGS84","CM496783"
"Prunella vulgaris",-62.754444,46.204722,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859232102","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12349383","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84","CM497041"
"Prunella vulgaris",-69.343611,44.750833,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859472088","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12349394","PRESERVED_SPECIMEN",2000,7,14,"2000-07-14","WGS84","CM497160"
"Prunella vulgaris",-63.548333,45.024167,"cdc,colmafu,inmafu","CA","PRESENT",50,"CM","2859504065","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12349399","PRESERVED_SPECIMEN",2000,7,12,"2000-07-12","WGS84","CM497250"
"Prunella vulgaris",-68.461389,44.816667,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859502042","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12349405","PRESERVED_SPECIMEN",2000,7,14,"2000-07-14","WGS84","CM497290"
"Prunella vulgaris",-65.788333,45.899444,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859239120","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12349451","PRESERVED_SPECIMEN",2000,7,9,"2000-07-09","WGS84","CM497855"
"Prunella vulgaris",-75.795756,40.185166,"cdc,inmafu","US","PRESENT",502,"MOAR","4064836030","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12724701","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84","MOAR0003177"
"Prunella vulgaris",-122.00281,44.64768,"cdc,ambinst","US","PRESENT",805,"CHSC","2418002155","https://cch2.org/portal/collections/individual/index.php?occid=2086939","PRESERVED_SPECIMEN",2000,7,13,"2000-07-13","WGS84","CHSC082752"
"Prunella vulgaris",-88.963991,39.150677,"cdc,inmafu","US","PRESENT",969,"EIU","4081299615","https://midwestherbaria.org/portal/collections/individual/index.php?occid=24826180","PRESERVED_SPECIMEN",2000,7,18,"2000-07-18","WGS84","EIU029352"
"Prunella vulgaris",-90.176888,48.08566,"cdc,ambcol","US","PRESENT",969,"MIN","2265466806","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=25","PRESERVED_SPECIMEN",2000,7,14,"2000-07-14","WGS84","499710"
"Prunella vulgaris",-105.326487,35.980067,"cdc,cdround,colmafu,inmafu","US","PRESENT",200,"UNM","1843841705","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4051825","PRESERVED_SPECIMEN",2000,7,5,"2000-07-05","WGS84","UNM0055718"
"Prunella vulgaris",-123.384968,42.291622,"cdc,inmafu","US","PRESENT",1000,"CDA","3059696558","https://cch2.org/portal/collections/individual/index.php?occid=4106960","PRESERVED_SPECIMEN",2000,7,3,"2000-07-03","WGS84","CDA-0041542"
