"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Pseudoroegneria spicata",-116.066187,44.997092,"cdc,incomis,inmafu","US","PRESENT",969,"ID","4073764387",NA,"PRESERVED_SPECIMEN",2000,6,15,"2000-06-15","WGS84","166565"
"Pseudoroegneria spicata",-120.212515,44.674856,"cdc,colmafu,inmafu","US","PRESENT",301,"RENO","4404940492","https://intermountainbiota.org/portal/collections/individual/index.php?occid=12866771","PRESERVED_SPECIMEN",2000,6,9,"2000-06-09","WGS84","85809"
"Pseudoroegneria spicata",-114.163632,38.250907,"cdc,colmafu,inmafu","US","PRESENT",696,"RENO","4404939214","https://intermountainbiota.org/portal/collections/individual/index.php?occid=12866945","PRESERVED_SPECIMEN",2000,6,19,"2000-06-19","WGS84","85859"
"Pseudoroegneria spicata",-106.48477,40.00241,"cdc,ambinst","US","PRESENT",500,"COLO","2573473499","https://botanydb.colorado.edu/collections/individual/index.php?occid=40569","PRESERVED_SPECIMEN",2000,6,5,"2000-06-05","WGS84","00919555"
"Pseudoroegneria spicata",-119.668659,39.887408,"cdc,colmafu,inmafu","US","PRESENT",969,"RENO","4404983555","https://intermountainbiota.org/portal/collections/individual/index.php?occid=12867198","PRESERVED_SPECIMEN",1999,5,26,"1999-05-26","WGS84","85902"
"Pseudoroegneria spicata",-114.0265772,45.3521018,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073877066",NA,"PRESERVED_SPECIMEN",1999,5,26,"1999-05-26","WGS84","116716"
"Pseudoroegneria spicata",-116.905619,44.705153,"cdc,incomis,inmafu","US","PRESENT",937,"ID","4073765256",NA,"PRESERVED_SPECIMEN",1999,6,8,"1999-06-08","WGS84","167813"
"Pseudoroegneria spicata",-111.893311,40.91407,"cdc,inmafu","US","PRESENT",465,"Weber State University","4010496537","https://intermountainbiota.org/portal/collections/individual/index.php?occid=30405023","PRESERVED_SPECIMEN",1999,6,1,"1999-06-01","WGS84","WSCO002280"
"Pseudoroegneria spicata",-117.058333,45.956667,"cdc,cdround,gass84,ambinst","US","PRESENT",805,"OSU","3820641750","https://oregonflora.org/collections/individual/index.php?occid=977132","PRESERVED_SPECIMEN",1999,6,7,"1999-06-07","WGS84",NA
"Pseudoroegneria spicata",-110.438152,49.00218,"osiic,colmano,inmafu","CA","PRESENT",71,"University of Alberta Museums","883419707","https://search.museums.ualberta.ca/12-116268","PRESERVED_SPECIMEN",1999,6,29,"1999-06-29","WGS84","127903"
"Pseudoroegneria spicata",-118.206074,48.546525,"cdc,cdround,ambinst","US","PRESENT",805,"OSU","3820558477","https://oregonflora.org/collections/individual/index.php?occid=1041172","PRESERVED_SPECIMEN",1999,7,11,"1999-07-11","WGS84",NA
"Pseudoroegneria spicata",-118.23111,48.56212,"cdc,colmafu,inmafu","US","PRESENT",301,"RENO","4404939150","https://intermountainbiota.org/portal/collections/individual/index.php?occid=12866929","PRESERVED_SPECIMEN",1999,7,11,"1999-07-11","WGS84","85810"
"Pseudoroegneria spicata",-118.831424,48.827389,"cdc,colmafu,inmafu","US","PRESENT",301,"RENO","4404939252","https://intermountainbiota.org/portal/collections/individual/index.php?occid=12866932","PRESERVED_SPECIMEN",1999,7,9,"1999-07-09","WGS84","85811"
"Pseudoroegneria spicata",-114.2359,39.2951,"cdc,colmafu,inmafu","US","PRESENT",969,"RENO","4404983554","https://intermountainbiota.org/portal/collections/individual/index.php?occid=12867190","PRESERVED_SPECIMEN",1999,8,3,"1999-08-03","WGS84","85866"
