"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Pediomelum tenuiflorum",-102.500774,39.511921,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573480299","https://botanydb.colorado.edu/collections/individual/index.php?occid=59657","PRESERVED_SPECIMEN",2000,6,26,"2000-06-26","WGS84","00481952"
"Pediomelum tenuiflorum",-102.666385,38.591677,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573479298","https://botanydb.colorado.edu/collections/individual/index.php?occid=59658","PRESERVED_SPECIMEN",2000,6,28,"2000-06-28","WGS84","00481978"
"Pediomelum tenuiflorum",-102.99972,38.82306,"cdc,ambinst","US","PRESENT",250,"COLO","2573477286","https://botanydb.colorado.edu/collections/individual/index.php?occid=59816","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","00600684"
"Pediomelum tenuiflorum",-102.66639,38.79083,"cdc,ambinst","US","PRESENT",250,"COLO","2573484301","https://botanydb.colorado.edu/collections/individual/index.php?occid=59817","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","00605279"
"Pediomelum tenuiflorum",-103.67861,39.47444,"cdc,ambinst","US","PRESENT",250,"COLO","2573537086","https://botanydb.colorado.edu/collections/individual/index.php?occid=59842","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","00629543"
"Pediomelum tenuiflorum",-102.79083,38.76639,"cdc,ambinst","US","PRESENT",250,"COLO","2573538064","https://botanydb.colorado.edu/collections/individual/index.php?occid=59845","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","00629592"
"Pediomelum tenuiflorum",-103.43028,38.92306,"cdc,ambinst","US","PRESENT",250,"COLO","2573482298","https://botanydb.colorado.edu/collections/individual/index.php?occid=59851","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","00629683"
"Pediomelum tenuiflorum",-102.15194,39.32056,"cdc,ambinst","US","PRESENT",250,"COLO","2573477290","https://botanydb.colorado.edu/collections/individual/index.php?occid=59889","PRESERVED_SPECIMEN",2000,6,23,"2000-06-23","WGS84","00668368"
"Pediomelum tenuiflorum",-103.50611,38.715,"cdc,ambinst","US","PRESENT",250,"COLO","2573533099","https://botanydb.colorado.edu/collections/individual/index.php?occid=59894","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","00668822"
"Pediomelum tenuiflorum",-102.98444,39.28472,"cdc,ambinst","US","PRESENT",250,"COLO","2573537089","https://botanydb.colorado.edu/collections/individual/index.php?occid=59897","PRESERVED_SPECIMEN",2000,6,24,"2000-06-24","WGS84","00673368"
"Pediomelum tenuiflorum",-103.436753,38.936685,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573477277","https://botanydb.colorado.edu/collections/individual/index.php?occid=59618","PRESERVED_SPECIMEN",2000,8,16,"2000-08-16","WGS84","00473926"
"Pediomelum tenuiflorum",-102.501344,39.49732,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573481274","https://botanydb.colorado.edu/collections/individual/index.php?occid=59633","PRESERVED_SPECIMEN",2000,8,15,"2000-08-15","WGS84","00478339"
"Pediomelum tenuiflorum",-103.274037,38.808838,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573478265","https://botanydb.colorado.edu/collections/individual/index.php?occid=59669","PRESERVED_SPECIMEN",2000,8,16,"2000-08-16","WGS84","00490623"
"Pediomelum tenuiflorum",-103.803647,40.317984,"cdc,cdround,colmafu,inmafu","US","PRESENT",500,"CS","3798112986","https://www.soroherbaria.org/portal/collections/individual/index.php?occid=29345450","PRESERVED_SPECIMEN",1999,7,29,"1999-07-29","WGS84","200457"
"Pediomelum tenuiflorum",-104.77955,37.5245,"cdc,ambinst","US","PRESENT",1000,"COLO","2573481312","https://botanydb.colorado.edu/collections/individual/index.php?occid=60433","PRESERVED_SPECIMEN",1999,7,28,"1999-07-28","WGS84","00936880"
"Pediomelum tenuiflorum",-97.554612,33.271598,"cdc,inmafu","US","PRESENT",128,"BRIT","3969601338","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19968852","PRESERVED_SPECIMEN",1998,5,13,"1998-05-13","WGS84","BRIT50376"
"Pediomelum tenuiflorum",-104.34194,40.64472,"cdc,ambinst","US","PRESENT",100,"COLO","2573479353","https://botanydb.colorado.edu/collections/individual/index.php?occid=60656","PRESERVED_SPECIMEN",1998,7,8,"1998-07-08","WGS84","00984898"
"Pediomelum tenuiflorum",-104.51893,37.28139,"cdc,ambinst","US","PRESENT",1000,"COLO","2573477325","https://botanydb.colorado.edu/collections/individual/index.php?occid=60571","PRESERVED_SPECIMEN",1998,8,17,"1998-08-17","WGS84","00957977"
"Pediomelum tenuiflorum",-106.565981,32.364189,"cdc,cdround,colmafu,inmafu","US","PRESENT",285,"UNM","1843829584","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4039480","PRESERVED_SPECIMEN",1997,5,23,"1997-05-23","WGS84","UNM0046853"
"Pediomelum tenuiflorum",-107.093777,34.06912,"cdc,colmafu,inmafu","US","PRESENT",838,"UTEP","3413534294","http://arctos.database.museum/guid/UTEP:Herb:57157","PRESERVED_SPECIMEN",1997,7,20,"1997-07-20","WGS84","UTEP:Herb:57157"
"Pediomelum tenuiflorum",-102.651224,37.071621,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573535042","https://botanydb.colorado.edu/collections/individual/index.php?occid=58716","PRESERVED_SPECIMEN",1997,9,12,"1997-09-12","WGS84","00351288"
"Pediomelum tenuiflorum",-105.226918,35.54724,"cdc,colmafu,inmafu","US","PRESENT",335,"UNM","1843810294","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4020215","PRESERVED_SPECIMEN",1996,8,17,"1996-08-17","WGS84","UNM0046803"
"Pediomelum tenuiflorum",-105.173802,40.563063,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573479249","https://botanydb.colorado.edu/collections/individual/index.php?occid=58712","PRESERVED_SPECIMEN",1995,8,19,"1995-08-19","WGS84","00351247"
