"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Ranunculus acris",-78.982568,41.968623,"ambcol","US","PRESENT",553,"KU","177016244",NA,"PRESERVED_SPECIMEN",2000,5,29,"2000-05-29","WGS84","348550"
"Ranunculus acris",-61.386667,45.659722,"cdc,colmafu,inmafu","CA","PRESENT",50,"CM","2859431772","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12104522","PRESERVED_SPECIMEN",2000,7,11,"2000-07-11","WGS84","CM496752"
"Ranunculus acris",-65.788333,45.899444,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859433774","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12104525","PRESERVED_SPECIMEN",2000,7,9,"2000-07-09","WGS84","CM496954"
"Ranunculus acris",-61.239722,45.611667,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859150816","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12104526","PRESERVED_SPECIMEN",2000,7,11,"2000-07-11","WGS84","CM497025"
"Ranunculus acris",-67.718889,46.701667,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859432758","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12104541","PRESERVED_SPECIMEN",2000,7,8,"2000-07-08","WGS84","CM497598"
"Ranunculus acris",-117.0273685,45.9558741,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073895404",NA,"PRESERVED_SPECIMEN",2000,8,16,"2000-08-16","WGS84","122090"
"Ranunculus acris",-76.62667,40.4775,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859134818","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12104316","PRESERVED_SPECIMEN",1999,6,4,"1999-06-04","WGS84","CM492503"
"Ranunculus acris",-90.459509,48.069999,"cdc,ambcol","US","PRESENT",969,"MIN","2265386725","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134940","PRESERVED_SPECIMEN",1998,6,11,"1998-06-11","WGS84","447093"
"Ranunculus acris",-122.484423,45.487586,"cdc,gass84,incomis,inmafu","US","PRESENT",200,"HPSU","4070161775",NA,"PRESERVED_SPECIMEN",1998,8,23,"1998-08-23","WGS84","17972"
"Ranunculus acris",-78.766863,41.2555,"cdc,colmafu,inmafu","US","PRESENT",90,"CM","2859394759","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12103942","PRESERVED_SPECIMEN",1997,6,8,"1997-06-08","WGS84","CM481419"
"Ranunculus acris",-81.402769,46.013535,"cdc","CA","PRESENT",369,"iNaturalist","1227776379","https://www.inaturalist.org/observations/847879","HUMAN_OBSERVATION",1997,6,14,"1997-06-14","WGS84","847879"
"Ranunculus acris",-80.18139,42.05722,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859394751","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12103799","PRESERVED_SPECIMEN",1996,6,27,"1996-06-27","WGS84","CM477980"
"Ranunculus acris",-93.004525,46.677791,"cdc,gass84,ambcol","US","PRESENT",215,"MIN","2265385436","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134945","PRESERVED_SPECIMEN",1996,7,15,"1996-07-15","WGS84","460226"
"Ranunculus acris",-82.812501,41.685306,"cdc,colmafu,inmafu","US","PRESENT",285,"CM","2859396734","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12103611","PRESERVED_SPECIMEN",1995,5,30,"1995-05-30","WGS84","CM472290"
"Ranunculus acris",-93.192696,46.850494,"cdc,gass84,ambcol","US","PRESENT",317,"MIN","2265385426","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134972","PRESERVED_SPECIMEN",1995,6,23,"1995-06-23","WGS84","836212"
"Ranunculus acris",-114.166586,43.890477,"cdc,incomis,inmafu","US","PRESENT",1000,"ID","4073793895",NA,"PRESERVED_SPECIMEN",1995,6,3,"1995-06-03","WGS84","166992"
"Ranunculus acris",-80.00139,41.78611,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859151446","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12097026","PRESERVED_SPECIMEN",1994,6,24,"1994-06-24","WGS84","CM393782"
"Ranunculus acris",-79.17758,39.78456,"cdc,colmafu,inmafu","US","PRESENT",359,"CM","2859394762","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12103997","PRESERVED_SPECIMEN",1994,7,2,"1994-07-02","WGS84","CM482606"
"Ranunculus acris",-74.422616,40.930912,"cdc,colmafu,inmafu","US","PRESENT",940,"CM","2859430360","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12096378","PRESERVED_SPECIMEN",1993,5,22,"1993-05-22","WGS84","CM381762"
"Ranunculus acris",-92.75125,46.338863,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265384886","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134937","PRESERVED_SPECIMEN",1993,6,22,"1993-06-22","WGS84","440849"
"Ranunculus acris",-92.381831,46.067499,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265385728","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134973","PRESERVED_SPECIMEN",1993,6,27,"1993-06-27","WGS84","840278"
"Ranunculus acris",-90.976034,46.348412,"cdc,colmano,inmafu","US","PRESENT",969,"UWW","4095604093","https://midwestherbaria.org/portal/collections/individual/index.php?occid=30418123","PRESERVED_SPECIMEN",1993,6,26,"1993-06-26","WGS84","UWW002909"
"Ranunculus acris",-91.20746,46.379457,"cdc,colmano,inmafu","US","PRESENT",969,"UWW","4095604090","https://midwestherbaria.org/portal/collections/individual/index.php?occid=30418124","PRESERVED_SPECIMEN",1993,6,17,"1993-06-17","WGS84","UWW002910"
"Ranunculus acris",-91.186854,46.350465,"cdc,colmano,inmafu","US","PRESENT",969,"UWW","4095605373","https://midwestherbaria.org/portal/collections/individual/index.php?occid=30421539","PRESERVED_SPECIMEN",1993,6,11,"1993-06-11","WGS84","UWW006667"
"Ranunculus acris",-91.168513,46.66723,"cdc,colmano,inmafu","US","PRESENT",969,"UWW","4104079431","https://midwestherbaria.org/portal/collections/individual/index.php?occid=31098608","PRESERVED_SPECIMEN",1993,6,12,"1993-06-12","WGS84","UWW007962"
"Ranunculus acris",-92.394696,46.352317,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265384838","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134949","PRESERVED_SPECIMEN",1993,7,23,"1993-07-23","WGS84","519589"
"Ranunculus acris",-77.580572,41.729487,"cdc,colmafu,inmafu","US","PRESENT",1000,"CM","2859135809","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12104017","PRESERVED_SPECIMEN",1992,5,25,"1992-05-25","WGS84","CM482627"
"Ranunculus acris",-94.406251,46.709211,"cdc,gass84,ambcol","US","PRESENT",256,"MIN","2265387285","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134944","PRESERVED_SPECIMEN",1992,6,8,"1992-06-08","WGS84","456643"
"Ranunculus acris",-91.207171,46.33621,"cdc,colmano,inmafu","US","PRESENT",969,"UWW","4104079326","https://midwestherbaria.org/portal/collections/individual/index.php?occid=31098467","PRESERVED_SPECIMEN",1992,6,7,"1992-06-07","WGS84","UWW007957"
"Ranunculus acris",-111.9090063,44.4818236,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073937170",NA,"PRESERVED_SPECIMEN",1992,6,5,"1992-06-05","WGS84","111322"
"Ranunculus acris",-94.504567,46.36368,"cdc,gass84,ambcol","US","PRESENT",266,"MIN","2265386337","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134967","PRESERVED_SPECIMEN",1992,7,6,"1992-07-06","WGS84","830200"
"Ranunculus acris",-94.085756,47.015587,"cdc,gass84,ambcol","US","PRESENT",259,"MIN","2265385452","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134935","PRESERVED_SPECIMEN",1992,8,27,"1992-08-27","WGS84","439515"
"Ranunculus acris",-93.294247,46.368599,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265384817","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134965","PRESERVED_SPECIMEN",1991,6,8,"1991-06-08","WGS84","817605"
"Ranunculus acris",-93.515779,46.689258,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265385333","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134966","PRESERVED_SPECIMEN",1991,6,6,"1991-06-06","WGS84","817679"
"Ranunculus acris",-92.199183,43.637927,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265384996","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134970","PRESERVED_SPECIMEN",1991,6,5,"1991-06-05","WGS84","833523"
"Ranunculus acris",-103.7995,44.2386,"gass84,ambcol","US","PRESENT",0.36,"KU","177016460",NA,"PRESERVED_SPECIMEN",1991,7,2,"1991-07-02","WGS84","275542"
"Ranunculus acris",-113.373269,53.947149,"osiic,colmano,inmafu","CA","PRESENT",71,"University of Alberta Museums","1226933794","https://search.museums.ualberta.ca/12-148241","PRESERVED_SPECIMEN",1990,7,1,"1990-07-01","WGS84","136741"
"Ranunculus acris",-91.340368,41.372309,"cdc,colmafu,inmafu","US","PRESENT",969,"NCU","2234380293","https://sernecportal.org/portal/collections/individual/index.php?occid=13718175","PRESERVED_SPECIMEN",1989,6,18,"1989-06-18","WGS84","NCU00069037"
"Ranunculus acris",-93.145308,50.215503,"cdc,inmafu","CA","PRESENT",500,"KSP","2890680174","https://ngpherbaria.org/portal/collections/individual/index.php?occid=24834129","PRESERVED_SPECIMEN",1986,7,8,"1986-07-08","WGS84","KSP026562"
"Ranunculus acris",-113.4795,53.5347,"osiic,colmano,inmafu","CA","PRESENT",470,"University of Alberta Museums","883426441","https://search.museums.ualberta.ca/12-121381","PRESERVED_SPECIMEN",1986,8,8,"1986-08-08","WGS84","101067"
"Ranunculus acris",-111.954079,33.368736,"cdc,gass84,inmafu","US","PRESENT",74,"DES","1846521434","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3075546","PRESERVED_SPECIMEN",1985,4,7,"1985-04-07","WGS84","DES00029109"
"Ranunculus acris",-78.6661,48.43002,"colmafu,inmafu,diffown","CA","PRESENT",150,"Université de Montréal Biodiversity Centre","1806080822",NA,"PRESERVED_SPECIMEN",1985,7,29,"1985-07-29","WGS84","MT00214652"
"Ranunculus acris",-80.133635,42.143244,"cdc,colmafu,inmafu","US","PRESENT",500,"CM","2859126250","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12092930","PRESERVED_SPECIMEN",1985,8,2,"1985-08-02","WGS84","CM319114"
"Ranunculus acris",-113.517043,53.525981,"osiic,colmano,inmafu","CA","PRESENT",220,"University of Alberta Museums","1226933738","https://search.museums.ualberta.ca/12-148244","PRESERVED_SPECIMEN",1985,8,1,"1985-08-01","WGS84","136742"
"Ranunculus acris",-78.6666,48.4301,"colmafu,inmafu,diffown","CA","PRESENT",200,"Université de Montréal Biodiversity Centre","1986727617",NA,"PRESERVED_SPECIMEN",1984,7,18,"1984-07-18","WGS84","MT00214422"
"Ranunculus acris",-93.324227,45.314148,"cdc,gass84,ambcol","US","PRESENT",210,"MIN","2265384945","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134960","PRESERVED_SPECIMEN",1984,9,16,"1984-09-16","WGS84","758304"
"Ranunculus acris",-79.344759,39.530148,"cdc,inmafu","US","PRESENT",64,"TAWES","4403402309","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=31431422","PRESERVED_SPECIMEN",1983,6,13,"1983-06-13","WGS84","TAWES0002426"
"Ranunculus acris",-92.353928,46.670563,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265386063","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134961","PRESERVED_SPECIMEN",1983,7,13,"1983-07-13","WGS84","770336"
"Ranunculus acris",-117.3304542,53.0210603,"cdrep,osiic,colmano,inmafu","CA","PRESENT",30,"University of Alberta Museums","1226933696","https://search.museums.ualberta.ca/12-148280","PRESERVED_SPECIMEN",1983,8,12,"1983-08-12","WGS84","136743"
"Ranunculus acris",-92.8,48.4833,"cdc,gass84,ambcol","US","PRESENT",587,"MIN","2265386553","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134971","PRESERVED_SPECIMEN",1983,9,2,"1983-09-02","WGS84","834274"
"Ranunculus acris",-94.178823,45.077626,"cdc,gass84,ambcol","US","PRESENT",374,"MIN","2265385683","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134959","PRESERVED_SPECIMEN",1981,7,18,"1981-07-18","WGS84","746599"
"Ranunculus acris",-91.81063,47.998543,"cdc,ambcol","US","PRESENT",969,"MIN","2265385450","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134968","PRESERVED_SPECIMEN",1981,7,1,"1981-07-01","WGS84","831854"
"Ranunculus acris",-91.675187,47.32143,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265386284","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134957","PRESERVED_SPECIMEN",1980,6,14,"1980-06-14","WGS84","724977"
"Ranunculus acris",-92.628406,46.934197,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265386842","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134958","PRESERVED_SPECIMEN",1980,6,12,"1980-06-12","WGS84","724978"
"Ranunculus acris",-62,45.603056,"cdc,inmafu","CA","PRESENT",301,"ASC","3091297909","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=21356381","PRESERVED_SPECIMEN",1980,7,1,"1980-07-01","WGS84","ASC00035524"
"Ranunculus acris",-76.697867,41.409251,"cdc,inmafu","US","PRESENT",591,"PH","3865373932","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=20699068","PRESERVED_SPECIMEN",1979,6,10,"1979-06-10","WGS84","PH00522436"
"Ranunculus acris",-122.1367,49.0899,"osiic,colmano,inmafu","CA","PRESENT",250,"University of Alberta Museums","883423772","https://search.museums.ualberta.ca/12-121557","PRESERVED_SPECIMEN",1979,6,8,"1979-06-08","WGS84","113909"
"Ranunculus acris",-89.744422,47.990922,"cdc,gass84,ambcol","US","PRESENT",1000,"MIN","2265385837","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134955","PRESERVED_SPECIMEN",1979,7,18,"1979-07-18","WGS84","711542"
"Ranunculus acris",-90.564383,47.897568,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265387143","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134956","PRESERVED_SPECIMEN",1978,6,24,"1978-06-24","WGS84","717859"
"Ranunculus acris",-78.7497,43.91787,"cdc,cdround","CA","PRESENT",70,"iNaturalist","4028683366","https://www.inaturalist.org/observations/36586726","HUMAN_OBSERVATION",1978,6,22,"1978-06-22T07:25","WGS84","36586726"
"Ranunculus acris",-93.727843,47.373213,"cdc,gass84,ambcol","US","PRESENT",253,"MIN","2265384018","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=134953","PRESERVED_SPECIMEN",1977,6,5,"1977-06-05","WGS84","687179"
"Ranunculus acris",-122.336145,47.140243,"cdc,incomis,inmafu","US","PRESENT",174,"PSM","4070508507",NA,"PRESERVED_SPECIMEN",1975,6,12,"1975-06-12","WGS84","7756"
"Ranunculus acris",-79.960083,39.758343,"cdc,colmafu,inmafu","US","PRESENT",875,"CM","2859387727","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12083569","PRESERVED_SPECIMEN",1975,6,4,"1975-06-04","WGS84","CM044062"
"Ranunculus acris",-122.8608,43.72,"cdc,gass84,ambinst","US","PRESENT",402,"OSU","3820573136","https://oregonflora.org/collections/individual/index.php?occid=1081366","PRESERVED_SPECIMEN",1975,7,31,"1975-07-31","WGS84","OSC-V-050264"
