"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Ratibida columnifera",-100.383,22.8,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",70,"IBUNAM","3308620506",NA,"PRESERVED_SPECIMEN",2000,6,29,"2000-06-29","WGS84","1005600"
"Ratibida columnifera",-102.663659,38.692961,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573548451","https://botanydb.colorado.edu/collections/individual/index.php?occid=98455","PRESERVED_SPECIMEN",2000,6,28,"2000-06-28","WGS84","00476481"
"Ratibida columnifera",-102.425145,39.56435,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573491659","https://botanydb.colorado.edu/collections/individual/index.php?occid=98458","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","00478529"
"Ratibida columnifera",-102.666567,38.591725,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573493682","https://botanydb.colorado.edu/collections/individual/index.php?occid=98463","PRESERVED_SPECIMEN",2000,6,28,"2000-06-28","WGS84","00486381"
"Ratibida columnifera",-102.66639,38.79083,"cdc,ambinst","US","PRESENT",250,"COLO","2573552446","https://botanydb.colorado.edu/collections/individual/index.php?occid=98537","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","00604652"
"Ratibida columnifera",-103.71234,39.26062,"cdc,ambinst","US","PRESENT",250,"COLO","2573550444","https://botanydb.colorado.edu/collections/individual/index.php?occid=98538","PRESERVED_SPECIMEN",2000,6,24,"2000-06-24","WGS84","00604728"
"Ratibida columnifera",-103.43028,38.92306,"cdc,ambinst","US","PRESENT",250,"COLO","2573491664","https://botanydb.colorado.edu/collections/individual/index.php?occid=98539","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","00604884"
"Ratibida columnifera",-102.49611,38.54139,"cdc,ambinst","US","PRESENT",250,"COLO","2573485670","https://botanydb.colorado.edu/collections/individual/index.php?occid=98561","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","00646497"
"Ratibida columnifera",-102.09083,39.4625,"cdc,ambinst","US","PRESENT",250,"COLO","2573547490","https://botanydb.colorado.edu/collections/individual/index.php?occid=98569","PRESERVED_SPECIMEN",2000,6,23,"2000-06-23","WGS84","00670307"
"Ratibida columnifera",-102.98444,39.28472,"cdc,ambinst","US","PRESENT",250,"COLO","2573549453","https://botanydb.colorado.edu/collections/individual/index.php?occid=98571","PRESERVED_SPECIMEN",2000,6,24,"2000-06-24","WGS84","00673335"
"Ratibida columnifera",-102.71222,38.34694,"cdc,ambinst","US","PRESENT",250,"COLO","2573550446","https://botanydb.colorado.edu/collections/individual/index.php?occid=98574","PRESERVED_SPECIMEN",2000,6,26,"2000-06-26","WGS84","00679910"
"Ratibida columnifera",-100.467,22.6,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",70,"IBUNAM","3307987213",NA,"PRESERVED_SPECIMEN",2000,8,4,"2000-08-04","WGS84","1005611"
"Ratibida columnifera",-103.274101,38.8081,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573490689","https://botanydb.colorado.edu/collections/individual/index.php?occid=98465","PRESERVED_SPECIMEN",2000,8,16,"2000-08-16","WGS84","00486563"
"Ratibida columnifera",-97.1201,49.7946,"cdc,inmano","CA","PRESENT",100,"LPMMBH","1291636976",NA,"PRESERVED_SPECIMEN",2000,8,10,"2000-08-10","WGS84","60"
"Ratibida columnifera",-97.833333,30.24185,"gass84,inmano","US","PRESENT",160,"PRC","2807308501",NA,"PRESERVED_SPECIMEN",1999,6,7,"1999-06-07","WGS84","00332475"
"Ratibida columnifera",-97.881296,40.736428,"ambcol","US","PRESENT",245,"KU","177017912",NA,"PRESERVED_SPECIMEN",1999,7,19,"1999-07-19","WGS84","329282"
"Ratibida columnifera",-93.705614,45.49421,"cdc,ambcol","US","PRESENT",800,"MIN","2265388896","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=136336","PRESERVED_SPECIMEN",1999,7,21,"1999-07-21","WGS84","435051"
"Ratibida columnifera",-95.995442,45.737594,"cdc,ambcol","US","PRESENT",800,"MIN","2265442297","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=184488","PRESERVED_SPECIMEN",1999,7,29,"1999-07-29","WGS84","497756"
"Ratibida columnifera",-108.41077,37.34166,"cdc,ambinst","US","PRESENT",1000,"COLO","2573493679","https://botanydb.colorado.edu/collections/individual/index.php?occid=98409","PRESERVED_SPECIMEN",1999,7,19,"1999-07-19","WGS84","00331124"
"Ratibida columnifera",-95.963375,45.463142,"cdc,ambcol","US","PRESENT",800,"MIN","2265411539","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=15685","PRESERVED_SPECIMEN",1999,8,13,"1999-08-13","WGS84","510592"
"Ratibida columnifera",-104.9209,37.14811,"cdc,ambinst","US","PRESENT",1000,"COLO","2573487672","https://botanydb.colorado.edu/collections/individual/index.php?occid=98873","PRESERVED_SPECIMEN",1999,8,9,"1999-08-09","WGS84","00943084"
"Ratibida columnifera",-100.71535,24.962399,"cdc,colmafu,inmafu","MX","PRESENT",738,"UTEP","3093979651","http://arctos.database.museum/guid/UTEP:Herb:64715","PRESERVED_SPECIMEN",1999,8,4,"1999-08-04","WGS84","UTEP:Herb:64715"
"Ratibida columnifera",-95.92245,47.115137,"cdc,ambcol","US","PRESENT",800,"MIN","2265429951","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=17463","PRESERVED_SPECIMEN",1999,9,15,"1999-09-15","WGS84","435870"
"Ratibida columnifera",-101.709,23.92,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",70,"IBUNAM","3308606036",NA,"PRESERVED_SPECIMEN",1999,9,8,"1999-09-08","WGS84","997530"
"Ratibida columnifera",-112.18811,33.57787,"cdc,colmafu,inmafu","US","PRESENT",100,"ASU","2270484587","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=12647693","PRESERVED_SPECIMEN",1998,3,22,"1998-03-22","WGS84","ASU0105240"
"Ratibida columnifera",-99.024493,39.114763,"ambcol","US","PRESENT",566,"KU","177017517",NA,"PRESERVED_SPECIMEN",1998,6,1,"1998-06-01","WGS84","327755"
