"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Rhinanthus minor",-122.218302,45.570831,"cdc,cdround,ambinst","US","PRESENT",805,"OSU","3820559534","https://oregonflora.org/collections/individual/index.php?occid=1042142","PRESERVED_SPECIMEN",2000,5,30,"2000-05-30","WGS84",NA
"Rhinanthus minor",-67.345556,45.121944,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859235111","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12349345","PRESERVED_SPECIMEN",2000,7,13,"2000-07-13","WGS84","CM496667"
"Rhinanthus minor",-63.681667,46.251667,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859236123","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12349350","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84","CM496739"
"Rhinanthus minor",-65.131944,45.918611,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859235112","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12349363","PRESERVED_SPECIMEN",2000,7,9,"2000-07-09","WGS84","CM496857"
"Rhinanthus minor",-65.168611,45.814444,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859232101","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12349365","PRESERVED_SPECIMEN",2000,7,9,"2000-07-09","WGS84","CM496868"
"Rhinanthus minor",-61.386667,45.659722,"cdc,colmafu,inmafu","CA","PRESENT",50,"CM","2859502041","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12349379","PRESERVED_SPECIMEN",2000,7,11,"2000-07-11","WGS84","CM497013"
"Rhinanthus minor",-67.718889,46.701667,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859232103","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12349428","PRESERVED_SPECIMEN",2000,7,8,"2000-07-08","WGS84","CM497597"
"Rhinanthus minor",-118.838065,48.512766,"cdc,ambinst","US","PRESENT",1000,"OSU","3820663519","https://oregonflora.org/collections/individual/index.php?occid=1018089","PRESERVED_SPECIMEN",1999,7,10,"1999-07-10","WGS84",NA
"Rhinanthus minor",-89.509994,48.044751,"cdc,cdround","CA","PRESENT",221,"iNaturalist","3067932735","https://www.inaturalist.org/observations/36727065","HUMAN_OBSERVATION",1995,7,15,"1995-07-15T16:13","WGS84","36727065"
"Rhinanthus minor",-71.0473,48.3633,"colmafu,inmafu,diffown","CA","PRESENT",100,"Université de Montréal Biodiversity Centre","473531681",NA,"PRESERVED_SPECIMEN",1995,8,13,"1995-08-13","WGS84","MT00006222"
"Rhinanthus minor",-116.451677,48.317515,"cdc,inmano","US","PRESENT",569,"IDE","4074148101",NA,"PRESERVED_SPECIMEN",1993,6,10,"1993-06-10","WGS84","117439"
"Rhinanthus minor",-119.022963,48.718967,"cdc,cdround,ambinst","US","PRESENT",805,"OSU","3820540111","https://oregonflora.org/collections/individual/index.php?occid=1009699","PRESERVED_SPECIMEN",1991,7,18,"1991-07-18","WGS84",NA
"Rhinanthus minor",-109.48964,33.930101,"cdc,inmafu","US","PRESENT",969,"ASC","4454158351","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=31623160","PRESERVED_SPECIMEN",1991,8,16,"1991-08-16","WGS84","ASC00128315"
"Rhinanthus minor",-69.049991,44.350243,"cdc,inmafu","US","PRESENT",500,"EIU","4081319865","https://midwestherbaria.org/portal/collections/individual/index.php?occid=28861973","PRESERVED_SPECIMEN",1983,6,14,"1983-06-14","WGS84","EIU040895"
"Rhinanthus minor",-121.4728374,48.5214259,"cdc,cdrep,incomis,inmafu","US","PRESENT",805,"WWB","4070124418",NA,"PRESERVED_SPECIMEN",1982,7,4,"1982-07-04","WGS84","21672"
"Rhinanthus minor",-123.68007,45.95972,"cdc,ambinst","US","PRESENT",805,"OSU","3820530827","https://oregonflora.org/collections/individual/index.php?occid=978919","PRESERVED_SPECIMEN",1972,6,22,"1972-06-22","WGS84","OSC-V-036601"
