"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Rubus chamaemorus",-94.6250146,58.8634184,"cdrep,cdround","CA","PRESENT",10,"WIN","2028084977","https://nansh.org/portal/collections/individual/index.php?occid=30463071","PRESERVED_SPECIMEN",2000,7,6,"2000-07-06","WGS84","80246"
"Rubus chamaemorus",-82.399059,54.75296,"cdc,cdround","CA","PRESENT",100,"iNaturalist","2005348121","https://www.inaturalist.org/observations/20373954","HUMAN_OBSERVATION",2000,9,1,"2000-09-01","WGS84","20373954"
"Rubus chamaemorus",-93.8497839,57.4721826,"cdrep,cdround","CA","PRESENT",100,"WIN","2564816599","https://nansh.org/portal/collections/individual/index.php?occid=30464812","PRESERVED_SPECIMEN",1999,6,12,"1999-06-12","WGS84","82266"
"Rubus chamaemorus",-93.2499332,58.6607588,"cdrep,cdround","CA","PRESENT",10,"WIN","2028084780","https://nansh.org/portal/collections/individual/index.php?occid=30462854","PRESERVED_SPECIMEN",1999,7,18,"1999-07-18","WGS84","79987"
"Rubus chamaemorus",-93.7453629,58.7071102,"cdrep,cdround","CA","PRESENT",10,"WIN","2028084467","https://nansh.org/portal/collections/individual/index.php?occid=30462635","PRESERVED_SPECIMEN",1999,7,10,"1999-07-10","WGS84","79809"
"Rubus chamaemorus",-55.595865,51.370416,"cdc,cdround","CA","PRESENT",961,"iNaturalist","2981011575","https://www.inaturalist.org/observations/63589030","HUMAN_OBSERVATION",1997,8,2,"1997-08-02T11:34","WGS84","63589030"
"Rubus chamaemorus",-70.762222,48.000569,"cdc,cdround","CA","PRESENT",500,"iNaturalist","4022379639","https://www.inaturalist.org/observations/147141161","HUMAN_OBSERVATION",1995,7,15,"1995-07-15","WGS84","147141161"
"Rubus chamaemorus",-92.138763,62.839577,"cdc,cdround","CA","PRESENT",977,"iNaturalist","4075731311","https://www.inaturalist.org/observations/9226589","HUMAN_OBSERVATION",1988,7,10,"1988-07-10","WGS84","9226589"
"Rubus chamaemorus",-165.579243,61.52855,"cdc,cdround","US","PRESENT",31,"iNaturalist","2563642067","https://www.inaturalist.org/observations/38094388","HUMAN_OBSERVATION",1985,7,11,"1985-07-11T00:00","WGS84","38094388"
"Rubus chamaemorus",-149.545524,60.531543,"ambcol","US","PRESENT",713,"KU","811879916",NA,"PRESERVED_SPECIMEN",1975,6,20,"1975-06-20","WGS84","284371"
"Rubus chamaemorus",-149.94768,61.13497,"cdc,colmafu,inmafu","US","PRESENT",1000,"EWU","4070143501",NA,"PRESERVED_SPECIMEN",1972,6,15,"1972-06-15","WGS84","4925"
