"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Rudbeckia hirta",-95.5053,36.6429,"cdc,inmafu","US","PRESENT",100,"BRIT","3969879663","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25217627","PRESERVED_SPECIMEN",2000,5,31,"2000-05-31","WGS84","BRIT559777"
"Rudbeckia hirta",-91.281744,34.51426,"cdc,inmafu","US","PRESENT",531,"UARK","4876069961","https://sernecportal.org/portal/collections/individual/index.php?occid=10413551","PRESERVED_SPECIMEN",2000,6,21,"2000-06-21","WGS84","UARK048431"
"Rudbeckia hirta",-95.860271,32.579925,"cdc,incomis,inmafu","US","PRESENT",260,"BRIT","4102120490","https://sernecportal.org/portal/collections/individual/index.php?occid=16736743","PRESERVED_SPECIMEN",2000,6,30,"2000-06-30","WGS84","BRIT226362"
"Rudbeckia hirta",-88.1511,39.4042,"cdc,gass84,inmafu","US","PRESENT",100,"EIU","4081325361","https://midwestherbaria.org/portal/collections/individual/index.php?occid=4894554","PRESERVED_SPECIMEN",2000,6,11,"2000-06-11","WGS84",NA
"Rudbeckia hirta",-75.79329,40.187313,"cdc,inmafu","US","PRESENT",504,"MOAR","4064832662","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11171078","PRESERVED_SPECIMEN",2000,7,17,"2000-07-17","WGS84","MOAR0000644"
"Rudbeckia hirta",-69.339444,44.732778,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859292120","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11813315","PRESERVED_SPECIMEN",2000,7,14,"2000-07-14","WGS84","CM496602"
"Rudbeckia hirta",-68.454292,44.816329,"cdc,colmafu,inmafu","US","PRESENT",355,"CM","2859317096","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11813319","PRESERVED_SPECIMEN",2000,7,14,"2000-07-14","WGS84","CM496798"
"Rudbeckia hirta",-69.343611,44.750833,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859319108","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11813321","PRESERVED_SPECIMEN",2000,7,14,"2000-07-14","WGS84","CM497159"
"Rudbeckia hirta",-67.548056,46.3875,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859293114","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11813335","PRESERVED_SPECIMEN",2000,7,8,"2000-07-08","WGS84","CM497563"
"Rudbeckia hirta",-93.166507,45.382973,"cdc,cdround","US","PRESENT",278,"iNaturalist","4597062643","https://www.inaturalist.org/observations/202337213","HUMAN_OBSERVATION",2000,7,4,"2000-07-04T16:24","WGS84","202337213"
