"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Rumex acetosa",-98.662778,20.147222,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"UACh","1419218452",NA,"PRESERVED_SPECIMEN",1998,8,22,"1998-08-22","WGS84","47121"
"Rumex acetosa",-98.6725,19.292222,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"UACh","1419192398",NA,"PRESERVED_SPECIMEN",1997,5,16,"1997-05-16","WGS84","43623"
"Rumex acetosa",-103.163,38.8496,"cdc,inmafu","US","PRESENT",500,"MESA","3783625937","https://www.soroherbaria.org/portal/collections/individual/index.php?occid=24428006","PRESERVED_SPECIMEN",1990,8,25,"1990-08-25","WGS84","MESA09783"
"Rumex acetosa",-117.150447,46.692386,"cdc,inmano","US","PRESENT",301,"IDE","4074144169",NA,"PRESERVED_SPECIMEN",1987,9,17,"1987-09-17","WGS84","5168"
"Rumex acetosa",-98.772222,19.485,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"UACh","1419196302",NA,"PRESERVED_SPECIMEN",1983,3,21,"1983-03-21","WGS84","11920"
"Rumex acetosa",-91.693362,47.82698,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265392471","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=140574","PRESERVED_SPECIMEN",1976,6,22,"1976-06-22","WGS84","698688"
"Rumex acetosa",-91.501904,47.766037,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265391405","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=140575","PRESERVED_SPECIMEN",1976,6,15,"1976-06-15","WGS84","702038"
"Rumex acetosa",-98.665833,19.305833,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"UACh","1419220104",NA,"PRESERVED_SPECIMEN",1975,7,4,"1975-07-04","WGS84","3668"
"Rumex acetosa",-119.7054,34.4278,"cdc,inmafu","US","PRESENT",400,"SBBG","3053395138","https://cch2.org/portal/collections/individual/index.php?occid=3752474","PRESERVED_SPECIMEN",1972,9,8,"1972-09-08","WGS84","SBBG174213"
"Rumex acetosa",-75.471675,40.594995,"cdc,inmafu","US","PRESENT",900,"MCA","4067767526","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=15609429","PRESERVED_SPECIMEN",1971,8,19,"1971-08-19","WGS84","MCA0014081"
