"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Salsola collina",-102.66639,38.79083,"cdc,ambinst","US","PRESENT",250,"COLO","2573479019","https://botanydb.colorado.edu/collections/individual/index.php?occid=81178","PRESERVED_SPECIMEN",2000,8,24,"2000-08-24","WGS84","00639716"
"Salsola collina",-103.1625,38.85528,"cdc,ambinst","US","PRESENT",250,"COLO","2573484030","https://botanydb.colorado.edu/collections/individual/index.php?occid=81195","PRESERVED_SPECIMEN",2000,8,24,"2000-08-24","WGS84","00649723"
"Salsola collina",-103.71234,39.26062,"cdc,ambinst","US","PRESENT",250,"COLO","2573540828","https://botanydb.colorado.edu/collections/individual/index.php?occid=81191","PRESERVED_SPECIMEN",2000,10,1,"2000-10-01","WGS84","00649657"
"Salsola collina",-104.131962,42.671284,"cdc,inmafu","US","PRESENT",50,"WS","4872868631","https://intermountainbiota.org/portal/collections/individual/index.php?occid=32562943","PRESERVED_SPECIMEN",1998,8,18,"1998-08-18","WGS84","405854"
"Salsola collina",-89.352642,41.046512,"cdc,inmafu","US","PRESENT",969,"VT","2573013165","https://nansh.org/portal/collections/individual/index.php?occid=16223032","PRESERVED_SPECIMEN",1997,9,16,"1997-09-16","WGS84","UVMVT253080"
"Salsola collina",-102.515465,38.693339,"cdc,cdround,ambinst","US","PRESENT",100,"COLO","2573475995","https://botanydb.colorado.edu/collections/individual/index.php?occid=80685","PRESERVED_SPECIMEN",1997,9,7,"1997-09-07","WGS84","00240390"
"Salsola collina",-104.369965,40.728722,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573536855","https://botanydb.colorado.edu/collections/individual/index.php?occid=81014","PRESERVED_SPECIMEN",1997,9,2,"1997-09-02","WGS84","00408898"
"Salsola collina",-98.056223,45.903981,"ambcol","US","PRESENT",569,"KU","3028656359",NA,"PRESERVED_SPECIMEN",1996,8,14,"1996-08-14","WGS84","312839"
"Salsola collina",-105.173802,40.563063,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573480049","https://botanydb.colorado.edu/collections/individual/index.php?occid=80690","PRESERVED_SPECIMEN",1996,9,21,"1996-09-21","WGS84","00240440"
"Salsola collina",-104.7972,30.9111,"cdc,colmafu,inmafu","US","PRESENT",310,"UNM","1843810544","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4020659","PRESERVED_SPECIMEN",1995,3,21,"1995-03-21","WGS84","UNM0036274"
"Salsola collina",-96.142276,40.869285,"ambcol","US","PRESENT",264,"KU","177024551",NA,"PRESERVED_SPECIMEN",1994,9,30,"1994-09-30","WGS84","116493"
"Salsola collina",-94.214977,47.044973,"cdc,ambcol","US","PRESENT",800,"MIN","2265395020","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=143932","PRESERVED_SPECIMEN",1992,9,8,"1992-09-08","WGS84","475889"
"Salsola collina",-102.984162,42.741245,"ambcol","US","PRESENT",184,"KU","177024524",NA,"PRESERVED_SPECIMEN",1991,8,26,"1991-08-26","WGS84","335302"
"Salsola collina",-104.806384,39.717183,"cdc,gass84,inmafu","US","PRESENT",1000,"DBG","2242370930","https://intermountainbiota.org/portal/collections/individual/index.php?occid=3045900","PRESERVED_SPECIMEN",1991,8,15,"1991-08-15","WGS84","KHD00013824"
"Salsola collina",-105.595259,40.356615,"cdc,cdround,ambinst","US","PRESENT",100,"COLO","2573478015","https://botanydb.colorado.edu/collections/individual/index.php?occid=80713","PRESERVED_SPECIMEN",1991,9,5,"1991-09-05","WGS84","00240671"
"Salsola collina",-92.482153,44.562312,"cdc,ambcol","US","PRESENT",800,"MIN","2265394391","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=143933","PRESERVED_SPECIMEN",1990,9,17,"1990-09-17","WGS84","497567"
"Salsola collina",-96.586118,45.565691,"cdc,ambcol","US","PRESENT",800,"MIN","2265394046","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=143895","PRESERVED_SPECIMEN",1988,9,11,"1988-09-11","WGS84","815833"
"Salsola collina",-98.582145,37.30172,"ambcol","US","PRESENT",929,"KU","177024483",NA,"PRESERVED_SPECIMEN",1986,9,24,"1986-09-24","WGS84","90710"
"Salsola collina",-104.774798,38.979133,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573542792","https://botanydb.colorado.edu/collections/individual/index.php?occid=80699","PRESERVED_SPECIMEN",1983,9,17,"1983-09-17","WGS84","00240531"
"Salsola collina",-96.010767,45.159258,"cdc,ambcol","US","PRESENT",800,"MIN","2265396043","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=143972","PRESERVED_SPECIMEN",1982,8,12,"1982-08-12","WGS84","739713"
"Salsola collina",-95.748005,45.810665,"cdc,ambcol","US","PRESENT",800,"MIN","2265396128","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=143973","PRESERVED_SPECIMEN",1982,9,18,"1982-09-18","WGS84","741433"
"Salsola collina",-95.245019,45.448674,"cdc,ambcol","US","PRESENT",800,"MIN","2265397387","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=143974","PRESERVED_SPECIMEN",1982,9,17,"1982-09-17","WGS84","741594"
