"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Schizachyrium scoparium",-105.300693,36.001837,"cdc,cdround,inmafu","US","PRESENT",603,"ASC","3091285755","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=21738589","PRESERVED_SPECIMEN",2000,7,6,"2000-07-06","WGS84","ASC00081902"
"Schizachyrium scoparium",-103.274037,38.808838,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573467442","https://botanydb.colorado.edu/collections/individual/index.php?occid=39342","PRESERVED_SPECIMEN",2000,8,16,"2000-08-16","WGS84","00572883"
"Schizachyrium scoparium",-102.501344,39.49732,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573472449","https://botanydb.colorado.edu/collections/individual/index.php?occid=39343","PRESERVED_SPECIMEN",2000,8,14,"2000-08-14","WGS84","00572891"
"Schizachyrium scoparium",-103.50611,38.715,"cdc,ambinst","US","PRESENT",250,"COLO","2573469475","https://botanydb.colorado.edu/collections/individual/index.php?occid=40157","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84","00659771"
"Schizachyrium scoparium",-102.6125,39.47528,"cdc,ambinst","US","PRESENT",250,"COLO","2573465482","https://botanydb.colorado.edu/collections/individual/index.php?occid=40159","PRESERVED_SPECIMEN",2000,8,18,"2000-08-18","WGS84","00665109"
"Schizachyrium scoparium",-104.798,32.008,"cdc,colmafu,inmafu","US","PRESENT",570,"UNM","1843839787","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4049655","PRESERVED_SPECIMEN",2000,8,25,"2000-08-25","WGS84","UNM0107390"
"Schizachyrium scoparium",-104.62134,32.100978,"cdc,cdround,colmafu,inmafu","US","PRESENT",15,"UNM","1843889336","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4099108","PRESERVED_SPECIMEN",2000,9,14,"2000-09-14","WGS84","UNM0107374"
"Schizachyrium scoparium",-102.35361,38.81583,"cdc,ambinst","US","PRESENT",250,"COLO","2573474484","https://botanydb.colorado.edu/collections/individual/index.php?occid=40138","PRESERVED_SPECIMEN",2000,10,2,"2000-10-02","WGS84","00645358"
"Schizachyrium scoparium",-102.991667,28.258333,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",50,"INECOL","1897370927",NA,"PRESERVED_SPECIMEN",2000,10,2,"2000-10-02","WGS84","202359"
"Schizachyrium scoparium",-104.014599,44.560373,"cdc,inmafu","US","PRESENT",607,"BHSC","2831259472","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25808912","PRESERVED_SPECIMEN",1999,7,15,"1999-07-15","WGS84","BHSC0032899"
"Schizachyrium scoparium",-106.463,35.299,"cdc,colmafu,inmafu","US","PRESENT",285,"UNM","1843898470","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4108285","PRESERVED_SPECIMEN",1999,7,31,"1999-07-31","WGS84","UNM0107343"
"Schizachyrium scoparium",-99.060151,50.694414,"","CA","PRESENT",560,"WIN","4520278338","https://nansh.org/portal/collections/individual/index.php?occid=30692608","PRESERVED_SPECIMEN",1999,8,5,"1999-08-05","WGS84","69241"
"Schizachyrium scoparium",-94.122791,44.579657,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265382530","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=13218","PRESERVED_SPECIMEN",1999,8,21,"1999-08-21","WGS84","511235"
"Schizachyrium scoparium",-103.579078,44.394651,"cdc,inmafu","US","PRESENT",969,"BHSC","2831259499","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25808887","PRESERVED_SPECIMEN",1999,8,26,"1999-08-26","WGS84","BHSC0029419"
"Schizachyrium scoparium",-104.83333,32.33333,"cdc,gass84,inmafu","US","PRESENT",301,"DES","1846546126","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3223267","PRESERVED_SPECIMEN",1999,8,21,"1999-08-21","WGS84","DES00043859"
"Schizachyrium scoparium",-106.2477,37.61272,"cdc,ambinst","US","PRESENT",500,"COLO","2573469436","https://botanydb.colorado.edu/collections/individual/index.php?occid=39375","PRESERVED_SPECIMEN",1999,8,23,"1999-08-23","WGS84","00573212"
"Schizachyrium scoparium",-104.768472,32.045673,"cdc,colmafu,inmafu","US","PRESENT",668,"UTEP","3413523695","http://arctos.database.museum/guid/UTEP:Herb:58787","PRESERVED_SPECIMEN",1999,8,21,"1999-08-21","WGS84","UTEP:Herb:58787"
"Schizachyrium scoparium",-94.251565,45.933896,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265431920","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=17582","PRESERVED_SPECIMEN",1999,9,19,"1999-09-19","WGS84","427950"
"Schizachyrium scoparium",-104.080071,44.539751,"cdc,inmafu","US","PRESENT",969,"BHSC","2831259520","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25808869","PRESERVED_SPECIMEN",1999,9,28,"1999-09-28","WGS84","BHSC0025311"
"Schizachyrium scoparium",-103.70244,44.474936,"cdc,inmafu","US","PRESENT",790,"BHSC","2831259510","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25808876","PRESERVED_SPECIMEN",1999,9,10,"1999-09-10","WGS84","BHSC0025873"
"Schizachyrium scoparium",-103.887136,44.500674,"cdc,inmafu","US","PRESENT",242,"BHSC","2831259493","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25808880","PRESERVED_SPECIMEN",1999,9,9,"1999-09-09","WGS84","BHSC0026777"
"Schizachyrium scoparium",-103.901023,44.49553,"cdc,inmafu","US","PRESENT",120,"BHSC","2831259483","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25808893","PRESERVED_SPECIMEN",1999,9,16,"1999-09-16","WGS84","BHSC0029519"
"Schizachyrium scoparium",-103.241908,44.016731,"cdc,inmafu","US","PRESENT",969,"BHSC","2831259479","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25808902","PRESERVED_SPECIMEN",1999,9,25,"1999-09-25","WGS84","BHSC0032791"
"Schizachyrium scoparium",-104.014431,44.560168,"cdc,inmafu","US","PRESENT",650,"BHSC","2831259476","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25808909","PRESERVED_SPECIMEN",1999,9,15,"1999-09-15","WGS84","BHSC0032897"
