"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Scorzoneroides autumnalis",-63.681667,46.251667,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859315095","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11813318","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84","CM496737"
"Scorzoneroides autumnalis",-75.691425,44.594601,"colmafu,inmafu,diffown","CA","PRESENT",700,"Université de Montréal Biodiversity Centre","1977966979",NA,"PRESERVED_SPECIMEN",1996,7,10,"1996-07-10","WGS84","MT00232448"
"Scorzoneroides autumnalis",-81.524153,41.063729,"cdc,colmafu,inmafu","US","PRESENT",100,"CM","2859290047","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11812243","PRESERVED_SPECIMEN",1996,10,23,"1996-10-23","WGS84","CM473770"
"Scorzoneroides autumnalis",-92.227221,46.65736,"cdc,ambcol","US","PRESENT",800,"MIN","2265350286","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=101747","PRESERVED_SPECIMEN",1995,8,11,"1995-08-11","WGS84","471803"
"Scorzoneroides autumnalis",-71.96527,41.88611,"cdc,gass84,inmano","US","PRESENT",1,"UConn","415908470",NA,"PRESERVED_SPECIMEN",1993,9,1,"1993-09-01","WGS84","CONN00028183"
"Scorzoneroides autumnalis",-80.13363,42.14268,"cdc,colmafu,inmafu","US","PRESENT",380,"CM","2859318802","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11807120","PRESERVED_SPECIMEN",1985,6,12,"1985-06-12","WGS84","CM314411"
"Scorzoneroides autumnalis",-80.382761,41.97673,"cdc,colmafu,inmafu","US","PRESENT",100,"CM","2859290799","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11806951","PRESERVED_SPECIMEN",1984,9,20,"1984-09-20","WGS84","CM308459"
"Scorzoneroides autumnalis",-71.85083,41.83138,"cdc,gass84,inmano","US","PRESENT",3,"UConn","606660172",NA,"PRESERVED_SPECIMEN",1982,10,6,"1982-10-06","WGS84","CONN00144388"
"Scorzoneroides autumnalis",-78.507624,42.90523,"cdc,colmafu,inmafu","US","PRESENT",50,"CM","2859290787","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11806690","PRESERVED_SPECIMEN",1981,8,20,"1981-08-20","WGS84","CM302029"
"Scorzoneroides autumnalis",-73.4735,45.6974,"colmafu,inmafu,diffown","CA","PRESENT",325,"Université de Montréal Biodiversity Centre","473470261",NA,"PRESERVED_SPECIMEN",1980,7,24,"1980-07-24","WGS84","MT00003242"
"Scorzoneroides autumnalis",-73.4528,45.7053,"colmafu,inmafu,diffown","CA","PRESENT",500,"Université de Montréal Biodiversity Centre","473463848",NA,"PRESERVED_SPECIMEN",1980,9,19,"1980-09-19","WGS84","MT00002963"
"Scorzoneroides autumnalis",-73.4589,45.7044,"colmafu,inmafu,diffown","CA","PRESENT",200,"Université de Montréal Biodiversity Centre","473464757",NA,"PRESERVED_SPECIMEN",1980,9,18,"1980-09-18","WGS84","MT00003000"
"Scorzoneroides autumnalis",-72.2525,41.81111,"cdc,gass84,inmano","US","PRESENT",1,"UConn","415908473",NA,"PRESERVED_SPECIMEN",1977,9,2,"1977-09-02","WGS84","CONN00028186"
"Scorzoneroides autumnalis",-64.371843,45.898721,"cdc,cdround","CA","PRESENT",467,"iNaturalist","4440830403","https://www.inaturalist.org/observations/190712478","HUMAN_OBSERVATION",1976,10,15,"1976-10-15","WGS84","190712478"
"Scorzoneroides autumnalis",-71.461101,43.609616,"cdc,colmafu,inmafu","US","PRESENT",1000,"CM","2859032978","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11810694","PRESERVED_SPECIMEN",1971,8,9,"1971-08-09","WGS84","CM401289"
