"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Solanum elaeagnifolium",-99.898733,35.70828,"ambcol","US","PRESENT",909,"KU","177032118",NA,"PRESERVED_SPECIMEN",2000,6,30,"2000-06-30","WGS84","332353"
"Solanum elaeagnifolium",-99.773648,35.047588,"ambcol","US","PRESENT",887,"KU","177032201",NA,"PRESERVED_SPECIMEN",2000,6,28,"2000-06-28","WGS84","332373"
"Solanum elaeagnifolium",-104.11722,23.935,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",70,"IBUNAM","3308668811",NA,"PRESERVED_SPECIMEN",2000,6,NA,"2000-06","WGS84","1124981"
"Solanum elaeagnifolium",-102.83042,38.32474,"cdc,ambinst","US","PRESENT",1000,"COLO","2573450817","https://botanydb.colorado.edu/collections/individual/index.php?occid=3577","PRESERVED_SPECIMEN",2000,6,29,"2000-06-29","WGS84","00784207"
"Solanum elaeagnifolium",-110.958333,31.158333,"cdc,cdround,gass84,typstativ,incomis,inmafu,diffown","MX","PRESENT",70,"CIBNOR","1894812487",NA,"PRESERVED_SPECIMEN",2000,7,1,"2000-07-01","WGS84","15964"
"Solanum elaeagnifolium",-117.22214,32.82372,"cdc,ambinst","US","PRESENT",806,"SDSU","2382639994","https://cch2.org/portal/collections/individual/index.php?occid=394505","PRESERVED_SPECIMEN",2000,8,27,"2000-08-27","WGS84","SDSU20336"
"Solanum elaeagnifolium",-102.95306,39.28639,"cdc,ambinst","US","PRESENT",250,"COLO","2573449979","https://botanydb.colorado.edu/collections/individual/index.php?occid=3573","PRESERVED_SPECIMEN",2000,10,2,"2000-10-02","WGS84","00784165"
"Solanum elaeagnifolium",-102.50444,25.66417,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",50,"IBUNAM","3308673668",NA,"PRESERVED_SPECIMEN",2000,10,16,"2000-10-16","WGS84","1175204"
"Solanum elaeagnifolium",-96.978611,17.855833,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",90,"STDOM","1896092213",NA,"PRESERVED_SPECIMEN",2000,12,14,"2000-12-14","WGS84","0000662"
"Solanum elaeagnifolium",-105.106874,32.067777,"cdc,colmafu,inmafu","US","PRESENT",186,"UTEP","3413531832","http://arctos.database.museum/guid/UTEP:Herb:58861","PRESERVED_SPECIMEN",1999,5,2,"1999-05-02","WGS84","UTEP:Herb:58861"
