"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Solidago canadensis",-111.338511,40.717426,"ambcol","US","PRESENT",416,"KU","240496255",NA,"PRESERVED_SPECIMEN",2000,8,11,"2000-08-11","WGS84","364628"
"Solidago canadensis",-123.723056,45.070556,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859033108","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11813330","PRESERVED_SPECIMEN",2000,8,9,"2000-08-09","WGS84","CM497379"
"Solidago canadensis",-123.574722,45.954444,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859039100","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11813344","PRESERVED_SPECIMEN",2000,8,11,"2000-08-11","WGS84","CM497773"
"Solidago canadensis",-121.742312,45.302136,"cdc,inmafu","US","PRESENT",301,"ASC","3091223965","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2079261","PRESERVED_SPECIMEN",2000,8,11,"2000-08-11","WGS84","ASC00069143"
"Solidago canadensis",-104.371222,38.267986,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573547485","https://botanydb.colorado.edu/collections/individual/index.php?occid=98451","PRESERVED_SPECIMEN",2000,8,26,"2000-08-26","WGS84","00461590"
"Solidago canadensis",-81.022227,33.981213,"cdc,inmafu","US","PRESENT",301,"CDA","3059700474","https://cch2.org/portal/collections/individual/index.php?occid=4092946","PRESERVED_SPECIMEN",2000,9,26,"2000-09-26","WGS84","CDA-0008730"
"Solidago canadensis",-92.451026,42.829959,"cdc,gass84,inmafu","US","PRESENT",150,"WET","4510651042","https://ngpherbaria.org/portal/collections/individual/index.php?occid=7954292","PRESERVED_SPECIMEN",2000,9,14,"2000-09-14","WGS84",NA
"Solidago canadensis",-106.32659,40.95666,"cdc,ambinst","US","PRESENT",1000,"COLO","2573494689","https://botanydb.colorado.edu/collections/individual/index.php?occid=98696","PRESERVED_SPECIMEN",2000,9,9,"2000-09-09","WGS84","00867549"
"Solidago canadensis",-94.272334,45.919137,"cdc,ambcol","US","PRESENT",800,"MIN","2265404193","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=151761","PRESERVED_SPECIMEN",1999,7,14,"1999-07-14","WGS84","434960"
"Solidago canadensis",-95.201528,47.231973,"cdc,ambcol","US","PRESENT",1000,"MIN","2265402665","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=151773","PRESERVED_SPECIMEN",1999,7,29,"1999-07-29","WGS84","460498"
"Solidago canadensis",-92.379741,44.53519,"cdc,ambcol","US","PRESENT",800,"MIN","2265428711","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=17503","PRESERVED_SPECIMEN",1999,7,27,"1999-07-27","WGS84","493840"
"Solidago canadensis",-94.251564,45.933896,"cdc,ambcol","US","PRESENT",800,"MIN","2265425009","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=16963","PRESERVED_SPECIMEN",1999,8,20,"1999-08-20","WGS84","456058"
"Solidago canadensis",-96.163101,43.652541,"cdc,ambcol","US","PRESENT",800,"MIN","2265448245","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=191272","PRESERVED_SPECIMEN",1999,8,11,"1999-08-11","WGS84","426761"
"Solidago canadensis",-104.98678,37.77,"cdc,ambinst","US","PRESENT",1000,"COLO","2573493704","https://botanydb.colorado.edu/collections/individual/index.php?occid=98878","PRESERVED_SPECIMEN",1999,8,16,"1999-08-16","WGS84","00944694"
"Solidago canadensis",-80.445556,40.458889,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859038116","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11813131","PRESERVED_SPECIMEN",1999,9,25,"1999-09-25","WGS84","CM492426"
"Solidago canadensis",-80.963842,43.961455,"colmafu,inmafu,diffown","CA","PRESENT",20,"Université de Montréal Biodiversity Centre","1986729526",NA,"PRESERVED_SPECIMEN",1999,9,16,"1999-09-16","WGS84","MT00230403"
"Solidago canadensis",-76.642935,44.807908,"colmafu,inmafu,diffown","CA","PRESENT",100,"Université de Montréal Biodiversity Centre","1986729472",NA,"PRESERVED_SPECIMEN",1999,9,16,"1999-09-16","WGS84","MT00230406"
"Solidago canadensis",-81.091769,44.285366,"colmafu,inmafu,diffown","CA","PRESENT",100,"Université de Montréal Biodiversity Centre","1977966792",NA,"PRESERVED_SPECIMEN",1999,9,16,"1999-09-16","WGS84","MT00230535"
"Solidago canadensis",-79.987283,43.799887,"colmafu,inmafu,diffown","CA","PRESENT",200,"Université de Montréal Biodiversity Centre","1986729634",NA,"PRESERVED_SPECIMEN",1999,9,8,"1999-09-08","WGS84","MT00230553"
"Solidago canadensis",-106.021924,33.079643,"cdc,colmafu,inmafu","US","PRESENT",174,"UTEP","3413526145","http://arctos.database.museum/guid/UTEP:Herb:59029","PRESERVED_SPECIMEN",1999,10,9,"1999-10-09","WGS84","UTEP:Herb:59029"
"Solidago canadensis",-117.524193,47.447606,"cdc,colmafu,inmafu","US","PRESENT",350,"EWU","4070139469",NA,"PRESERVED_SPECIMEN",1998,6,17,"1998-06-17","WGS84","10457"
"Solidago canadensis",-90.04601,48.057476,"cdc,ambcol","US","PRESENT",800,"MIN","2265516628","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=7001","PRESERVED_SPECIMEN",1998,7,16,"1998-07-16","WGS84","507684"
"Solidago canadensis",-106.707282,38.507114,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573549449","https://botanydb.colorado.edu/collections/individual/index.php?occid=98490","PRESERVED_SPECIMEN",1998,7,25,"1998-07-25","WGS84","00528158"
"Solidago canadensis",-92.339158,44.535072,"cdc,ambcol","US","PRESENT",800,"MIN","2265391002","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=1405","PRESERVED_SPECIMEN",1998,8,27,"1998-08-27","WGS84","493435"
"Solidago canadensis",-88.152,39.404,"cdc,inmafu","US","PRESENT",500,"EIU","4081289729","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13391865","PRESERVED_SPECIMEN",1998,9,22,"1998-09-22","WGS84","EIU006206"
"Solidago canadensis",-90.730219,31.228007,"cdc,ambinst","US","PRESENT",398,"MISS","3925869457","https://sernecportal.org/portal/collections/individual/index.php?occid=5925093","PRESERVED_SPECIMEN",1998,10,1,"1998-10-01","WGS84","MISS0059352"
"Solidago canadensis",-93.694119,46.105618,"cdc,ambcol","US","PRESENT",800,"MIN","2265400642","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=14846","PRESERVED_SPECIMEN",1997,8,28,"1997-08-28","WGS84","455699"
"Solidago canadensis",-93.66415,45.465306,"cdc,ambcol","US","PRESENT",800,"MIN","2265405999","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=151759","PRESERVED_SPECIMEN",1997,8,26,"1997-08-26","WGS84","430372"
"Solidago canadensis",-106.80973,40.529985,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573545469","https://botanydb.colorado.edu/collections/individual/index.php?occid=98315","PRESERVED_SPECIMEN",1997,8,6,"1997-08-06","WGS84","00227603"
"Solidago canadensis",-113.5477,53.5281,"osiic,colmano,inmafu","CA","PRESENT",620,"University of Alberta Museums","1889150755","https://search.museums.ualberta.ca/12-166313","PRESERVED_SPECIMEN",1997,8,26,"1997-08-26","WGS84","112240"
"Solidago canadensis",-88.17306,39.25228,"cdc,inmafu","US","PRESENT",100,"EIU","4081289831","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13391874","PRESERVED_SPECIMEN",1997,9,27,"1997-09-27","WGS84","EIU006213"
"Solidago canadensis",-95.101006,45.54935,"cdc,ambcol","US","PRESENT",800,"MIN","2265439941","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=183669","PRESERVED_SPECIMEN",1997,9,18,"1997-09-18","WGS84","225845"
"Solidago canadensis",-81.40234,46.013654,"cdc","CA","PRESENT",738,"iNaturalist","1122957492","https://www.inaturalist.org/observations/843756","HUMAN_OBSERVATION",1997,9,10,"1997-09-10","WGS84","843756"
"Solidago canadensis",-88.153095,39.4082,"cdc,inmafu","US","PRESENT",500,"EIU","4081286687","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13391088","PRESERVED_SPECIMEN",1997,10,20,"1997-10-20","WGS84","EIU006140"
"Solidago canadensis",-79.11361,40.32333,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859318049","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11812483","PRESERVED_SPECIMEN",1996,8,10,"1996-08-10","WGS84","CM479442"
"Solidago canadensis",-80.007801,41.011054,"cdc,colmafu,inmafu","US","PRESENT",800,"CM","2859294097","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11813253","PRESERVED_SPECIMEN",1996,8,26,"1996-08-26","WGS84","CM494786"
"Solidago canadensis",-121.39445,47.394455,"cdc,inmafu","US","PRESENT",90,"ASC","3091198412","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=19915377","PRESERVED_SPECIMEN",1996,8,8,"1996-08-08","WGS84","ASC00062533"
"Solidago canadensis",-105.514105,38.183107,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573489663","https://botanydb.colorado.edu/collections/individual/index.php?occid=97917","PRESERVED_SPECIMEN",1996,8,31,"1996-08-31","WGS84","00134007"
