"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Solidago missouriensis",-90.117537,40.211668,"cdc,inmafu","US","PRESENT",969,"EIU","4081310587","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13722279","PRESERVED_SPECIMEN",2000,7,24,"2000-07-24","WGS84","EIU006347"
"Solidago missouriensis",-92.339224,44.51999,"cdc,ambcol","US","PRESENT",800,"MIN","2265523596","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=7774","PRESERVED_SPECIMEN",2000,7,28,"2000-07-28","WGS84","438591"
"Solidago missouriensis",-106.02625,40.94146,"cdc,ambinst","US","PRESENT",500,"COLO","2573549459","https://botanydb.colorado.edu/collections/individual/index.php?occid=98715","PRESERVED_SPECIMEN",2000,7,27,"2000-07-27","WGS84","00873570"
"Solidago missouriensis",-117.065656,45.958131,"cdc,incomis,inmafu","US","PRESENT",79,"ID","4073848252",NA,"PRESERVED_SPECIMEN",2000,8,16,"2000-08-16","WGS84","122084"
"Solidago missouriensis",-104.94975,38.88108,"gass84,ambcol,inmafu","US","PRESENT",600,"F","1228626168",NA,"PRESERVED_SPECIMEN",2000,8,10,"2000-08-10","WGS84","V0302691F"
"Solidago missouriensis",-94.917044,45.34775,"cdc,ambcol","US","PRESENT",800,"MIN","2265367773","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=1181","PRESERVED_SPECIMEN",2000,9,19,"2000-09-19","WGS84","435554"
"Solidago missouriensis",-103.900738,44.49537,"cdc,inmafu","US","PRESENT",82,"BHSC","3023457029","https://ngpherbaria.org/portal/collections/individual/index.php?occid=26999471","PRESERVED_SPECIMEN",2000,9,7,"2000-09-07","WGS84","BHSC0025251"
"Solidago missouriensis",-93.173879,45.377702,"cdc,ambcol","US","PRESENT",900,"MIN","2265437954","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=182727","PRESERVED_SPECIMEN",1999,7,9,"1999-07-09","WGS84","506940"
"Solidago missouriensis",-111.435373,43.066805,"cdc,incomis,inmafu","US","PRESENT",587,"ID","4073925495",NA,"PRESERVED_SPECIMEN",1999,7,27,"1999-07-27","WGS84","115848"
"Solidago missouriensis",-95.990404,45.144714,"cdc,ambcol","US","PRESENT",800,"MIN","2265398973","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=14650","PRESERVED_SPECIMEN",1999,8,19,"1999-08-19","WGS84","454368"
"Solidago missouriensis",-93.705554,45.479754,"cdc,ambcol","US","PRESENT",800,"MIN","2265404589","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=152757","PRESERVED_SPECIMEN",1999,8,5,"1999-08-05","WGS84","435052"
"Solidago missouriensis",-96.182791,43.710505,"cdc,ambcol","US","PRESENT",800,"MIN","2265454131","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=19630","PRESERVED_SPECIMEN",1998,8,11,"1998-08-11","WGS84","438208"
"Solidago missouriensis",-95.049966,44.086452,"cdc,ambcol","US","PRESENT",1000,"MIN","2265485257","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=4228","PRESERVED_SPECIMEN",1998,8,9,"1998-08-09","WGS84","438274"
"Solidago missouriensis",-111.163432,45.0711,"ambcol","US","PRESENT",421,"KU","177034233",NA,"PRESERVED_SPECIMEN",1997,7,20,"1997-07-20","WGS84","319443"
"Solidago missouriensis",-98.812052,39.467489,"ambcol","US","PRESENT",84,"KU","177033741",NA,"PRESERVED_SPECIMEN",1997,8,19,"1997-08-19","WGS84","315206"
"Solidago missouriensis",-99.274334,39.656346,"ambcol","US","PRESENT",259,"KU","177034153",NA,"PRESERVED_SPECIMEN",1997,8,19,"1997-08-19","WGS84","315223"
"Solidago missouriensis",-92.499372,42.652947,"ambcol","US","PRESENT",448,"KU","177034033",NA,"PRESERVED_SPECIMEN",1997,8,8,"1997-08-08","WGS84","315002"
"Solidago missouriensis",-96.357127,43.899838,"cdc,ambcol","US","PRESENT",800,"MIN","2265427971","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=17458","PRESERVED_SPECIMEN",1997,8,8,"1997-08-08","WGS84","432004"
"Solidago missouriensis",-96.324755,44.013519,"cdc,ambcol","US","PRESENT",758,"MIN","2265430863","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=176313","PRESERVED_SPECIMEN",1997,8,8,"1997-08-08","WGS84","438191"
"Solidago missouriensis",-95.009999,44.086219,"cdc,ambcol","US","PRESENT",800,"MIN","2265432284","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=176984","PRESERVED_SPECIMEN",1997,8,7,"1997-08-07","WGS84","462273"
"Solidago missouriensis",-105.509464,38.187255,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573549439","https://botanydb.colorado.edu/collections/individual/index.php?occid=98300","PRESERVED_SPECIMEN",1997,8,16,"1997-08-16","WGS84","00206631"
"Solidago missouriensis",-103.34719,40.87719,"cdc,ambinst","US","PRESENT",805,"COLO","2573548443","https://botanydb.colorado.edu/collections/individual/index.php?occid=98301","PRESERVED_SPECIMEN",1997,8,24,"1997-08-24","WGS84","00211706"
"Solidago missouriensis",-93.871796,45.465257,"cdc,ambcol","US","PRESENT",800,"MIN","2265405586","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=152754","PRESERVED_SPECIMEN",1997,9,3,"1997-09-03","WGS84","430400"
"Solidago missouriensis",-91.96,44.32,"cdc,gass84,ambcol","US","PRESENT",20,"MIN","4073658408","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=3065011","PRESERVED_SPECIMEN",1996,7,24,"1996-07-24","WGS84","969633"
"Solidago missouriensis",-95.947693,44.348727,"cdc,ambcol","US","PRESENT",800,"MIN","2265406459","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=152858","PRESERVED_SPECIMEN",1996,8,23,"1996-08-23","WGS84","516149"
"Solidago missouriensis",-93.999334,44.261227,"cdc,ambcol","US","PRESENT",800,"MIN","2265429351","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=172831","PRESERVED_SPECIMEN",1996,8,14,"1996-08-14","WGS84","497754"
"Solidago missouriensis",-94.70713,49.973631,"colmafu,inmafu,diffown","CA","PRESENT",10,"Université de Montréal Biodiversity Centre","1977966631",NA,"PRESERVED_SPECIMEN",1996,8,18,"1996-08-18","WGS84","MT00228276"
"Solidago missouriensis",-105.117045,39.343904,"cdc,inmafu","US","PRESENT",500,"DBG","3107941578","https://intermountainbiota.org/portal/collections/individual/index.php?occid=27603420","PRESERVED_SPECIMEN",1995,7,29,"1995-07-29","WGS84","KHD00070020"
"Solidago missouriensis",-110.640585,50.422669,"osiic,colmano,inmafu","CA","PRESENT",569,"University of Alberta Museums","2273100070","https://search.museums.ualberta.ca/12-168046","PRESERVED_SPECIMEN",1995,7,11,"1995-07-11","WGS84","105915"
"Solidago missouriensis",-98.149036,39.20831,"ambcol","US","PRESENT",594,"KU","177033749",NA,"PRESERVED_SPECIMEN",1995,8,27,"1995-08-27","WGS84","327921"
"Solidago missouriensis",-91.979452,44.229232,"cdc,ambcol","US","PRESENT",800,"MIN","2265407103","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=152759","PRESERVED_SPECIMEN",1995,8,3,"1995-08-03","WGS84","440881"
"Solidago missouriensis",-105.163337,39.161872,"cdc,inmafu","US","PRESENT",500,"DBG","3107941537","https://intermountainbiota.org/portal/collections/individual/index.php?occid=27603273","PRESERVED_SPECIMEN",1995,8,2,"1995-08-02","WGS84","KHD00069870"
"Solidago missouriensis",-105.173802,40.563063,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573487640","https://botanydb.colorado.edu/collections/individual/index.php?occid=98297","PRESERVED_SPECIMEN",1995,8,19,"1995-08-19","WGS84","00196865"
"Solidago missouriensis",-105.152543,43.527374,"cdc,inmafu","US","PRESENT",969,"BHSC","3023457030","https://ngpherbaria.org/portal/collections/individual/index.php?occid=26999470","PRESERVED_SPECIMEN",1994,6,29,"1994-06-29","WGS84","BHSC0025173"
"Solidago missouriensis",-89.262642,37.216442,"cdc,inmafu","US","PRESENT",210,"EIU","4081290016","https://midwestherbaria.org/portal/collections/individual/index.php?occid=28212713","PRESERVED_SPECIMEN",1994,7,21,"1994-07-21","WGS84","EIU039818"
