"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Solidago nemoralis",-75.795756,40.185166,"cdc,inmafu","US","PRESENT",502,"MOAR","4064839928","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12563428","PRESERVED_SPECIMEN",2000,8,28,"2000-08-28","WGS84","MOAR0000736"
"Solidago nemoralis",-93.76881,45.47981,"cdc,ambcol","US","PRESENT",800,"MIN","2265408374","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=153031","PRESERVED_SPECIMEN",2000,8,10,"2000-08-10","WGS84","473128"
"Solidago nemoralis",-78.347768,39.871784,"cdc,colmafu,inmafu","US","PRESENT",621,"CM","2859293129","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11813669","PRESERVED_SPECIMEN",2000,9,28,"2000-09-28","WGS84","CM506196"
"Solidago nemoralis",-94.251653,45.919306,"cdc,ambcol","US","PRESENT",800,"MIN","2265427989","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=173341","PRESERVED_SPECIMEN",2000,9,17,"2000-09-17","WGS84","435172"
"Solidago nemoralis",-99.22066,29.98059,"cdc,inmafu","US","PRESENT",1000,"TLU","3979559104","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19925566","PRESERVED_SPECIMEN",2000,10,13,"2000-10-13","WGS84",NA
"Solidago nemoralis",-94.871513,43.903932,"cdc,ambcol","US","PRESENT",321,"MIN","2265503134","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=5857","PRESERVED_SPECIMEN",1999,7,29,"1999-07-29","WGS84","454783"
"Solidago nemoralis",-92.459317,43.551196,"cdc,ambcol","US","PRESENT",800,"MIN","2265437106","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=182551","PRESERVED_SPECIMEN",1999,8,24,"1999-08-24","WGS84","454382"
"Solidago nemoralis",-94.251564,45.933896,"cdc,ambcol","US","PRESENT",800,"MIN","2265443001","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=186183","PRESERVED_SPECIMEN",1999,8,19,"1999-08-19","WGS84","526501"
"Solidago nemoralis",-94.835116,45.376922,"cdc,ambcol","US","PRESENT",800,"MIN","2265451346","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=19223","PRESERVED_SPECIMEN",1999,8,3,"1999-08-03","WGS84","453944"
"Solidago nemoralis",-98.519124,41.712929,"ambcol","US","PRESENT",271,"KU","177034151",NA,"PRESERVED_SPECIMEN",1999,9,1,"1999-09-01","WGS84","332940"
"Solidago nemoralis",-80.445556,40.458889,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859291109","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11813133","PRESERVED_SPECIMEN",1999,9,25,"1999-09-25","WGS84","CM492431"
"Solidago nemoralis",-76.64287,44.808132,"colmafu,inmafu,diffown","CA","PRESENT",20,"Université de Montréal Biodiversity Centre","1986728932",NA,"PRESERVED_SPECIMEN",1999,9,16,"1999-09-16","WGS84","MT00228968"
"Solidago nemoralis",-80.231813,43.600838,"colmafu,inmafu,diffown","CA","PRESENT",100,"Université de Montréal Biodiversity Centre","1986728883",NA,"PRESERVED_SPECIMEN",1999,9,8,"1999-09-08","WGS84","MT00228972"
"Solidago nemoralis",-82.02128,40.575806,"gass84,colmafu,inmafu,diffown","US","PRESENT",100,"Université de Montréal Biodiversity Centre","1986729284",NA,"PRESERVED_SPECIMEN",1999,9,22,"1999-09-22","WGS84","MT00228973"
"Solidago nemoralis",-81.053775,44.167256,"colmafu,inmafu,diffown","CA","PRESENT",50,"Université de Montréal Biodiversity Centre","1986729375",NA,"PRESERVED_SPECIMEN",1999,9,16,"1999-09-16","WGS84","MT00228981"
"Solidago nemoralis",-80.656887,44.608345,"colmafu,inmafu,diffown","CA","PRESENT",20,"Université de Montréal Biodiversity Centre","1977966628",NA,"PRESERVED_SPECIMEN",1999,9,16,"1999-09-16","WGS84","MT00229003"
"Solidago nemoralis",-89.551007,34.063785,"cdc,ambinst","US","PRESENT",969,"MISS","3925814848","https://sernecportal.org/portal/collections/individual/index.php?occid=5925811","PRESERVED_SPECIMEN",1999,9,11,"1999-09-11","WGS84","MISS0060093"
"Solidago nemoralis",-81.813176,43.277674,"colmafu,inmafu,diffown","CA","PRESENT",100,"Université de Montréal Biodiversity Centre","1986728921",NA,"PRESERVED_SPECIMEN",1999,10,7,"1999-10-07","WGS84","MT00228960"
"Solidago nemoralis",-81.808915,43.274387,"colmafu,inmafu,diffown","CA","PRESENT",500,"Université de Montréal Biodiversity Centre","1986728900",NA,"PRESERVED_SPECIMEN",1999,10,7,"1999-10-07","WGS84","MT00229012"
"Solidago nemoralis",-78.728097,35.817131,"cdc,gass84,colmafu,inmafu","US","PRESENT",942,"NCSM","2825495236","http://sernecportal.org/portal/collections/individual/index.php?occid=20437199","PRESERVED_SPECIMEN",1999,10,14,"1999-10-14","WGS84","859"
"Solidago nemoralis",-96.077659,47.086223,"cdc,ambcol","US","PRESENT",800,"MIN","2265405706","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=153017","PRESERVED_SPECIMEN",1998,7,26,"1998-07-26","WGS84","436410"
"Solidago nemoralis",-94.686015,38.192854,"ambcol","US","PRESENT",969,"KU","177034351",NA,"PRESERVED_SPECIMEN",1998,9,17,"1998-09-17","WGS84","320535"
"Solidago nemoralis",-105.217269,39.874299,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573493684","https://botanydb.colorado.edu/collections/individual/index.php?occid=98508","PRESERVED_SPECIMEN",1998,9,8,"1998-09-08","WGS84","00543447"
"Solidago nemoralis",-80.178889,40.414444,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859316057","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11812745","PRESERVED_SPECIMEN",1998,10,6,"1998-10-06","WGS84","CM485367"
