"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Solidago rigida",-92.741753,45.537982,"cdc,cdround","US","PRESENT",94,"iNaturalist","4528001953","https://www.inaturalist.org/observations/200146693","HUMAN_OBSERVATION",2000,8,17,"2000-08-17T14:39","WGS84","200146693"
"Solidago rigida",-102.95306,39.28639,"cdc,ambinst","US","PRESENT",250,"COLO","2573325960","https://botanydb.colorado.edu/collections/individual/index.php?occid=103548","PRESERVED_SPECIMEN",2000,10,2,"2000-10-02","WGS84","00646174"
"Solidago rigida",-96.163101,43.652541,"cdc,ambcol","US","PRESENT",800,"MIN","2265363315","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=116","PRESERVED_SPECIMEN",1999,8,11,"1999-08-11","WGS84","426760"
"Solidago rigida",-94.122791,44.579657,"cdc,ambcol","US","PRESENT",800,"MIN","2265446128","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=189233","PRESERVED_SPECIMEN",1999,8,21,"1999-08-21","WGS84","509246"
"Solidago rigida",-94.183627,44.564942,"cdc,ambcol","US","PRESENT",800,"MIN","2265426147","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=171936","PRESERVED_SPECIMEN",1999,9,11,"1999-09-11","WGS84","478501"
"Solidago rigida",-94.187528,45.962891,"cdc,ambcol","US","PRESENT",800,"MIN","2265436155","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=18075","PRESERVED_SPECIMEN",1999,9,18,"1999-09-18","WGS84","427363"
"Solidago rigida",-78.726029,36.154375,"cdc,colmafu,inmafu","US","PRESENT",574,"NCSM","2825495705","http://sernecportal.org/portal/collections/individual/index.php?occid=20437714","PRESERVED_SPECIMEN",1999,9,25,"1999-09-25","WGS84","1413"
"Solidago rigida",-95.009999,44.086219,"cdc,ambcol","US","PRESENT",800,"MIN","2265423552","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=16831","PRESERVED_SPECIMEN",1998,8,9,"1998-08-09","WGS84","438120"
"Solidago rigida",-104.2783,36.9219,"cdc,gass84,colmafu,inmafu","US","PRESENT",1,"UNM","1843915037","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4143660","PRESERVED_SPECIMEN",1998,8,16,"1998-08-16","WGS84","UNM0020734"
"Solidago rigida",-95.326014,38.246406,"ambcol","US","PRESENT",525,"KU","177034058",NA,"PRESERVED_SPECIMEN",1998,9,22,"1998-09-22","WGS84","322170"
