"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Sorghastrum nutans",-103.358611,39.037999,"ambcol","US","PRESENT",819,"KU","415734825",NA,"PRESERVED_SPECIMEN",2000,8,16,"2000-08-16","WGS84","365685"
"Sorghastrum nutans",-103.356391,39.038275,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573471458","https://botanydb.colorado.edu/collections/individual/index.php?occid=39457","PRESERVED_SPECIMEN",2000,8,16,"2000-08-16","WGS84","00574400"
"Sorghastrum nutans",-102.548084,39.475622,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573465445","https://botanydb.colorado.edu/collections/individual/index.php?occid=39458","PRESERVED_SPECIMEN",2000,8,14,"2000-08-14","WGS84","00574418"
"Sorghastrum nutans",-97.1201,49.7946,"cdc,inmano","CA","PRESENT",100,"LPMMBH","1291636773",NA,"PRESERVED_SPECIMEN",2000,8,10,"2000-08-10","WGS84","193"
"Sorghastrum nutans",-102.06222,38.85417,"cdc,ambinst","US","PRESENT",250,"COLO","2573465481","https://botanydb.colorado.edu/collections/individual/index.php?occid=40140","PRESERVED_SPECIMEN",2000,10,2,"2000-10-02","WGS84","00645390"
"Sorghastrum nutans",-102.28889,39.30111,"cdc,ambinst","US","PRESENT",250,"COLO","2573470493","https://botanydb.colorado.edu/collections/individual/index.php?occid=40141","PRESERVED_SPECIMEN",2000,10,2,"2000-10-02","WGS84","00645473"
"Sorghastrum nutans",-107.712778,26.982778,"cdc,cdround,gass84,typstativ,osiic,inmano","MX","PRESENT",60,"FZ-UACH","3306064006",NA,"PRESERVED_SPECIMEN",1999,3,20,"1999-03-20","WGS84","NO DISPONIBLE"
"Sorghastrum nutans",-94.442025,44.33349,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265442835","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=186846","PRESERVED_SPECIMEN",1999,7,16,"1999-07-16","WGS84","478172"
"Sorghastrum nutans",-94.251565,45.933896,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265374285","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=12426","PRESERVED_SPECIMEN",1999,8,19,"1999-08-19","WGS84","426917"
"Sorghastrum nutans",-89.551007,34.063785,"cdc,ambinst","US","PRESENT",969,"MISS","3925843219","https://sernecportal.org/portal/collections/individual/index.php?occid=5870141","PRESERVED_SPECIMEN",1999,9,11,"1999-09-11","WGS84","MISS0003118"
"Sorghastrum nutans",-94.497406,30.290649,"cdc,colmafu,inmafu","US","PRESENT",90,"UTEP","3413522925","http://arctos.database.museum/guid/UTEP:Herb:66455","PRESERVED_SPECIMEN",1999,10,16,"1999-10-16","WGS84","UTEP:Herb:66455"
"Sorghastrum nutans",-101.876107,39.738822,"ambcol","US","PRESENT",566,"KU","177035143",NA,"PRESERVED_SPECIMEN",1998,8,31,"1998-08-31","WGS84","320197"
"Sorghastrum nutans",-92.33874,44.520016,"cdc,gass84,ambcol","US","PRESENT",971,"MIN","2265430927","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=175657","PRESERVED_SPECIMEN",1998,8,18,"1998-08-18","WGS84","499489"
"Sorghastrum nutans",-94.873492,38.135123,"ambcol","US","PRESENT",560,"KU","177035272",NA,"PRESERVED_SPECIMEN",1998,9,4,"1998-09-04","WGS84","320159"
"Sorghastrum nutans",-95.326014,38.246406,"ambcol","US","PRESENT",525,"KU","177034739",NA,"PRESERVED_SPECIMEN",1998,9,22,"1998-09-22","WGS84","322196"
