"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Sphaeralcea coccinea",-99.166945,36.954313,"ambcol","US","PRESENT",900,"KU","177036478",NA,"PRESERVED_SPECIMEN",2000,5,23,"2000-05-23","WGS84","333711"
"Sphaeralcea coccinea",-106.96351,39.38256,"cdc,ambinst","US","PRESENT",800,"COLO","2573463687","https://botanydb.colorado.edu/collections/individual/index.php?occid=374883","PRESERVED_SPECIMEN",2000,5,26,"2000-05-26","WGS84","02137073"
"Sphaeralcea coccinea",-106.474225,35.282916,"cdc,colmafu,inmafu","US","PRESENT",160,"UNM","1843839543","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4049602","PRESERVED_SPECIMEN",2000,5,6,"2000-05-06","WGS84","UNM0058411"
"Sphaeralcea coccinea",-102.501335,39.476131,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573470789","https://botanydb.colorado.edu/collections/individual/index.php?occid=46569","PRESERVED_SPECIMEN",2000,5,19,"2000-05-19","WGS84","00476960"
"Sphaeralcea coccinea",-103.555694,38.7342,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573472789","https://botanydb.colorado.edu/collections/individual/index.php?occid=46570","PRESERVED_SPECIMEN",2000,5,22,"2000-05-22","WGS84","00476978"
"Sphaeralcea coccinea",-103.227816,38.407542,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573515673","https://botanydb.colorado.edu/collections/individual/index.php?occid=46572","PRESERVED_SPECIMEN",2000,5,21,"2000-05-21","WGS84","00476994"
"Sphaeralcea coccinea",-103.43167,38.91806,"cdc,ambinst","US","PRESENT",250,"COLO","2573467778","https://botanydb.colorado.edu/collections/individual/index.php?occid=46588","PRESERVED_SPECIMEN",2000,5,16,"2000-05-16","WGS84","00615187"
"Sphaeralcea coccinea",-102.34389,38.80472,"cdc,ambinst","US","PRESENT",250,"COLO","2573527840","https://botanydb.colorado.edu/collections/individual/index.php?occid=46598","PRESERVED_SPECIMEN",2000,5,17,"2000-05-17","WGS84","00668475"
"Sphaeralcea coccinea",-102.79083,38.76639,"cdc,ambinst","US","PRESENT",250,"COLO","2573530048","https://botanydb.colorado.edu/collections/individual/index.php?occid=46599","PRESERVED_SPECIMEN",2000,5,16,"2000-05-16","WGS84","00670380"
"Sphaeralcea coccinea",-102.15194,39.32056,"cdc,ambinst","US","PRESENT",250,"COLO","2573519759","https://botanydb.colorado.edu/collections/individual/index.php?occid=46602","PRESERVED_SPECIMEN",2000,5,14,"2000-05-14","WGS84","00684076"
"Sphaeralcea coccinea",-103.29528,39.12806,"cdc,ambinst","US","PRESENT",250,"COLO","2573528838","https://botanydb.colorado.edu/collections/individual/index.php?occid=46604","PRESERVED_SPECIMEN",2000,5,15,"2000-05-15","WGS84","00691188"
"Sphaeralcea coccinea",-106.12565,38.55778,"cdc,ambinst","US","PRESENT",1000,"COLO","2573467780","https://botanydb.colorado.edu/collections/individual/index.php?occid=46632","PRESERVED_SPECIMEN",2000,5,30,"2000-05-30","WGS84","00887521"
"Sphaeralcea coccinea",-107.35108,35.61733,"cdc,colmafu,inmafu","US","PRESENT",500,"UNM","1843905570","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4114934","PRESERVED_SPECIMEN",2000,6,12,"2000-06-12","WGS84","UNM0058280"
"Sphaeralcea coccinea",-103.50611,38.715,"cdc,ambinst","US","PRESENT",250,"COLO","2573515674","https://botanydb.colorado.edu/collections/individual/index.php?occid=46590","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","00615310"
"Sphaeralcea coccinea",-102.99972,38.82306,"cdc,ambinst","US","PRESENT",250,"COLO","2573473762","https://botanydb.colorado.edu/collections/individual/index.php?occid=46608","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","00700971"
"Sphaeralcea coccinea",-106.41239,40.86399,"cdc,ambinst","US","PRESENT",1000,"COLO","2573468766","https://botanydb.colorado.edu/collections/individual/index.php?occid=46645","PRESERVED_SPECIMEN",2000,6,8,"2000-06-08","WGS84","00918524"
"Sphaeralcea coccinea",-103.71234,39.26062,"cdc,ambinst","US","PRESENT",250,"COLO","2573525559","https://botanydb.colorado.edu/collections/individual/index.php?occid=46595","PRESERVED_SPECIMEN",2000,8,24,"2000-08-24","WGS84","00654699"
"Sphaeralcea coccinea",-109.6,39.891667,"cdc,ambinst","US","PRESENT",300,"COLO","2573560171","https://botanydb.colorado.edu/collections/individual/index.php?occid=422031","PRESERVED_SPECIMEN",1999,5,29,"1999-05-29","WGS84","02248656"
"Sphaeralcea coccinea",-108.494865,38.920112,"cdc,cdround,ambinst","US","PRESENT",100,"COLO","2573470786","https://botanydb.colorado.edu/collections/individual/index.php?occid=46514","PRESERVED_SPECIMEN",1999,5,27,"1999-05-27","WGS84","00449926"
"Sphaeralcea coccinea",-107.73088,38.26111,"cdc,ambinst","US","PRESENT",1000,"COLO","2573516671","https://botanydb.colorado.edu/collections/individual/index.php?occid=46637","PRESERVED_SPECIMEN",1999,5,20,"1999-05-20","WGS84","00896779"
"Sphaeralcea coccinea",-104.39968,37.20549,"cdc,ambinst","US","PRESENT",500,"COLO","2573515677","https://botanydb.colorado.edu/collections/individual/index.php?occid=46653","PRESERVED_SPECIMEN",1999,5,12,"1999-05-12","WGS84","00935668"
"Sphaeralcea coccinea",-108.396705,37.337131,"cdc,cdround","US","PRESENT",164,"iNaturalist","2851121716","https://www.inaturalist.org/observations/56390692","HUMAN_OBSERVATION",1999,5,25,"1999-05-25T19:21","WGS84","56390692"
"Sphaeralcea coccinea",-99.43078,40.38872,"gass84,ambcol","US","PRESENT",0.48,"KU","177036530",NA,"PRESERVED_SPECIMEN",1999,6,24,"1999-06-24","WGS84","332954"
