"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Sporobolus compositus",-94.184922,45.727893,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265436003","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=180431","PRESERVED_SPECIMEN",2000,8,29,"2000-08-29","WGS84","508776"
"Sporobolus compositus",-102.98833,39.29472,"cdc,ambinst","US","PRESENT",250,"COLO","2573532047","https://botanydb.colorado.edu/collections/individual/index.php?occid=40083","PRESERVED_SPECIMEN",2000,8,19,"2000-08-19","WGS84","00600783"
"Sporobolus compositus",-102.15194,39.32056,"cdc,ambinst","US","PRESENT",250,"COLO","2573532543","https://botanydb.colorado.edu/collections/individual/index.php?occid=40084","PRESERVED_SPECIMEN",2000,8,18,"2000-08-18","WGS84","00600791"
"Sporobolus compositus",-103.43028,38.92306,"cdc,ambinst","US","PRESENT",250,"COLO","2573532503","https://botanydb.colorado.edu/collections/individual/index.php?occid=40134","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84","00645135"
"Sporobolus compositus",-102.37028,38.88972,"cdc,ambinst","US","PRESENT",250,"COLO","2573468477","https://botanydb.colorado.edu/collections/individual/index.php?occid=40137","PRESERVED_SPECIMEN",2000,10,2,"2000-10-02","WGS84","00645341"
"Sporobolus compositus",-101.010372,38.86958,"ambcol","US","PRESENT",891,"KU","177037601",NA,"PRESERVED_SPECIMEN",1999,8,25,"1999-08-25","WGS84","325132"
"Sporobolus compositus",-96.14657,47.111989,"cdc,gass84,ambcol","US","PRESENT",492,"MIN","2265361249","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=11250","PRESERVED_SPECIMEN",1999,8,12,"1999-08-12","WGS84","509387"
"Sporobolus compositus",-78.214307,38.87478,"cdc,colmafu,inmafu","US","PRESENT",100,"NCU","3395314344","https://sernecportal.org/portal/collections/individual/index.php?occid=27593862","PRESERVED_SPECIMEN",1999,9,24,"1999-09-24","WGS84","NCU00436534"
"Sporobolus compositus",-80.669272,37.094131,"cdc,colmafu,inmafu","US","PRESENT",100,"NCU","4041256328","https://sernecportal.org/portal/collections/individual/index.php?occid=30620500","PRESERVED_SPECIMEN",1999,9,22,"1999-09-22","WGS84","NCU00445356"
"Sporobolus compositus",-104.908113,37.922675,"ambcol","US","PRESENT",454,"KU","177037778",NA,"PRESERVED_SPECIMEN",1998,8,13,"1998-08-13","WGS84","322449"
"Sporobolus compositus",-103.82998,42.902496,"ambcol","US","PRESENT",293,"KU","4404467314",NA,"PRESERVED_SPECIMEN",1998,8,18,"1998-08-18","WGS84","433691"
"Sporobolus compositus",-94.873492,38.135123,"ambcol","US","PRESENT",560,"KU","177037796",NA,"PRESERVED_SPECIMEN",1998,9,4,"1998-09-04","WGS84","320080"
"Sporobolus compositus",-95.326014,38.246406,"ambcol","US","PRESENT",525,"KU","177037582",NA,"PRESERVED_SPECIMEN",1998,9,22,"1998-09-22","WGS84","322193"
"Sporobolus compositus",-97.248463,32.807411,"cdc,incomis,inmafu","US","PRESENT",729,"BRIT","4102167199","https://sernecportal.org/portal/collections/individual/index.php?occid=16656500","PRESERVED_SPECIMEN",1998,10,24,"1998-10-24","WGS84","BRIT270485"
"Sporobolus compositus",-103.488685,43.731031,"cdc,inmafu","US","PRESENT",277,"BHSC","2862184405","https://ngpherbaria.org/portal/collections/individual/index.php?occid=26152427","PRESERVED_SPECIMEN",1998,10,12,"1998-10-12","WGS84","BHSC0020644"
"Sporobolus compositus",-92.498575,42.740748,"ambcol","US","PRESENT",419,"KU","177037753",NA,"PRESERVED_SPECIMEN",1997,8,30,"1997-08-30","WGS84","314121"
"Sporobolus compositus",-105.211761,39.878031,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573520780","https://botanydb.colorado.edu/collections/individual/index.php?occid=38438","PRESERVED_SPECIMEN",1997,8,28,"1997-08-28","WGS84","00560698"
"Sporobolus compositus",-95.997622,39.083998,"ambcol","US","PRESENT",600,"KU","177037823",NA,"PRESERVED_SPECIMEN",1997,9,17,"1997-09-17","WGS84","313387"
"Sporobolus compositus",-83.097437,42.168673,"cdc,colmafu,inmafu","CA","PRESENT",700,"CM","2859274984","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11693880","PRESERVED_SPECIMEN",1997,9,23,"1997-09-23","WGS84","CM476865"
"Sporobolus compositus",-102.753211,38.772925,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573469448","https://botanydb.colorado.edu/collections/individual/index.php?occid=39591","PRESERVED_SPECIMEN",1997,9,7,"1997-09-07","WGS84","00575746"
"Sporobolus compositus",-98.112616,39.479562,"ambcol","US","PRESENT",75,"KU","177037794",NA,"PRESERVED_SPECIMEN",1997,10,13,"1997-10-13","WGS84","319575"
"Sporobolus compositus",-92.480111,42.693189,"ambcol","US","PRESENT",861,"KU","177037755",NA,"PRESERVED_SPECIMEN",1996,8,31,"1996-08-31","WGS84","312040"
