"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Sporobolus cryptandrus",-120.84935,35.53525,"cdc,inmafu","US","PRESENT",458,"OBI","2270214443","https://cch2.org/portal/collections/individual/index.php?occid=207640","PRESERVED_SPECIMEN",2000,5,31,"2000-05-31","WGS84","OBI153225"
"Sporobolus cryptandrus",-120.882549,35.535806,"cdc,inmafu","US","PRESENT",601,"CDA","3059682872","https://cch2.org/portal/collections/individual/index.php?occid=4115113","PRESERVED_SPECIMEN",2000,5,31,"2000-05-31","WGS84","CDA-0034893"
"Sporobolus cryptandrus",-102.99972,38.82306,"cdc,ambinst","US","PRESENT",250,"COLO","2573532211","https://botanydb.colorado.edu/collections/individual/index.php?occid=40086","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","00600833"
"Sporobolus cryptandrus",-102.79083,38.76639,"cdc,ambinst","US","PRESENT",250,"COLO","2573467484","https://botanydb.colorado.edu/collections/individual/index.php?occid=40106","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","00621607"
"Sporobolus cryptandrus",-102.36806,39.51861,"cdc,ambinst","US","PRESENT",250,"COLO","2573532588","https://botanydb.colorado.edu/collections/individual/index.php?occid=40153","PRESERVED_SPECIMEN",2000,6,23,"2000-06-23","WGS84","00654145"
"Sporobolus cryptandrus",-103.68,39.26278,"cdc,ambinst","US","PRESENT",250,"COLO","2573467487","https://botanydb.colorado.edu/collections/individual/index.php?occid=40160","PRESERVED_SPECIMEN",2000,6,24,"2000-06-24","WGS84","00665349"
"Sporobolus cryptandrus",-103.50611,38.715,"cdc,ambinst","US","PRESENT",250,"COLO","2573518386","https://botanydb.colorado.edu/collections/individual/index.php?occid=40166","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","00668152"
"Sporobolus cryptandrus",-94.431081,35.389566,"ambcol","US","PRESENT",415,"KU","177038647",NA,"PRESERVED_SPECIMEN",2000,7,21,"2000-07-21","WGS84","358274"
"Sporobolus cryptandrus",-118.365516,37.527432,"cdc,colmafu,inmafu","US","PRESENT",400,"DAV","2421753318","https://cch2.org/portal/collections/individual/index.php?occid=1378931","PRESERVED_SPECIMEN",2000,8,13,"2000-08-13","WGS84",NA
"Sporobolus cryptandrus",-92.744606,45.52755,"cdc,cdround","US","PRESENT",61,"iNaturalist","4528041008","https://www.inaturalist.org/observations/200147286","HUMAN_OBSERVATION",2000,8,16,"2000-08-16T15:12","WGS84","200147286"
"Sporobolus cryptandrus",-103.045614,38.820171,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573469449","https://botanydb.colorado.edu/collections/individual/index.php?occid=39618","PRESERVED_SPECIMEN",2000,8,16,"2000-08-16","WGS84","00576017"
"Sporobolus cryptandrus",-103.27397,38.817334,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573471467","https://botanydb.colorado.edu/collections/individual/index.php?occid=39619","PRESERVED_SPECIMEN",2000,8,16,"2000-08-16","WGS84","00576025"
"Sporobolus cryptandrus",-102.556759,39.512724,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573470464","https://botanydb.colorado.edu/collections/individual/index.php?occid=39620","PRESERVED_SPECIMEN",2000,8,14,"2000-08-14","WGS84","00576033"
"Sporobolus cryptandrus",-105.80654,38.187727,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573466459","https://botanydb.colorado.edu/collections/individual/index.php?occid=39623","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84","00576066"
"Sporobolus cryptandrus",-102.6125,39.47528,"cdc,ambinst","US","PRESENT",250,"COLO","2573466485","https://botanydb.colorado.edu/collections/individual/index.php?occid=40108","PRESERVED_SPECIMEN",2000,8,18,"2000-08-18","WGS84","00621649"
"Sporobolus cryptandrus",-103.70472,38.65167,"cdc,ambinst","US","PRESENT",250,"COLO","2573473480","https://botanydb.colorado.edu/collections/individual/index.php?occid=40154","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84","00654913"
"Sporobolus cryptandrus",-110.78,32.97,"cdc,gass84,colmafu,inmafu","US","PRESENT",100,"ASU","2270498285","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=16695957","PRESERVED_SPECIMEN",2000,9,9,"2000-09-09","WGS84",NA
"Sporobolus cryptandrus",-104.591495,32.101223,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"UNM","1843889534","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4099158","PRESERVED_SPECIMEN",2000,10,4,"2000-10-04","WGS84","UNM0108271"
"Sporobolus cryptandrus",-104.108333,28.008333,"cdc,cdround,elmms,gass84,typstativ,osiic,incomis,inmafu,diffown","MX","PRESENT",60,"CP","4168736313",NA,"PRESERVED_SPECIMEN",2000,10,20,"2000-10-20","WGS84","NO DISPONIBLE"
"Sporobolus cryptandrus",-104.083,28.4,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",60,"IBUNAM","3308718463",NA,"PRESERVED_SPECIMEN",2000,10,20,"2000-10-20","WGS84","1238547"
"Sporobolus cryptandrus",-99.37,25.708333,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",50,"INECOL","1897351778",NA,"PRESERVED_SPECIMEN",2000,11,1,"2000-11-01","WGS84","198079"
"Sporobolus cryptandrus",-103.803647,40.317984,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573470463","https://botanydb.colorado.edu/collections/individual/index.php?occid=39602","PRESERVED_SPECIMEN",1999,7,29,"1999-07-29","WGS84","00575852"
"Sporobolus cryptandrus",-105.653818,37.946628,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573472464","https://botanydb.colorado.edu/collections/individual/index.php?occid=39622","PRESERVED_SPECIMEN",1999,7,29,"1999-07-29","WGS84","00576058"
"Sporobolus cryptandrus",-101.010372,38.86958,"ambcol","US","PRESENT",891,"KU","177038885",NA,"PRESERVED_SPECIMEN",1999,8,25,"1999-08-25","WGS84","325102"
"Sporobolus cryptandrus",-106.618022,35.428434,"cdc,colmafu,inmafu","US","PRESENT",301,"UNM","1843839590","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4049511","PRESERVED_SPECIMEN",1999,8,5,"1999-08-05","WGS84","UNM0108353"
"Sporobolus cryptandrus",-106.463,35.299,"cdc,colmafu,inmafu","US","PRESENT",285,"UNM","1843898280","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4108375","PRESERVED_SPECIMEN",1999,8,18,"1999-08-18","WGS84","UNM0108304"
"Sporobolus cryptandrus",-103.906591,43.290686,"cdc,inmafu","US","PRESENT",563,"BHSC","2862184755","https://ngpherbaria.org/portal/collections/individual/index.php?occid=26152764","PRESERVED_SPECIMEN",1999,9,6,"1999-09-06","WGS84","BHSC0025855"
"Sporobolus cryptandrus",-107.1078,33.3866,"cdc,colmafu,inmafu","US","PRESENT",208,"UNM","1843821169","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4031591","PRESERVED_SPECIMEN",1998,5,23,"1998-05-23","WGS84","UNM0108276"
"Sporobolus cryptandrus",-116.799444,34.304,"cdc,cdround,inmafu","US","PRESENT",400,"RSA","2430151402","https://cch2.org/portal/collections/individual/index.php?occid=1123664","PRESERVED_SPECIMEN",1998,6,15,"1998-06-15","WGS84",NA
"Sporobolus cryptandrus",-116.7775,34.287222,"cdc,cdround,inmafu","US","PRESENT",400,"RSA","2430474414","https://cch2.org/portal/collections/individual/index.php?occid=739894","PRESERVED_SPECIMEN",1998,7,20,"1998-07-20","WGS84",NA
"Sporobolus cryptandrus",-102.906335,39.293736,"ambcol","US","PRESENT",912,"KU","177038626",NA,"PRESERVED_SPECIMEN",1998,8,16,"1998-08-16","WGS84","321854"
"Sporobolus cryptandrus",-100.279,24.54361,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",50,"IBUNAM","3308010146",NA,"PRESERVED_SPECIMEN",1998,8,13,"1998-08-13","WGS84","1107487"
"Sporobolus cryptandrus",-102.543921,37.636193,"ambcol","US","PRESENT",873,"KU","177038884",NA,"PRESERVED_SPECIMEN",1998,8,9,"1998-08-09","WGS84","320594"
"Sporobolus cryptandrus",-104.908113,37.922675,"ambcol","US","PRESENT",454,"KU","177038809",NA,"PRESERVED_SPECIMEN",1998,8,13,"1998-08-13","WGS84","322433"
"Sporobolus cryptandrus",-104.81828,37.70984,"cdc,ambinst","US","PRESENT",1000,"COLO","2573515402","https://botanydb.colorado.edu/collections/individual/index.php?occid=40604","PRESERVED_SPECIMEN",1998,8,19,"1998-08-19","WGS84","00929919"
"Sporobolus cryptandrus",-104.0098,36.8712,"cdc,gass84,colmafu,inmafu","US","PRESENT",1,"UNM","1843915133","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4143630","PRESERVED_SPECIMEN",1998,8,16,"1998-08-16","WGS84","UNM0108323"
"Sporobolus cryptandrus",-102.939739,38.050484,"ambcol","US","PRESENT",327,"KU","177038821",NA,"PRESERVED_SPECIMEN",1998,9,2,"1998-09-02","WGS84","333585"
"Sporobolus cryptandrus",-102.940893,38.049708,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573531133","https://botanydb.colorado.edu/collections/individual/index.php?occid=39606","PRESERVED_SPECIMEN",1998,9,2,"1998-09-02","WGS84","00575894"
"Sporobolus cryptandrus",-106.122514,35.611145,"cdc,colmafu,inmafu","US","PRESENT",285,"UNM","1843838550","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4048459","PRESERVED_SPECIMEN",1998,9,14,"1998-09-14","WGS84","UNM0108283"
"Sporobolus cryptandrus",-111.93322,33.41762,"cdc,colmafu,inmafu","US","PRESENT",1000,"ASU","2270578927","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6033281","PRESERVED_SPECIMEN",1998,9,13,"1998-09-13","WGS84","ASU0074203"
"Sporobolus cryptandrus",-101.975,23.61528,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",70,"IBUNAM","3308031108",NA,"PRESERVED_SPECIMEN",1997,4,24,"1997-04-24","WGS84","1107507"
"Sporobolus cryptandrus",-116.54361,33.14583,"cdc,colmano,inmafu","US","PRESENT",80,"SD","3125037310","https://cch2.org/portal/collections/individual/index.php?occid=427636","PRESERVED_SPECIMEN",1997,5,22,"1997-05-22","WGS84",NA
"Sporobolus cryptandrus",-102.116667,23.666667,"cdc,cdround,elmms,gass84,typstativ,osiic,incomis,inmafu,diffown","MX","PRESENT",70,"ENCB-IPN","1896004895",NA,"PRESERVED_SPECIMEN",1997,6,25,"1997-06-25","WGS84","NO DISPONIBLE"
"Sporobolus cryptandrus",-102.147,23.6625,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",70,"IBUNAM","3308604394",NA,"PRESERVED_SPECIMEN",1997,6,25,"1997-06-25","WGS84","1107506"
"Sporobolus cryptandrus",-117.507707,47.52897,"cdc,cdround,ambinst","US","PRESENT",805,"OSU","3820652228","https://oregonflora.org/collections/individual/index.php?occid=1010931","PRESERVED_SPECIMEN",1997,7,15,"1997-07-15","WGS84",NA
"Sporobolus cryptandrus",-117.5081,47.5308,"cdc,colmafu,inmafu","US","PRESENT",969,"RENO","4404921158","https://intermountainbiota.org/portal/collections/individual/index.php?occid=5356428","PRESERVED_SPECIMEN",1997,7,15,"1997-07-15","WGS84","32452"
"Sporobolus cryptandrus",-109.0733893,41.2802767,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073911195",NA,"PRESERVED_SPECIMEN",1997,7,26,"1997-07-26","WGS84","162417"
"Sporobolus cryptandrus",-92.228586,42.806013,"ambcol","US","PRESENT",910,"KU","177038628",NA,"PRESERVED_SPECIMEN",1997,8,6,"1997-08-06","WGS84","314889"
"Sporobolus cryptandrus",-99.528543,39.391475,"ambcol","US","PRESENT",371,"KU","177038814",NA,"PRESERVED_SPECIMEN",1997,8,20,"1997-08-20","WGS84","315322"
"Sporobolus cryptandrus",-100.116591,39.598409,"ambcol","US","PRESENT",116,"KU","177038824",NA,"PRESERVED_SPECIMEN",1997,8,20,"1997-08-20","WGS84","315268"
"Sporobolus cryptandrus",-93.474042,46.998373,"cdc,gass84,ambcol","US","PRESENT",302,"MIN","2265408276","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=156168","PRESERVED_SPECIMEN",1997,8,14,"1997-08-14","WGS84","519043"
"Sporobolus cryptandrus",-95.997622,39.083998,"ambcol","US","PRESENT",600,"KU","177038806",NA,"PRESERVED_SPECIMEN",1997,9,17,"1997-09-17","WGS84","313383"
"Sporobolus cryptandrus",-99.754438,34.108151,"cdc,inmafu","US","PRESENT",619,"TTC","3340038337","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=16586543","PRESERVED_SPECIMEN",1997,9,8,"1997-09-08","WGS84","TTC003816"
