"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Steinchisma hians",-91.277949,34.521546,"cdc,inmafu","US","PRESENT",417,"UARK","4876036812","https://sernecportal.org/portal/collections/individual/index.php?occid=11096487","PRESERVED_SPECIMEN",2000,6,20,"2000-06-20","WGS84","UARK050364"
"Steinchisma hians",-99.675,18.89167,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",90,"IBUNAM","3308128664",NA,"PRESERVED_SPECIMEN",1999,10,3,"1999-10-03","WGS84","1401887"
"Steinchisma hians",-91.350758,33.051402,"cdc,inmafu","US","PRESENT",292,"UARK","4876038532","https://sernecportal.org/portal/collections/individual/index.php?occid=8685173","PRESERVED_SPECIMEN",1999,10,1,"1999-10-01","WGS84","UARK029397"
"Steinchisma hians",-100.166667,21.175,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",80,"INECOL","1893631374",NA,"PRESERVED_SPECIMEN",1998,7,30,"1998-07-30","WGS84","163322"
"Steinchisma hians",-108.926944,28.379444,"cdc,cdround,elmms,gass84,typstativ,incomis,inmafu","MX","PRESENT",60,"UAZ","2630603830",NA,"PRESERVED_SPECIMEN",1997,7,15,"1997-07-15","WGS84","NO DISPONIBLE"
"Steinchisma hians",-86.024394,35.44865,"cdc,colmafu,inmafu","US","PRESENT",100,"NCU","2269111871","https://sernecportal.org/portal/collections/individual/index.php?occid=21627768","PRESERVED_SPECIMEN",1995,8,25,"1995-08-25","WGS84","NCU00391838"
"Steinchisma hians",-89.083724,31.122016,"cdc,inmafu","US","PRESENT",897,"USMS","4088563562","https://sernecportal.org/portal/collections/individual/index.php?occid=6018820","PRESERVED_SPECIMEN",1994,5,23,"1994-05-23","WGS84","USMS_000004368"
"Steinchisma hians",-89.084754,31.129694,"cdc,inmafu","US","PRESENT",884,"USMS","4088563564","https://sernecportal.org/portal/collections/individual/index.php?occid=6018821","PRESERVED_SPECIMEN",1994,5,23,"1994-05-23","WGS84","USMS_000004369"
"Steinchisma hians",-109.258333,26.551389,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",60,"DCBS-DICTUS-USON","1893591168",NA,"PRESERVED_SPECIMEN",1994,9,21,"1994-09-21","WGS84","06113"
"Steinchisma hians",-100.143333,20.186667,"cdc,cdround,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"INECOL","1893631378",NA,"PRESERVED_SPECIMEN",1994,9,19,"1994-09-19","WGS84","63211"
"Steinchisma hians",-89.587443,30.36285,"cdc,inmafu","US","PRESENT",969,"USMS","4088563546","https://sernecportal.org/portal/collections/individual/index.php?occid=6018818","PRESERVED_SPECIMEN",1992,5,5,"1992-05-05","WGS84","USMS_000004366"
"Steinchisma hians",-108.91667,26.91667,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",60,"IBUNAM","3308466391",NA,"PRESERVED_SPECIMEN",1992,10,4,"1992-10-04","WGS84","767838"
"Steinchisma hians",-98.856401,30.32817,"cdc,inmafu","US","PRESENT",100,"BRIT","3969711678","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26775930","PRESERVED_SPECIMEN",1991,7,11,"1991-07-11","WGS84","BRIT232362"
"Steinchisma hians",-100.826944,19.858333,"cdc,cdround,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"INECOL","1893631359",NA,"PRESERVED_SPECIMEN",1991,10,25,"1991-10-25","WGS84","63206"
"Steinchisma hians",-96.738889,19.641667,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"IIB-UV","1418340798",NA,"PRESERVED_SPECIMEN",1991,10,29,"1991-10-29","WGS84","CIB 10898"
"Steinchisma hians",-100.275,20.375,"cdc,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"INECOL","1893631363",NA,"PRESERVED_SPECIMEN",1990,8,2,"1990-08-02","WGS84","63213"
"Steinchisma hians",-101.489722,21.326944,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"INECOL","1893631366",NA,"PRESERVED_SPECIMEN",1990,8,13,"1990-08-13","WGS84","63219"
"Steinchisma hians",-100.07,20.18,"cdc,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"INECOL","1893631375",NA,"PRESERVED_SPECIMEN",1989,8,15,"1989-08-15","WGS84","63205"
"Steinchisma hians",-104.925,23.825,"cdc,elmms,gass84,typstativ,inmano","MX","PRESENT",70,"CIIDIR-IPN","1894528464",NA,"PRESERVED_SPECIMEN",1989,9,21,"1989-09-21","WGS84","NO DISPONIBLE"
"Steinchisma hians",-101.255,19.52,"cdc,gass84,typstativ,osiic,inmano","MX","PRESENT",90,"INECOL","1893631365",NA,"PRESERVED_SPECIMEN",1988,7,17,"1988-07-17","WGS84","63209"
"Steinchisma hians",-89.3631,32.2305,"cdc,gass84,inmafu","US","PRESENT",100,"MMNS","3707759667","https://sernecportal.org/portal/collections/individual/index.php?occid=6350877","PRESERVED_SPECIMEN",1988,8,5,"1988-08-05","WGS84","MMNS010429"
"Steinchisma hians",-100.838333,20.706667,"cdc,cdround,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"INECOL","1893631358",NA,"PRESERVED_SPECIMEN",1988,9,14,"1988-09-14","WGS84","63218"
"Steinchisma hians",-100.995278,20.642222,"cdc,cdround,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"INECOL","1893631371",NA,"PRESERVED_SPECIMEN",1987,7,12,"1987-07-12","WGS84","63216"
"Steinchisma hians",-102.355,20.768333,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"INECOL","1893631362",NA,"PRESERVED_SPECIMEN",1987,8,20,"1987-08-20","WGS84","63220"
"Steinchisma hians",-104.582778,23.5,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",70,"COTECOCA","1895890666",NA,"PRESERVED_SPECIMEN",1987,8,9,"1987-08-09","WGS84","14219"
"Steinchisma hians",-101.413333,20.003333,"cdc,cdround,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"INECOL","1893631385",NA,"PRESERVED_SPECIMEN",1987,8,30,"1987-08-30","WGS84","63208"
"Steinchisma hians",-101.151667,19.651667,"cdc,cdround,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"INECOL","1893631380",NA,"PRESERVED_SPECIMEN",1986,7,20,"1986-07-20","WGS84","63212"
"Steinchisma hians",-103.593611,21.983056,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"INECOL","1893631364",NA,"PRESERVED_SPECIMEN",1986,8,8,"1986-08-08","WGS84","63222"
"Steinchisma hians",-88.47736,32.72237,"cdc,inmafu","US","PRESENT",100,"MMNS","3707743859","https://sernecportal.org/portal/collections/individual/index.php?occid=6361502","PRESERVED_SPECIMEN",1985,9,19,"1985-09-19","WGS84","MMNS021174"
"Steinchisma hians",-96.775,19.508333,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"IIB-UV","1418347429",NA,"PRESERVED_SPECIMEN",1981,8,18,"1981-08-18","WGS84","CIB 10899"
"Steinchisma hians",-104.241667,23.368056,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",70,"CIIDIR-IPN","1895680682",NA,"PRESERVED_SPECIMEN",1981,9,11,"1981-09-11","WGS84","NO DISPONIBLE"
"Steinchisma hians",-92.100803,16.190728,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",100,"CNS-UT","1895378547",NA,"PRESERVED_SPECIMEN",1981,11,6,"1981-11-06","WGS84","00083219"
"Steinchisma hians",-83.334394,33.887013,"cdc,gass84,inmafu","US","PRESENT",421,"GA","3709930572","https://sernecportal.org/portal/collections/individual/index.php?occid=23973524","PRESERVED_SPECIMEN",1979,10,24,"1979-10-24","WGS84","GA010852"
"Steinchisma hians",-89.8,33.77,"cdc,gass84,inmafu","US","PRESENT",1000,"SFV","2575149360","https://cch2.org/portal/collections/individual/index.php?occid=3769559","PRESERVED_SPECIMEN",1977,6,15,"1977-06-15","WGS84","SFV115700"
"Steinchisma hians",-98.81603,30.500741,"gass84,inmano","US","PRESENT",929,"PRC","2807570603",NA,"PRESERVED_SPECIMEN",1976,7,23,"1976-07-23","WGS84","00319539"
"Steinchisma hians",-98.819227,30.504925,"gass84,inmano","US","PRESENT",736,"PRC","2807222975",NA,"PRESERVED_SPECIMEN",1976,10,2,"1976-10-02","WGS84","00364957"
"Steinchisma hians",-93.504913,32.637812,"cdc,inmafu","US","PRESENT",969,"DES","1846544924","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3222064","PRESERVED_SPECIMEN",1975,10,14,"1975-10-14","WGS84","DES00013931"
"Steinchisma hians",-103.179024,21.723063,"cdc,cdround,elmms,gass84,typstativ,osiic,incomis,inmafu,diffown","MX","PRESENT",80,"ENCB-IPN","1896004195",NA,"PRESERVED_SPECIMEN",1973,10,21,"1973-10-21","WGS84","3055301"
