"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Stellaria graminea",-78.982568,41.968623,"ambcol","US","PRESENT",553,"KU","177039073",NA,"PRESERVED_SPECIMEN",2000,5,31,"2000-05-31","WGS84","348562"
"Stellaria graminea",-79.383926,39.714239,"cdc,inmafu","US","PRESENT",210,"TAWES","4067742854","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=20430486","PRESERVED_SPECIMEN",2000,5,18,"2000-05-18","WGS84","TAWES0004721"
"Stellaria graminea",-121.13864,44.2401,"cdc,ambinst","US","PRESENT",805,"OSU","3820661315","https://oregonflora.org/collections/individual/index.php?occid=1013506","PRESERVED_SPECIMEN",2000,6,23,"2000-06-23","WGS84",NA
"Stellaria graminea",-65.788333,45.899444,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859373582","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11946711","PRESERVED_SPECIMEN",2000,7,9,"2000-07-09","WGS84","CM496952"
"Stellaria graminea",-91.63027,47.726203,"cdc,ambcol","US","PRESENT",800,"MIN","2265501596","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=5774","PRESERVED_SPECIMEN",2000,7,2,"2000-07-02","WGS84","493988"
"Stellaria graminea",-121.81155,46.750119,"cdc,incomis,inmafu","US","PRESENT",100,"MORA","4068347355",NA,"PRESERVED_SPECIMEN",1999,8,14,"1999-08-14","WGS84","MORA-00330"
"Stellaria graminea",-80.10528,41.03556,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859088548","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11946318","PRESERVED_SPECIMEN",1998,5,25,"1998-05-25","WGS84","CM487696"
"Stellaria graminea",-80.997835,36.455924,"cdc,gass84,colmafu,inmafu","US","PRESENT",300,"NCSM","2825495951","http://sernecportal.org/portal/collections/individual/index.php?occid=20436506","PRESERVED_SPECIMEN",1998,5,23,"1998-05-23","WGS84","157"
"Stellaria graminea",-121.811987,46.750128,"cdc,incomis,inmafu","US","PRESENT",25,"MORA","4068343931",NA,"PRESERVED_SPECIMEN",1998,6,30,"1998-06-30","WGS84","MORA-00350"
"Stellaria graminea",-77.96972,40.76222,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859079570","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11946401","PRESERVED_SPECIMEN",1996,7,9,"1996-07-09","WGS84","CM489019"
"Stellaria graminea",-84.005866,36.042794,"cdc,inmafu","US","PRESENT",297,"TENN","1989982501","https://sernecportal.org/portal/collections/individual/index.php?occid=12730029","PRESERVED_SPECIMEN",1995,5,27,"1995-05-27","WGS84","TENN-V-0092155"
"Stellaria graminea",-73.23694,41.47611,"cdc,gass84,inmano","US","PRESENT",3,"UConn","415968167",NA,"PRESERVED_SPECIMEN",1995,6,6,"1995-06-06","WGS84","CONN00092545"
"Stellaria graminea",-121.151197,37.728332,"cdc,gass84,inmafu","US","PRESENT",301,"SHTC","4079071801","https://cch2.org/portal/collections/individual/index.php?occid=3614433","PRESERVED_SPECIMEN",1994,3,21,"1994-03-21","WGS84",NA
"Stellaria graminea",-79.37361,40.26389,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859078105","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11937017","PRESERVED_SPECIMEN",1994,5,28,"1994-05-28","WGS84","CM394086"
"Stellaria graminea",-84.003516,36.045305,"cdc,inmafu","US","PRESENT",646,"TENN","1989982513","https://sernecportal.org/portal/collections/individual/index.php?occid=12730030","PRESERVED_SPECIMEN",1994,5,24,"1994-05-24","WGS84","TENN-V-0092156"
"Stellaria graminea",-79.1875,40.11667,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859075088","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11936917","PRESERVED_SPECIMEN",1994,6,25,"1994-06-25","WGS84","CM391221"
"Stellaria graminea",-79.879595,41.325014,"cdc,colmafu,inmafu","US","PRESENT",766,"CM","2859338521","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11945653","PRESERVED_SPECIMEN",1994,6,5,"1994-06-05","WGS84","CM473357"
"Stellaria graminea",-82.572816,38.424954,"cdc,colmafu,inmafu","US","PRESENT",375,"CM","2859078108","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11937071","PRESERVED_SPECIMEN",1993,5,11,"1993-05-11","WGS84","CM395113"
"Stellaria graminea",-80.09808,39.91133,"cdc,colmafu,inmafu","US","PRESENT",930,"CM","2859086597","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11947168","PRESERVED_SPECIMEN",1993,5,30,"1993-05-30","WGS84","CM509127"
"Stellaria graminea",-79.65639,40.12833,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859331088","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11936544","PRESERVED_SPECIMEN",1993,6,4,"1993-06-04","WGS84","CM384859"
"Stellaria graminea",-79.42833,40.12139,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859077055","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11936571","PRESERVED_SPECIMEN",1993,6,11,"1993-06-11","WGS84","CM385295"
"Stellaria graminea",-90.976034,46.348412,"cdc,colmano,inmafu","US","PRESENT",969,"UWW","4095605783","https://midwestherbaria.org/portal/collections/individual/index.php?occid=30416605","PRESERVED_SPECIMEN",1993,6,26,"1993-06-26","WGS84","UWW001294"
"Stellaria graminea",-71.7882,48.6562,"colmafu,inmafu,diffown","CA","PRESENT",20,"Université de Montréal Biodiversity Centre","473534998",NA,"PRESERVED_SPECIMEN",1993,7,16,"1993-07-16","WGS84","MT00006364"
"Stellaria graminea",-79.41917,40.37639,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859364045","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11936116","PRESERVED_SPECIMEN",1992,5,28,"1992-05-28","WGS84","CM375390"
"Stellaria graminea",-77.580572,41.729487,"cdc,colmafu,inmafu","US","PRESENT",1000,"CM","2859081562","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11946236","PRESERVED_SPECIMEN",1992,5,23,"1992-05-23","WGS84","CM486663"
"Stellaria graminea",-79.817717,41.910401,"cdc,colmafu,inmafu","US","PRESENT",500,"CM","2859079021","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11935907","PRESERVED_SPECIMEN",1992,7,8,"1992-07-08","WGS84","CM371199"
"Stellaria graminea",-79.32046,39.026618,"cdc,colmafu,inmafu","US","PRESENT",950,"CM","2859331061","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11935969","PRESERVED_SPECIMEN",1991,5,29,"1991-05-29","WGS84","CM372901"
"Stellaria graminea",-76.569018,36.644804,"cdc,inmafu","US","PRESENT",802,"ODU","3496968645","https://sernecportal.org/portal/collections/individual/index.php?occid=22152224","PRESERVED_SPECIMEN",1991,5,2,"1991-05-02","WGS84","ODU00019860"
"Stellaria graminea",-79.34573,39.74981,"cdc,colmafu,inmafu","US","PRESENT",776,"CM","2859076014","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11935525","PRESERVED_SPECIMEN",1991,6,8,"1991-06-08","WGS84","CM361917"
"Stellaria graminea",-78.9508,48.2435,"colmafu,inmafu,diffown","CA","PRESENT",1000,"Université de Montréal Biodiversity Centre","473415190",NA,"PRESERVED_SPECIMEN",1991,6,15,"1991-06-15","WGS84","MT00001657"
"Stellaria graminea",-105.851389,23.426389,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",70,"FA-UAS","1893934456",NA,"PRESERVED_SPECIMEN",1990,2,25,"1990-02-25","WGS84","9709"
"Stellaria graminea",-105.26997,40.010699,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573342786","https://botanydb.colorado.edu/collections/individual/index.php?occid=121668","PRESERVED_SPECIMEN",1987,6,27,"1987-06-27","WGS84","00002899"
"Stellaria graminea",-116.0076782,48.042176,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073900285",NA,"PRESERVED_SPECIMEN",1987,6,4,"1987-06-04","WGS84","94492"
"Stellaria graminea",-80.868571,40.414902,"cdc,colmafu,inmafu","US","PRESENT",415,"CM","2859074943","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11934081","PRESERVED_SPECIMEN",1986,5,21,"1986-05-21","WGS84","CM326512"
"Stellaria graminea",-80.089073,42.172621,"cdc,colmafu,inmafu","US","PRESENT",1000,"CM","2859326945","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11933888","PRESERVED_SPECIMEN",1986,6,4,"1986-06-04","WGS84","CM320921"
"Stellaria graminea",-80.00587,41.011697,"cdc,colmafu,inmafu","US","PRESENT",200,"CM","2859075928","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11933798","PRESERVED_SPECIMEN",1985,5,22,"1985-05-22","WGS84","CM318700"
