"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Nassella pulchra",-117.17917,32.74944,"cdc,colmano,inmafu","US","PRESENT",80,"SD","3125165321","https://cch2.org/portal/collections/individual/index.php?occid=427999","PRESERVED_SPECIMEN",2000,5,17,"2000-05-17","WGS84",NA
"Nassella pulchra",-117.02389,32.87889,"cdc,colmano,inmafu","US","PRESENT",80,"SD","3125161340","https://cch2.org/portal/collections/individual/index.php?occid=428000","PRESERVED_SPECIMEN",2000,5,10,"2000-05-10","WGS84",NA
"Nassella pulchra",-117.46149,33.30103,"cdc,colmano,inmafu","US","PRESENT",805,"SD","3125166325","https://cch2.org/portal/collections/individual/index.php?occid=428041","PRESERVED_SPECIMEN",2000,5,10,"2000-05-10","WGS84",NA
"Nassella pulchra",-117.653461,33.805163,"cdc,inmafu","US","PRESENT",500,"RSA","2430111502","https://cch2.org/portal/collections/individual/index.php?occid=1082557","PRESERVED_SPECIMEN",1997,6,11,"1997-06-11","WGS84","RSA0578140"
"Nassella pulchra",-117.04085,33.41927,"cdc,inmafu","US","PRESENT",162,"RSA","2430228916","https://cch2.org/portal/collections/individual/index.php?occid=669419","PRESERVED_SPECIMEN",1996,5,17,"1996-05-17","WGS84","RSA0578694"
"Nassella pulchra",-120.609,34.863,"cdc,inmafu","US","PRESENT",400,"OBI","2270204315","https://cch2.org/portal/collections/individual/index.php?occid=195987","PRESERVED_SPECIMEN",1995,4,20,"1995-04-20","WGS84","OBI179135"
"Nassella pulchra",-116.85344,32.77538,"cdc,colmano,inmafu","US","PRESENT",805,"SD","3125035313","https://cch2.org/portal/collections/individual/index.php?occid=427966","PRESERVED_SPECIMEN",1995,4,15,"1995-04-15","WGS84",NA
"Nassella pulchra",-121.3320198,35.8593153,"cdc,cdrep,inmafu","US","PRESENT",427,"OBI","2270203920","https://cch2.org/portal/collections/individual/index.php?occid=195965","PRESERVED_SPECIMEN",1995,5,17,"1995-05-17","WGS84","OBI148728"
"Nassella pulchra",-116.8674,32.76911,"cdc,colmano,inmafu","US","PRESENT",241,"SD","3125030313","https://cch2.org/portal/collections/individual/index.php?occid=427965","PRESERVED_SPECIMEN",1995,5,28,"1995-05-28","WGS84",NA
"Nassella pulchra",-121.116247,35.591915,"cdc,inmafu","US","PRESENT",721,"OBI","2270205005","https://cch2.org/portal/collections/individual/index.php?occid=195992","PRESERVED_SPECIMEN",1994,3,22,"1994-03-22","WGS84","OBI179137"
