"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Symphyotrichum ericoides",-103.43028,38.92306,"cdc,ambinst","US","PRESENT",250,"COLO","2573492556","https://botanydb.colorado.edu/collections/individual/index.php?occid=96029","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84","00639070"
"Symphyotrichum ericoides",-103.50611,38.715,"cdc,ambinst","US","PRESENT",250,"COLO","2573544371","https://botanydb.colorado.edu/collections/individual/index.php?occid=96036","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84","00646323"
"Symphyotrichum ericoides",-103.71234,39.26062,"cdc,ambinst","US","PRESENT",250,"COLO","2573545369","https://botanydb.colorado.edu/collections/individual/index.php?occid=96038","PRESERVED_SPECIMEN",2000,8,24,"2000-08-24","WGS84","00646380"
"Symphyotrichum ericoides",-102.98444,39.28472,"cdc,ambinst","US","PRESENT",250,"COLO","2573490583","https://botanydb.colorado.edu/collections/individual/index.php?occid=96034","PRESERVED_SPECIMEN",2000,10,1,"2000-10-01","WGS84","00646182"
"Symphyotrichum ericoides",-103.06306,39.28472,"cdc,ambinst","US","PRESENT",250,"COLO","2573550332","https://botanydb.colorado.edu/collections/individual/index.php?occid=96044","PRESERVED_SPECIMEN",2000,10,1,"2000-10-01","WGS84","00655233"
"Symphyotrichum ericoides",-95.963665,45.549818,"cdc,ambcol","US","PRESENT",800,"MIN","2265431849","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=176471","PRESERVED_SPECIMEN",1999,8,18,"1999-08-18","WGS84","435859"
"Symphyotrichum ericoides",-113.511667,53.5325,"osiic,colmano,inmafu","CA","PRESENT",180,"University of Alberta Museums","3004590328","https://search.museums.ualberta.ca/12-199273","PRESERVED_SPECIMEN",1999,8,31,"1999-08-31","WGS84","142255"
"Symphyotrichum ericoides",-117.05,33.866667,"cdc,cdround,gass84,inmafu","US","PRESENT",400,"RSA","2430160076","https://cch2.org/portal/collections/individual/index.php?occid=1133191","PRESERVED_SPECIMEN",1999,9,26,"1999-09-26","WGS84",NA
"Symphyotrichum ericoides",-94.183627,44.564942,"cdc,ambcol","US","PRESENT",800,"MIN","2265443094","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=186541","PRESERVED_SPECIMEN",1999,9,11,"1999-09-11","WGS84","511238"
"Symphyotrichum ericoides",-81.036034,44.169748,"cdround,colmafu,inmafu,diffown","CA","PRESENT",20,"Université de Montréal Biodiversity Centre","3041572914",NA,"PRESERVED_SPECIMEN",1999,9,16,"1999-09-16","WGS84","MT00263777"
