"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Symphyotrichum novae-angliae",-97.1201,49.7946,"cdc,inmano","CA","PRESENT",100,"LPMMBH","1291636873",NA,"PRESERVED_SPECIMEN",2000,8,10,"2000-08-10","WGS84","29"
"Symphyotrichum novae-angliae",-92.451026,42.829959,"cdc,gass84,inmafu","US","PRESENT",150,"WET","4510651493","https://ngpherbaria.org/portal/collections/individual/index.php?occid=7953980","PRESERVED_SPECIMEN",2000,9,14,"2000-09-14","WGS84",NA
"Symphyotrichum novae-angliae",-106.532205,39.630891,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573487541","https://botanydb.colorado.edu/collections/individual/index.php?occid=95966","PRESERVED_SPECIMEN",2000,9,12,"2000-09-12","WGS84","00504753"
"Symphyotrichum novae-angliae",-103.866343,44.489518,"cdc,inmafu","US","PRESENT",16,"BHSC","3023457416","https://ngpherbaria.org/portal/collections/individual/index.php?occid=26998779","PRESERVED_SPECIMEN",2000,10,24,"2000-10-24","WGS84","BHSC0025215"
"Symphyotrichum novae-angliae",-94.183627,44.564942,"cdc,ambcol","US","PRESENT",800,"MIN","2265428388","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=174939","PRESERVED_SPECIMEN",1999,9,11,"1999-09-11","WGS84","510312"
"Symphyotrichum novae-angliae",-78.078894,43.254936,"cdc,cdround","US","PRESENT",61,"iNaturalist","3384600395","https://www.inaturalist.org/observations/33186645","HUMAN_OBSERVATION",1999,10,9,"1999-10-09","WGS84","33186645"
"Symphyotrichum novae-angliae",-78.06778,40.54417,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859055687","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11857630","PRESERVED_SPECIMEN",1998,9,19,"1998-09-19","WGS84","CM490048"
"Symphyotrichum novae-angliae",-96.918925,45.117499,"ambcol","US","PRESENT",578,"KU","177041684",NA,"PRESERVED_SPECIMEN",1997,9,5,"1997-09-05","WGS84","319004"
"Symphyotrichum novae-angliae",-94.990327,44.543269,"cdc,ambcol","US","PRESENT",800,"MIN","2265390958","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=14030","PRESERVED_SPECIMEN",1997,9,5,"1997-09-05","WGS84","440567"
"Symphyotrichum novae-angliae",-78.019109,43.225849,"cdc,cdround","US","PRESENT",31,"iNaturalist","3383910408","https://www.inaturalist.org/observations/34507075","HUMAN_OBSERVATION",1997,9,26,"1997-09-26","WGS84","34507075"
"Symphyotrichum novae-angliae",-82.229008,43.030688,"cdround,colmafu,inmafu,diffown","CA","PRESENT",20,"Université de Montréal Biodiversity Centre","3813132371",NA,"PRESERVED_SPECIMEN",1997,10,1,"1997-10-01","WGS84","MT00265222"
"Symphyotrichum novae-angliae",-105.514105,38.183107,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573486525","https://botanydb.colorado.edu/collections/individual/index.php?occid=95616","PRESERVED_SPECIMEN",1996,8,31,"1996-08-31","WGS84","00149898"
"Symphyotrichum novae-angliae",-81.845627,43.248208,"cdc,cdround","CA","PRESENT",964,"iNaturalist","3067884699","https://www.inaturalist.org/observations/36719182","HUMAN_OBSERVATION",1996,9,15,"1996-09-15T05:35","WGS84","36719182"
"Symphyotrichum novae-angliae",-94.648476,38.82508,"ambcol","US","PRESENT",201,"KU","811887056",NA,"PRESERVED_SPECIMEN",1996,10,6,"1996-10-06","WGS84","314769"
"Symphyotrichum novae-angliae",-104.828502,38.845337,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573548321","https://botanydb.colorado.edu/collections/individual/index.php?occid=95629","PRESERVED_SPECIMEN",1995,9,15,"1995-09-15","WGS84","00150029"
"Symphyotrichum novae-angliae",-94.939819,39.353504,"ambcol","US","PRESENT",0.53,"KU","177041400",NA,"PRESERVED_SPECIMEN",1995,10,3,"1995-10-03","WGS84","113639"
"Symphyotrichum novae-angliae",-92.519043,43.536578,"cdc,ambcol","US","PRESENT",800,"MIN","2265480046","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=38407","PRESERVED_SPECIMEN",1994,9,8,"1994-09-08","WGS84","441065"
"Symphyotrichum novae-angliae",-80.440284,41.132966,"cdc,colmafu,inmafu","US","PRESENT",933,"CM","2859300167","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11846651","PRESERVED_SPECIMEN",1994,10,24,"1994-10-24","WGS84","CM392906"
"Symphyotrichum novae-angliae",-79.283333,40.783333,"cdc,colmafu,inmafu","US","PRESENT",50,"CM","2859058623","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11856068","PRESERVED_SPECIMEN",1994,10,14,"1994-10-14","WGS84","CM470777"
"Symphyotrichum novae-angliae",-80.22028,41.24643,"cdc,colmafu,inmafu","US","PRESENT",195,"CM","2859050640","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11856070","PRESERVED_SPECIMEN",1993,9,14,"1993-09-14","WGS84","CM470779"
"Symphyotrichum novae-angliae",-79.27778,40.27389,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859042140","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11846264","PRESERVED_SPECIMEN",1993,10,23,"1993-10-23","WGS84","CM387170"
"Symphyotrichum novae-angliae",-79.78944,40.25556,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859048171","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11846270","PRESERVED_SPECIMEN",1993,10,7,"1993-10-07","WGS84","CM387189"
"Symphyotrichum novae-angliae",-96.371504,48.91524,"cdc,ambcol","US","PRESENT",800,"MIN","2265481067","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=38497","PRESERVED_SPECIMEN",1992,8,16,"1992-08-16","WGS84","829567"
