"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Symphyotrichum pilosum",-91.06221,34.380099,"cdc,inmafu","US","PRESENT",684,"UARK","4876072097","https://sernecportal.org/portal/collections/individual/index.php?occid=7953639","PRESERVED_SPECIMEN",2000,6,21,"2000-06-21","WGS84","UARK004960"
"Symphyotrichum pilosum",-80.532489,45.389047,"cdc,cdround","CA","PRESENT",200,"iNaturalist","3384659322","https://www.inaturalist.org/observations/9601562","HUMAN_OBSERVATION",2000,8,11,"2000-08-11","WGS84","9601562"
"Symphyotrichum pilosum",-75.79329,40.187313,"cdc,inmafu","US","PRESENT",504,"MOAR","4064837142","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12563671","PRESERVED_SPECIMEN",2000,9,18,"2000-09-18","WGS84","MOAR0000980"
"Symphyotrichum pilosum",-88.158521,39.396477,"cdc,inmafu","US","PRESENT",500,"EIU","4081306150","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12703145","PRESERVED_SPECIMEN",2000,9,17,"2000-09-17","WGS84","EIU017545"
"Symphyotrichum pilosum",-82.793962,42.302443,"cdround,colmafu,inmafu,diffown","CA","PRESENT",125,"Université de Montréal Biodiversity Centre","3041581873",NA,"PRESERVED_SPECIMEN",1999,9,19,"1999-09-19","WGS84","MT00263280"
"Symphyotrichum pilosum",-91.393676,33.53254,"ambcol","US","PRESENT",890,"KU","176886562",NA,"PRESERVED_SPECIMEN",1999,10,1,"1999-10-01","WGS84","328604"
"Symphyotrichum pilosum",-89.533744,33.903599,"cdc,ambinst","US","PRESENT",969,"MISS","3925826498","https://sernecportal.org/portal/collections/individual/index.php?occid=5927932","PRESERVED_SPECIMEN",1999,10,9,"1999-10-09","WGS84","MISS0062204"
"Symphyotrichum pilosum",-91.428294,33.125709,"cdc,inmafu","US","PRESENT",385,"UARK","4876071364","https://sernecportal.org/portal/collections/individual/index.php?occid=7953554","PRESERVED_SPECIMEN",1999,10,19,"1999-10-19","WGS84","UARK004919"
"Symphyotrichum pilosum",-95.27903,38.781667,"ambcol","US","PRESENT",108,"KU","176886612",NA,"PRESERVED_SPECIMEN",1998,10,15,"1998-10-15","WGS84","322221"
"Symphyotrichum pilosum",-80.178889,40.414444,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859311710","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11857227","PRESERVED_SPECIMEN",1998,10,6,"1998-10-06","WGS84","CM485836"
