"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Taraxacum campylodes",-76.158827,36.572158,"cdc,inmafu","US","PRESENT",421,"ODU","3496962234","https://sernecportal.org/portal/collections/individual/index.php?occid=22050255","PRESERVED_SPECIMEN",1993,3,28,"1993-03-28","WGS84","ODU00018754"
"Taraxacum campylodes",-83.24862,35.55869,"cdc,inmafu","US","PRESENT",95,"ODU","3496962231","https://sernecportal.org/portal/collections/individual/index.php?occid=22050258","PRESERVED_SPECIMEN",1990,5,23,"1990-05-23","WGS84","ODU00018759"
"Taraxacum campylodes",-75.907172,37.492095,"cdc,inmafu","US","PRESENT",454,"ODU","3496962210","https://sernecportal.org/portal/collections/individual/index.php?occid=22050265","PRESERVED_SPECIMEN",1980,10,18,"1980-10-18","WGS84","ODU00018761"
"Taraxacum campylodes",-76.304367,36.890737,"cdc,inmafu","US","PRESENT",217,"ODU","3496962209","https://sernecportal.org/portal/collections/individual/index.php?occid=22050268","PRESERVED_SPECIMEN",1978,3,29,"1978-03-29","WGS84","ODU00018763"
"Taraxacum campylodes",-76.288097,36.883503,"cdc,inmafu","US","PRESENT",106,"ODU","3496962193","https://sernecportal.org/portal/collections/individual/index.php?occid=22050285","PRESERVED_SPECIMEN",1978,4,24,"1978-04-24","WGS84","ODU00018774"
"Taraxacum campylodes",-79.162157,38.395192,"cdc,inmafu","US","PRESENT",304,"ODU","3496962220","https://sernecportal.org/portal/collections/individual/index.php?occid=22050272","PRESERVED_SPECIMEN",1976,4,12,"1976-04-12","WGS84","ODU00018766"
"Taraxacum campylodes",-76.217529,36.852259,"cdc,inmafu","US","PRESENT",31,"ODU","3496962219","https://sernecportal.org/portal/collections/individual/index.php?occid=22050271","PRESERVED_SPECIMEN",1974,3,20,"1974-03-20","WGS84","ODU00018765"
"Taraxacum campylodes",-76.304104,36.864756,"cdc,inmafu","US","PRESENT",149,"ODU","3496962233","https://sernecportal.org/portal/collections/individual/index.php?occid=22050254","PRESERVED_SPECIMEN",1974,4,23,"1974-04-23","WGS84","ODU00018753"
"Taraxacum campylodes",-79.180624,37.397256,"cdc,inmafu","US","PRESENT",37,"ODU","3496962218","https://sernecportal.org/portal/collections/individual/index.php?occid=22050270","PRESERVED_SPECIMEN",1973,4,18,"1973-04-18","WGS84","ODU00018764"
"Taraxacum campylodes",-76.489219,36.679092,"cdc,inmafu","US","PRESENT",399,"ODU","3496962197","https://sernecportal.org/portal/collections/individual/index.php?occid=22050281","PRESERVED_SPECIMEN",1971,3,20,"1971-03-20","WGS84","ODU00018770"
