"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Thelesperma filifolium",-97.238741,32.839142,"cdc,incomis,inmafu","US","PRESENT",384,"BRIT","4102437714","https://sernecportal.org/portal/collections/individual/index.php?occid=16673340","PRESERVED_SPECIMEN",1999,3,26,"1999-03-26","WGS84","BRIT292907"
"Thelesperma filifolium",-97.839721,30.244557,"gass84,inmano","US","PRESENT",160,"PRC","2807499125",NA,"PRESERVED_SPECIMEN",1999,4,18,"1999-04-18","WGS84","00406117"
"Thelesperma filifolium",-103.96244,37.01722,"cdc,ambinst","US","PRESENT",1000,"COLO","2573337671","https://botanydb.colorado.edu/collections/individual/index.php?occid=116316","PRESERVED_SPECIMEN",1999,6,12,"1999-06-12","WGS84","00945162"
"Thelesperma filifolium",-97.833333,30.24185,"gass84,inmano","US","PRESENT",160,"PRC","2807518568",NA,"PRESERVED_SPECIMEN",1999,6,7,"1999-06-07","WGS84","00332487"
"Thelesperma filifolium",-97.248463,32.807411,"cdc,incomis,inmafu","US","PRESENT",729,"BRIT","4102350197","https://sernecportal.org/portal/collections/individual/index.php?occid=16668032","PRESERVED_SPECIMEN",1998,4,26,"1998-04-26","WGS84","BRIT292912"
"Thelesperma filifolium",-97.26894,32.873841,"cdc,incomis,inmafu","US","PRESENT",313,"BRIT","4102063803","https://sernecportal.org/portal/collections/individual/index.php?occid=16691633","PRESERVED_SPECIMEN",1998,4,30,"1998-04-30","WGS84","BRIT292910"
"Thelesperma filifolium",-104.351,33.413,"cdc,colmafu,inmafu","US","PRESENT",570,"UNM","1843820752","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4030835","PRESERVED_SPECIMEN",1998,5,14,"1998-05-14","WGS84","UNM0022788"
"Thelesperma filifolium",-105.36223,38.20695,"cdc,ambinst","US","PRESENT",805,"COLO","2573338848","https://botanydb.colorado.edu/collections/individual/index.php?occid=116274","PRESERVED_SPECIMEN",1998,6,25,"1998-06-25","WGS84","00939793"
"Thelesperma filifolium",-104.77955,37.5245,"cdc,ambinst","US","PRESENT",1000,"COLO","2573337913","https://botanydb.colorado.edu/collections/individual/index.php?occid=116308","PRESERVED_SPECIMEN",1998,7,28,"1998-07-28","WGS84","00942821"
"Thelesperma filifolium",-105.589948,37.621733,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573338070","https://botanydb.colorado.edu/collections/individual/index.php?occid=116347","PRESERVED_SPECIMEN",1998,8,2,"1998-08-02","WGS84","00960385"
