"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Trichophorum cespitosum",-122.00281,44.64768,"cdc,ambinst","US","PRESENT",805,"OSU","3820685370","https://oregonflora.org/collections/individual/index.php?occid=1037734","PRESERVED_SPECIMEN",2000,6,14,"2000-06-14","WGS84",NA
"Trichophorum cespitosum",-122.002936,44.647455,"cdc,inmafu","US","PRESENT",400,"WS","4851191429","https://intermountainbiota.org/portal/collections/individual/index.php?occid=30778842","PRESERVED_SPECIMEN",2000,6,14,"2000-06-14","WGS84","359141"
"Trichophorum cespitosum",-122.000639,45.554139,"cdc,incomis,inmafu","US","PRESENT",67,"HPSU","4070160234",NA,"PRESERVED_SPECIMEN",2000,6,6,"2000-06-06","WGS84","17181"
"Trichophorum cespitosum",-122.001133,45.55093,"cdc,incomis,inmafu","US","PRESENT",89,"HPSU","4070160046",NA,"PRESERVED_SPECIMEN",2000,7,12,"2000-07-12","WGS84","17180"
"Trichophorum cespitosum",-94.7486919,59.3368787,"cdrep,cdround","CA","PRESENT",10,"WIN","2028085945","https://nansh.org/portal/collections/individual/index.php?occid=30464172","PRESERVED_SPECIMEN",2000,7,15,"2000-07-15","WGS84","81068"
"Trichophorum cespitosum",-122.004504,45.552205,"cdc,incomis,inmafu","US","PRESENT",63,"HPSU","4070166784",NA,"PRESERVED_SPECIMEN",2000,8,9,"2000-08-09","WGS84","23836"
"Trichophorum cespitosum",-92.797028,57.833948,"cdround","CA","PRESENT",100,"WIN","2564817751","https://nansh.org/portal/collections/individual/index.php?occid=30465994","PRESERVED_SPECIMEN",1999,6,20,"1999-06-20","WGS84","83261"
"Trichophorum cespitosum",-93.2202948,58.6432096,"cdrep,cdround","CA","PRESENT",10,"WIN","2028084680","https://nansh.org/portal/collections/individual/index.php?occid=30462856","PRESERVED_SPECIMEN",1999,7,17,"1999-07-17","WGS84","79984"
"Trichophorum cespitosum",-81.696691,45.21452,"cdc,colmafu,inmafu","CA","PRESENT",520,"CM","2859274153","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11755718","PRESERVED_SPECIMEN",1998,6,13,"1998-06-13","WGS84","CM486474"
"Trichophorum cespitosum",-84.900592,47.783031,"cdc,cdround","CA","PRESENT",31,"iNaturalist","2429246305","https://www.inaturalist.org/observations/32659548","HUMAN_OBSERVATION",1996,6,25,"1996-06-25T15:57","WGS84","32659548"
"Trichophorum cespitosum",-86.434835,48.79327,"cdc,cdround","CA","PRESENT",139,"iNaturalist","3067828746","https://www.inaturalist.org/observations/37507112","HUMAN_OBSERVATION",1995,7,17,"1995-07-17T03:34","WGS84","37507112"
