"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Trifolium dubium",-120.7867159,35.7179031,"cdc,cdrep,inmafu","US","PRESENT",1000,"SBBG","3053385604","https://cch2.org/portal/collections/individual/index.php?occid=139088","PRESERVED_SPECIMEN",2000,4,19,"2000-04-19","WGS84","SBBG207188"
"Trifolium dubium",-81.026171,33.992716,"cdc,inmafu","US","PRESENT",301,"CDA","3059714294","https://cch2.org/portal/collections/individual/index.php?occid=4103480","PRESERVED_SPECIMEN",2000,4,4,"2000-04-04","WGS84","CDA-0027938"
"Trifolium dubium",-120.7347101,35.3169139,"cdc,cdrep,inmafu","US","PRESENT",500,"SBBG","3053361827","https://cch2.org/portal/collections/individual/index.php?occid=83493","PRESERVED_SPECIMEN",2000,4,18,"2000-04-18","WGS84","SBBG207189"
"Trifolium dubium",-121.143955,44.222057,"cdc,cdround,ambinst","US","PRESENT",402,"OSU","3820575876","https://oregonflora.org/collections/individual/index.php?occid=1073893","PRESERVED_SPECIMEN",2000,5,17,"2000-05-17","WGS84",NA
"Trifolium dubium",-121.632222,39.468889,"cdc,ambinst","US","PRESENT",402,"CHSC","2417997526","https://cch2.org/portal/collections/individual/index.php?occid=2081987","PRESERVED_SPECIMEN",2000,5,13,"2000-05-13","WGS84","CHSC077989"
"Trifolium dubium",-122.570556,39.835833,"cdc,ambinst","US","PRESENT",402,"CHSC","2417998754","https://cch2.org/portal/collections/individual/index.php?occid=2082813","PRESERVED_SPECIMEN",1998,5,11,"1998-05-11","WGS84","CHSC078845"
"Trifolium dubium",-121.542778,39.596389,"cdc,ambinst","US","PRESENT",402,"CHSC","2417992186","https://cch2.org/portal/collections/individual/index.php?occid=2075766","PRESERVED_SPECIMEN",1998,6,9,"1998-06-09","WGS84","CHSC071176"
"Trifolium dubium",-123.93131,46.11929,"cdc,ambinst","US","PRESENT",805,"OSU","3820564954","https://oregonflora.org/collections/individual/index.php?occid=1052126","PRESERVED_SPECIMEN",1997,5,7,"1997-05-07","WGS84",NA
"Trifolium dubium",-123.26598,44.7145,"cdc,ambinst","US","PRESENT",805,"OSU","3820702680","https://oregonflora.org/collections/individual/index.php?occid=1069319","PRESERVED_SPECIMEN",1997,5,26,"1997-05-26","WGS84",NA
"Trifolium dubium",-78.07361,40.53389,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859454086","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170223","PRESERVED_SPECIMEN",1997,6,5,"1997-06-05","WGS84","CM485817"
"Trifolium dubium",-122.122222,40.280278,"cdc,ambinst","US","PRESENT",402,"CHSC","2417983677","https://cch2.org/portal/collections/individual/index.php?occid=2071145","PRESERVED_SPECIMEN",1996,4,23,"1996-04-23","WGS84","CHSC065957"
