"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Trifolium pratense",-120.285474,37.577683,"cdc,cdround,inmafu","US","PRESENT",301,"SHTC","4079073379","https://cch2.org/portal/collections/individual/index.php?occid=3611933","PRESERVED_SPECIMEN",2000,5,2,"2000-05-02","WGS84",NA
"Trifolium pratense",-93.234418,45.392004,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265415024","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=161335","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","441859"
"Trifolium pratense",-106.42263,39.58892,"cdc,ambinst","US","PRESENT",1000,"COLO","2573493713","https://botanydb.colorado.edu/collections/individual/index.php?occid=374834","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","02136604"
"Trifolium pratense",-106.10227,38.87504,"cdc,ambinst","US","PRESENT",1000,"COLO","2573541097","https://botanydb.colorado.edu/collections/individual/index.php?occid=60184","PRESERVED_SPECIMEN",2000,6,13,"2000-06-13","WGS84","00887737"
"Trifolium pratense",-72.42666,41.38416,"cdc,gass84,inmano","US","PRESENT",2,"UConn","415953518",NA,"PRESERVED_SPECIMEN",2000,6,5,"2000-06-05","WGS84","CONN00077851"
"Trifolium pratense",-61.239722,45.611667,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859450135","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170558","PRESERVED_SPECIMEN",2000,7,11,"2000-07-11","WGS84","CM496579"
"Trifolium pratense",-63.681667,46.251667,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859417119","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170571","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84","CM496736"
"Trifolium pratense",-61.386667,45.659722,"cdc,colmafu,inmafu","CA","PRESENT",50,"CM","2859452130","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170574","PRESERVED_SPECIMEN",2000,7,11,"2000-07-11","WGS84","CM496778"
"Trifolium pratense",-62.754444,46.204722,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859171146","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170583","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84","CM497029"
"Trifolium pratense",-67.548056,46.3875,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859173137","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170608","PRESERVED_SPECIMEN",2000,7,8,"2000-07-08","WGS84","CM497561"
"Trifolium pratense",-67.718889,46.701667,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859419133","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170615","PRESERVED_SPECIMEN",2000,7,8,"2000-07-08","WGS84","CM497608"
"Trifolium pratense",-65.788333,45.899444,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859456120","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170621","PRESERVED_SPECIMEN",2000,7,9,"2000-07-09","WGS84","CM497856"
"Trifolium pratense",-75.79329,40.187313,"cdc,inmafu","US","PRESENT",504,"MOAR","4064853123","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=16680977","PRESERVED_SPECIMEN",2000,7,17,"2000-07-17","WGS84","MOAR0014123"
"Trifolium pratense",-97.1045,49.8185,"cdc,inmano","CA","PRESENT",500,"LPMMBH","1291636696",NA,"PRESERVED_SPECIMEN",2000,7,18,"2000-07-18","WGS84","124"
"Trifolium pratense",-102.27833,39.29556,"cdc,ambinst","US","PRESENT",250,"COLO","2573541080","https://botanydb.colorado.edu/collections/individual/index.php?occid=59843","PRESERVED_SPECIMEN",2000,8,18,"2000-08-18","WGS84","00629550"
"Trifolium pratense",-92.041576,43.10745,"ambcol","US","PRESENT",197,"KU","177048921",NA,"PRESERVED_SPECIMEN",1999,6,29,"1999-06-29","WGS84","325550"
"Trifolium pratense",-111.893311,40.91407,"cdc,inmafu","US","PRESENT",465,"Weber State University","4010496548","https://intermountainbiota.org/portal/collections/individual/index.php?occid=30374711","PRESERVED_SPECIMEN",1999,6,25,"1999-06-25","WGS84","WSCO002062"
"Trifolium pratense",-104.96718,37.92088,"cdc,ambinst","US","PRESENT",100,"COLO","2573536129","https://botanydb.colorado.edu/collections/individual/index.php?occid=60440","PRESERVED_SPECIMEN",1999,6,14,"1999-06-14","WGS84","00938357"
"Trifolium pratense",-111.3833726,43.0428403,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073768580",NA,"PRESERVED_SPECIMEN",1999,7,4,"1999-07-04","WGS84","115856"
"Trifolium pratense",-115.684705,44.862941,"cdc,incomis,inmafu","US","PRESENT",471,"ID","4073874707",NA,"PRESERVED_SPECIMEN",1999,7,14,"1999-07-14","WGS84","172211"
"Trifolium pratense",-94.251564,45.933896,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265414516","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=161330","PRESERVED_SPECIMEN",1999,7,15,"1999-07-15","WGS84","434981"
"Trifolium pratense",-120.67962,35.31285,"cdc,inmafu","US","PRESENT",431,"OBI","2270218214","https://cch2.org/portal/collections/individual/index.php?occid=209893","PRESERVED_SPECIMEN",1999,7,3,"1999-07-03","WGS84","OBI115677"
