"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Trifolium repens",-81.026268,33.992716,"cdc,inmafu","US","PRESENT",301,"CDA","3059715243","https://cch2.org/portal/collections/individual/index.php?occid=4103710","PRESERVED_SPECIMEN",2000,4,4,"2000-04-04","WGS84","CDA-0028027"
"Trifolium repens",-93.195102,44.983574,"cdc,gass84,ambcol","US","PRESENT",930,"MIN","2265414082","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=161437","PRESERVED_SPECIMEN",2000,5,12,"2000-05-12","WGS84","143750"
"Trifolium repens",-106.6458,39.58633,"cdc,ambinst","US","PRESENT",800,"COLO","2573477303","https://botanydb.colorado.edu/collections/individual/index.php?occid=60157","PRESERVED_SPECIMEN",2000,6,2,"2000-06-02","WGS84","00885277"
"Trifolium repens",-116.898946,44.466717,"cdc,incomis,inmafu","US","PRESENT",569,"ID","4073765447",NA,"PRESERVED_SPECIMEN",2000,6,3,"2000-06-03","WGS84","168068"
"Trifolium repens",-75.791417,39.288833,"cdc,colmafu,inmafu","US","PRESENT",50,"NCU","2234612781","https://sernecportal.org/portal/collections/individual/index.php?occid=7742355","PRESERVED_SPECIMEN",2000,6,17,"2000-06-17","WGS84","NCU00143878"
"Trifolium repens",-69.545,44.650556,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859456117","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170577","PRESERVED_SPECIMEN",2000,7,14,"2000-07-14","WGS84","CM496826"
"Trifolium repens",-75.79329,40.187313,"cdc,inmafu","US","PRESENT",504,"MOAR","4064853121","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=16680979","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84","MOAR0014125"
"Trifolium repens",-106.45429,39.40861,"cdc,ambinst","US","PRESENT",1000,"COLO","2573482312","https://botanydb.colorado.edu/collections/individual/index.php?occid=60138","PRESERVED_SPECIMEN",2000,8,13,"2000-08-13","WGS84","00880542"
"Trifolium repens",-107.43873,40.81981,"cdc,ambinst","US","PRESENT",1000,"COLO","2573540081","https://botanydb.colorado.edu/collections/individual/index.php?occid=60248","PRESERVED_SPECIMEN",2000,8,14,"2000-08-14","WGS84","00902262"
"Trifolium repens",-96.970611,19.587417,"cdc,cdround,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",80,"IBUNAM","3308069861",NA,"PRESERVED_SPECIMEN",2000,10,20,"2000-10-20","WGS84","1200194"
