"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Veronica chamaedrys",-67.718889,46.701667,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859500080","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12349422","PRESERVED_SPECIMEN",2000,7,8,"2000-07-08","WGS84","CM497533"
"Veronica chamaedrys",-80.46621,43.29592,"cdc","CA","PRESENT",100,"iNaturalist","3384388127","https://www.inaturalist.org/observations/97013117","HUMAN_OBSERVATION",1997,7,11,"1997-07-11T10:15","WGS84","97013117"
"Veronica chamaedrys",-74.422616,40.930912,"cdc,colmafu,inmafu","US","PRESENT",940,"CM","2859503565","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12339480","PRESERVED_SPECIMEN",1993,5,22,"1993-05-22","WGS84","CM381727"
"Veronica chamaedrys",-123.43209,45.30996,"cdc,ambinst","US","PRESENT",805,"OSU","3820529206","https://oregonflora.org/collections/individual/index.php?occid=988033","PRESERVED_SPECIMEN",1990,6,22,"1990-06-22","WGS84","OSC-V-056137"
"Veronica chamaedrys",-73.085464,43.141106,"cdc,cdround","US","PRESENT",185,"iNaturalist","2634228514","https://www.inaturalist.org/observations/38033094","HUMAN_OBSERVATION",1989,5,1,"1989-05-01","WGS84","38033094"
"Veronica chamaedrys",-78.847483,41.965177,"cdc,colmafu,inmafu","US","PRESENT",800,"CM","2859500043","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12348685","PRESERVED_SPECIMEN",1989,6,8,"1989-06-08","WGS84","CM493533"
"Veronica chamaedrys",-73.038862,43.65973,"cdc","US","PRESENT",24,"iNaturalist","1500221678","https://www.inaturalist.org/observations/515465","HUMAN_OBSERVATION",1988,5,28,"1988-05-28","WGS84","515465"
"Veronica chamaedrys",-73.44944,41.85472,"cdc,gass84,inmano","US","PRESENT",1,"UConn","768795989",NA,"PRESERVED_SPECIMEN",1983,5,23,"1983-05-23","WGS84","CONN00168179"
"Veronica chamaedrys",-77.55384,41.752329,"cdc,gass84,colmafu,inmafu","US","PRESENT",591,"CM","2859224840","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12324029","PRESERVED_SPECIMEN",1982,6,21,"1982-06-21","WGS84","CM285490"
"Veronica chamaedrys",-91.685838,46.517238,"cdc,inmafu","US","PRESENT",477,"UWL","4092597210","https://midwestherbaria.org/portal/collections/individual/index.php?occid=8082200","PRESERVED_SPECIMEN",1979,10,2,"1979-10-02","WGS84","UWL0001772"
"Veronica chamaedrys",-122.750981,45.602928,"cdc,incomis,inmafu","US","PRESENT",249,"HPSU","4070148693",NA,"PRESERVED_SPECIMEN",1970,5,5,"1970-05-05","WGS84","19393"
