"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Vicia americana",-96.08313,40.03876,"gass84,ambcol","US","PRESENT",0.1,"KU","177055438",NA,"PRESERVED_SPECIMEN",2000,5,17,"2000-05-17","WGS84","335293"
"Vicia americana",-102.705333,39.432102,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573478263","https://botanydb.colorado.edu/collections/individual/index.php?occid=59632","PRESERVED_SPECIMEN",2000,5,19,"2000-05-19","WGS84","00478321"
"Vicia americana",-103.274101,38.8081,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573476486","https://botanydb.colorado.edu/collections/individual/index.php?occid=64731","PRESERVED_SPECIMEN",2000,5,21,"2000-05-21","WGS84","00473942"
"Vicia americana",-103.43167,38.91806,"cdc,ambinst","US","PRESENT",250,"COLO","2573482480","https://botanydb.colorado.edu/collections/individual/index.php?occid=64765","PRESERVED_SPECIMEN",2000,5,16,"2000-05-16","WGS84","00600601"
"Vicia americana",-103.66889,39.36,"cdc,ambinst","US","PRESENT",400,"COLO","2573480503","https://botanydb.colorado.edu/collections/individual/index.php?occid=64787","PRESERVED_SPECIMEN",2000,5,15,"2000-05-15","WGS84","00665265"
"Vicia americana",-103.29528,39.12806,"cdc,ambinst","US","PRESENT",250,"COLO","2573539240","https://botanydb.colorado.edu/collections/individual/index.php?occid=64805","PRESERVED_SPECIMEN",2000,5,15,"2000-05-15","WGS84","00691097"
"Vicia americana",-102.71222,38.34694,"cdc,ambinst","US","PRESENT",250,"COLO","2573477471","https://botanydb.colorado.edu/collections/individual/index.php?occid=64810","PRESERVED_SPECIMEN",2000,5,16,"2000-05-16","WGS84","00700641"
"Vicia americana",-106.25488,40.98046,"cdc,ambinst","US","PRESENT",1000,"COLO","2573480332","https://botanydb.colorado.edu/collections/individual/index.php?occid=60259","PRESERVED_SPECIMEN",2000,6,13,"2000-06-13","WGS84","00902577"
"Vicia americana",-106.6458,39.58633,"cdc,ambinst","US","PRESENT",800,"COLO","2573537279","https://botanydb.colorado.edu/collections/individual/index.php?occid=64855","PRESERVED_SPECIMEN",2000,6,2,"2000-06-02","WGS84","00885269"
"Vicia americana",-117.24086,46.000004,"cdc,cdround,ambinst","US","PRESENT",805,"OSU","3820647635","https://oregonflora.org/collections/individual/index.php?occid=997792","PRESERVED_SPECIMEN",2000,6,12,"2000-06-12","WGS84",NA
"Vicia americana",-111.7625,41.8875,"cdc,gass84,inmafu","US","PRESENT",1000,"SFV","2575162103","https://cch2.org/portal/collections/individual/index.php?occid=612651","PRESERVED_SPECIMEN",2000,7,15,"2000-07-15","WGS84","SFV107082"
"Vicia americana",-95.2509896,49.0101804,"cdrep,cdround","CA","PRESENT",1000,"WIN","2028085849","https://nansh.org/portal/collections/individual/index.php?occid=30464065","PRESERVED_SPECIMEN",2000,7,19,"2000-07-19","WGS84","81081"
"Vicia americana",-122.414285,38.552887,"cdc,gass84,colmafu,inmafu","US","PRESENT",969,"DAV","2421776968","https://cch2.org/portal/collections/individual/index.php?occid=1404118","PRESERVED_SPECIMEN",1999,4,27,"1999-04-27","WGS84","DAV337452"
"Vicia americana",-95.856664,40.862217,"ambcol","US","PRESENT",272,"KU","177055452",NA,"PRESERVED_SPECIMEN",1999,5,25,"1999-05-25","WGS84","333037"
"Vicia americana",-96.80046,40.05013,"gass84,ambcol","US","PRESENT",836.43,"KU","177054845",NA,"PRESERVED_SPECIMEN",1999,5,21,"1999-05-21","WGS84","333284"
"Vicia americana",-105.253663,39.983066,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573482279","https://botanydb.colorado.edu/collections/individual/index.php?occid=59455","PRESERVED_SPECIMEN",1999,5,15,"1999-05-15","WGS84","00360750"
"Vicia americana",-93.685329,45.508655,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265419402","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=166598","PRESERVED_SPECIMEN",1999,6,14,"1999-06-14","WGS84","435048"
"Vicia americana",-120.321667,40.508889,"cdc,ambinst","US","PRESENT",805,"CHSC","2417996647","https://cch2.org/portal/collections/individual/index.php?occid=2079716","PRESERVED_SPECIMEN",1999,6,9,"1999-06-09","WGS84","CHSC075500"
"Vicia americana",-105.406223,37.178871,"cdc,ambinst","US","PRESENT",300,"COLO","2573540254","https://botanydb.colorado.edu/collections/individual/index.php?occid=64901","PRESERVED_SPECIMEN",1999,6,11,"1999-06-11","WGS84","00931535"
"Vicia americana",-116.369902,44.68269,"cdc,incomis,inmafu","US","PRESENT",816,"ID","4073949547",NA,"PRESERVED_SPECIMEN",1999,6,21,"1999-06-21","WGS84","171973"
"Vicia americana",-90.241796,48.098566,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265600061","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=971","PRESERVED_SPECIMEN",1999,6,23,"1999-06-23","WGS84","432695"
"Vicia americana",-93.672712,44.884273,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265600297","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=9742","PRESERVED_SPECIMEN",1999,6,11,"1999-06-11","WGS84","509227"
"Vicia americana",-105.12111,37.20744,"cdc,ambinst","US","PRESENT",1000,"COLO","2573478458","https://botanydb.colorado.edu/collections/individual/index.php?occid=64898","PRESERVED_SPECIMEN",1999,7,28,"1999-07-28","WGS84","00929042"
"Vicia americana",-104.3615,37.00475,"cdc,ambinst","US","PRESENT",1000,"COLO","2573478459","https://botanydb.colorado.edu/collections/individual/index.php?occid=64906","PRESERVED_SPECIMEN",1999,7,29,"1999-07-29","WGS84","00934158"
"Vicia americana",-116.899954,44.712412,"cdc,incomis,inmafu","US","PRESENT",461,"ID","4073934398",NA,"PRESERVED_SPECIMEN",1999,7,8,"1999-07-08","WGS84","171972"
"Vicia americana",-105.24407,37.02749,"cdc,ambinst","US","PRESENT",1000,"COLO","2573542246","https://botanydb.colorado.edu/collections/individual/index.php?occid=64895","PRESERVED_SPECIMEN",1999,8,20,"1999-08-20","WGS84","00929018"
"Vicia americana",-92.799431,43.725019,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265433499","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=178414","PRESERVED_SPECIMEN",1999,9,1,"1999-09-01","WGS84","454793"
"Vicia americana",-122.87216,45.447092,"cdc,incomis,inmafu","US","PRESENT",517,"HPSU","4070152687",NA,"PRESERVED_SPECIMEN",1998,4,24,"1998-04-24","WGS84","8416"
"Vicia americana",-92.586323,42.705614,"ambcol","US","PRESENT",284,"KU","177055440",NA,"PRESERVED_SPECIMEN",1998,5,24,"1998-05-24","WGS84","317428"
