"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Vicia cracca",-61.239722,45.611667,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859456116","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170559","PRESERVED_SPECIMEN",2000,7,11,"2000-07-11","WGS84","CM496586"
"Vicia cracca",-69.339444,44.732778,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859170137","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170561","PRESERVED_SPECIMEN",2000,7,14,"2000-07-14","WGS84","CM496600"
"Vicia cracca",-63.492222,46.306389,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859171145","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170565","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84","CM496711"
"Vicia cracca",-63.681667,46.251667,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859157150","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170568","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84","CM496731"
"Vicia cracca",-61.386667,45.659722,"cdc,colmafu,inmafu","CA","PRESENT",50,"CM","2859418137","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170572","PRESERVED_SPECIMEN",2000,7,11,"2000-07-11","WGS84","CM496769"
"Vicia cracca",-62.754444,46.204722,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859174147","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170585","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84","CM497032"
"Vicia cracca",-66.229722,45.851389,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859450137","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170594","PRESERVED_SPECIMEN",2000,7,9,"2000-07-09","WGS84","CM497202"
"Vicia cracca",-67.47,45.098333,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859159145","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170599","PRESERVED_SPECIMEN",2000,7,14,"2000-07-14","WGS84","CM497260"
"Vicia cracca",-66.555,45.911389,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859172158","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170604","PRESERVED_SPECIMEN",2000,7,9,"2000-07-09","WGS84","CM497460"
"Vicia cracca",-67.548056,46.3875,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859174148","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170611","PRESERVED_SPECIMEN",2000,7,8,"2000-07-08","WGS84","CM497577"
"Vicia cracca",-67.718889,46.701667,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859415125","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170613","PRESERVED_SPECIMEN",2000,7,8,"2000-07-08","WGS84","CM497606"
"Vicia cracca",-67.358611,46.959444,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859418139","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170617","PRESERVED_SPECIMEN",2000,7,8,"2000-07-08","WGS84","CM497694"
"Vicia cracca",-65.713056,45.837222,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859172159","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170622","PRESERVED_SPECIMEN",2000,7,9,"2000-07-09","WGS84","CM497875"
"Vicia cracca",-79.0161,48.2853,"colmafu,inmafu,diffown","CA","PRESENT",350,"Université de Montréal Biodiversity Centre","473367574",NA,"PRESERVED_SPECIMEN",2000,7,16,"2000-07-16","WGS84","MT00014798"
"Vicia cracca",-90.264701,48.070141,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265420880","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=166810","PRESERVED_SPECIMEN",1999,8,5,"1999-08-05","WGS84","447657"
"Vicia cracca",-110.709747,43.568837,"cdc,inmafu","US","PRESENT",40,"WS","4851215201","https://intermountainbiota.org/portal/collections/individual/index.php?occid=30722417","PRESERVED_SPECIMEN",1997,8,6,"1997-08-06","WGS84","398369"
"Vicia cracca",-81.494722,45.9775,"cdc","CA","PRESENT",655,"iNaturalist","1265604665","https://www.inaturalist.org/observations/843779","HUMAN_OBSERVATION",1996,6,25,"1996-06-25","WGS84","843779"
"Vicia cracca",-73.23694,41.47611,"cdc,gass84,inmano","US","PRESENT",3,"UConn","415992364",NA,"PRESERVED_SPECIMEN",1995,6,15,"1995-06-15","WGS84","CONN00117003"
"Vicia cracca",-80.613623,51.257743,"cdc,txmatfuz,inmafu","CA","PRESENT",1000,"EIU","4081343106","https://midwestherbaria.org/portal/collections/individual/index.php?occid=28867730","PRESERVED_SPECIMEN",1995,8,16,"1995-08-16","WGS84","EIU048576"
"Vicia cracca",-82.812184,41.681194,"cdc,colmafu,inmafu","US","PRESENT",100,"CM","2859450056","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12169109","PRESERVED_SPECIMEN",1994,8,29,"1994-08-29","WGS84","CM395524"
"Vicia cracca",-63.382074,46.48895,"cdc,cdround","CA","PRESENT",175,"iNaturalist","4512088186","https://www.inaturalist.org/observations/177122536","HUMAN_OBSERVATION",1993,7,29,"1993-07-29","WGS84","177122536"
"Vicia cracca",-72.325,41.77083,"cdc,gass84,inmano","US","PRESENT",4,"UConn","415992371",NA,"PRESERVED_SPECIMEN",1993,7,27,"1993-07-27","WGS84","CONN00117010"
"Vicia cracca",-79.0967,51.5314,"colmafu,inmafu,diffown","CA","PRESENT",500,"Université de Montréal Biodiversity Centre","473349372",NA,"PRESERVED_SPECIMEN",1991,8,1,"1991-08-01","WGS84","MT00014277"
"Vicia cracca",-76.364971,39.961265,"cdc,cdround,inmafu","US","PRESENT",150,"MVSC","3331195173",NA,"PRESERVED_SPECIMEN",1988,7,11,"1988-07-11","WGS84","453098"
"Vicia cracca",-73.362047,43.706962,"cdc","US","PRESENT",356,"iNaturalist","1291166157","https://www.inaturalist.org/observations/515880","HUMAN_OBSERVATION",1987,6,26,"1987-06-26","WGS84","515880"
"Vicia cracca",-72.3025,41.88111,"cdc,gass84,inmano","US","PRESENT",1,"UConn","415992378",NA,"PRESERVED_SPECIMEN",1987,7,22,"1987-07-22","WGS84","CONN00117017"
"Vicia cracca",-78.6606,48.4337,"colmafu,inmafu,diffown","CA","PRESENT",50,"Université de Montréal Biodiversity Centre","1986728371",NA,"PRESERVED_SPECIMEN",1985,6,26,"1985-06-26","WGS84","MT00214582"
"Vicia cracca",-73.654689,45.436019,"cdc","CA","PRESENT",18,"iNaturalist","3947377114","https://www.inaturalist.org/observations/138529386","HUMAN_OBSERVATION",1985,7,15,"1985-07-15","WGS84","138529386"
"Vicia cracca",-89.76966,47.998261,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265421648","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=166818","PRESERVED_SPECIMEN",1984,8,2,"1984-08-02","WGS84","834295"
"Vicia cracca",-92.466062,42.736619,"cdc,inmafu","US","PRESENT",350,"WET","4510648703","https://ngpherbaria.org/portal/collections/individual/index.php?occid=7955199","PRESERVED_SPECIMEN",1982,6,3,"1982-06-03","WGS84",NA
"Vicia cracca",-75.454804,40.615049,"cdc,inmafu","US","PRESENT",902,"MCA","4067790722","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17071753","PRESERVED_SPECIMEN",1981,8,5,"1981-08-05","WGS84","MCA0041527"
"Vicia cracca",-89.945043,43.373113,"cdc,colmano,inmafu","US","PRESENT",969,"UWW","4095605015","https://midwestherbaria.org/portal/collections/individual/index.php?occid=30416928","PRESERVED_SPECIMEN",1980,6,28,"1980-06-28","WGS84","UWW001610"
"Vicia cracca",-73.4528,45.7053,"colmafu,inmafu,diffown","CA","PRESENT",500,"Université de Montréal Biodiversity Centre","473463475",NA,"PRESERVED_SPECIMEN",1980,7,25,"1980-07-25","WGS84","MT00002948"
"Vicia cracca",-73.4589,45.7044,"colmafu,inmafu,diffown","CA","PRESENT",200,"Université de Montréal Biodiversity Centre","473465757",NA,"PRESERVED_SPECIMEN",1980,7,28,"1980-07-28","WGS84","MT00003048"
"Vicia cracca",-72.995521,45.291734,"colmafu,inmafu,diffown","CA","PRESENT",1000,"Université de Montréal Biodiversity Centre","473461580",NA,"PRESERVED_SPECIMEN",1980,8,5,"1980-08-05","WGS84","MT00002868"
"Vicia cracca",-79.1432,48.1813,"colmafu,inmafu,diffown","CA","PRESENT",500,"Université de Montréal Biodiversity Centre","473488131",NA,"PRESERVED_SPECIMEN",1979,7,17,"1979-07-17","WGS84","MT00040460"
"Vicia cracca",-94.816078,48.735945,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265420743","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=166816","PRESERVED_SPECIMEN",1979,8,14,"1979-08-14","WGS84","773307"
"Vicia cracca",-72.28111,41.80305,"cdc,gass84,inmano","US","PRESENT",1,"UConn","415992583",NA,"PRESERVED_SPECIMEN",1977,5,24,"1977-05-24","WGS84","CONN00117224"
"Vicia cracca",-73.774167,45.371389,"cdround,gass84,colmafu,inmafu,diffown","CA","PRESENT",500,"Université de Montréal Biodiversity Centre","473264365",NA,"PRESERVED_SPECIMEN",1975,7,9,"1975-07-09","WGS84","MT00110681"
"Vicia cracca",-74.006056,45.988838,"colmafu,inmafu,diffown","CA","PRESENT",10,"Université de Montréal Biodiversity Centre","1417513652",NA,"PRESERVED_SPECIMEN",1973,7,2,"1973-07-02","WGS84",NA
"Vicia cracca",-71.461101,43.609616,"cdc,colmafu,inmafu","US","PRESENT",1000,"CM","2859416478","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12157837","PRESERVED_SPECIMEN",1971,8,9,"1971-08-09","WGS84","CM192537"
"Vicia cracca",-79.452495,41.249469,"cdc,colmafu,inmafu","US","PRESENT",700,"CM","2859442125","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12150657","PRESERVED_SPECIMEN",1970,6,3,"1970-06-03","WGS84","CM059487"
"Vicia cracca",-70.21816,41.702846,"cdc,inmafu","US","PRESENT",1000,"EIU","4081343086","https://midwestherbaria.org/portal/collections/individual/index.php?occid=28867743","PRESERVED_SPECIMEN",1970,6,30,"1970-06-30","WGS84","EIU048581"
"Vicia cracca",-78.375965,41.481648,"cdc,colmafu,inmafu","US","PRESENT",680,"CM","2859407136","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12150655","PRESERVED_SPECIMEN",1970,7,22,"1970-07-22","WGS84","CM059485"
